GEOID,Tract,County,State,FacID,cat,measure,value,RE,Sex,def,fmt,source,lbl
16001000101,Census Tract 1.01,Ada County,ID,188,Travel time to Screening Facility,Minutes,4.15304881915,NA,NA,Minutes to Gastroenterology,float64,src-TBD,4
16001000101,Census Tract 1.01,Ada County,ID,738,Travel time to Screening Facility,Minutes,1.69126989691,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,2
16001000101,Census Tract 1.01,Ada County,ID,919,Travel time to Screening Facility,Minutes,4.9976683568,NA,NA,Minutes to Mammography,float64,src-TBD,5
16001000102,Census Tract 1.02,Ada County,ID,437,Travel time to Screening Facility,Minutes,2.2319650554,NA,NA,Minutes to Gastroenterology,float64,src-TBD,2
16001000102,Census Tract 1.02,Ada County,ID,738,Travel time to Screening Facility,Minutes,3.07574140109,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,3
16001000102,Census Tract 1.02,Ada County,ID,876,Travel time to Screening Facility,Minutes,2.87414004815,NA,NA,Minutes to Mammography,float64,src-TBD,3
16001000201,Census Tract 2.01,Ada County,ID,520,Travel time to Screening Facility,Minutes,3.6529792954899998,NA,NA,Minutes to Gastroenterology,float64,src-TBD,4
16001000201,Census Tract 2.01,Ada County,ID,688,Travel time to Screening Facility,Minutes,8.49593244065,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,8
16001000201,Census Tract 2.01,Ada County,ID,876,Travel time to Screening Facility,Minutes,6.32735538676,NA,NA,Minutes to Mammography,float64,src-TBD,6
16001000202,Census Tract 2.02,Ada County,ID,476,Travel time to Screening Facility,Minutes,18.8060820588,NA,NA,Minutes to Gastroenterology,float64,src-TBD,19
16001000202,Census Tract 2.02,Ada County,ID,738,Travel time to Screening Facility,Minutes,18.6723127933,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,19
16001000202,Census Tract 2.02,Ada County,ID,876,Travel time to Screening Facility,Minutes,19.6697320228,NA,NA,Minutes to Mammography,float64,src-TBD,20
16001000302,Census Tract 3.02,Ada County,ID,476,Travel time to Screening Facility,Minutes,10.2383739344,NA,NA,Minutes to Gastroenterology,float64,src-TBD,10
16001000302,Census Tract 3.02,Ada County,ID,722,Travel time to Screening Facility,Minutes,9.08281288753,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,9
16001000302,Census Tract 3.02,Ada County,ID,872,Travel time to Screening Facility,Minutes,9.08281288753,NA,NA,Minutes to Mammography,float64,src-TBD,9
16001000303,Census Tract 3.03,Ada County,ID,191,Travel time to Screening Facility,Minutes,11.4768466827,NA,NA,Minutes to Gastroenterology,float64,src-TBD,11
16001000303,Census Tract 3.03,Ada County,ID,722,Travel time to Screening Facility,Minutes,7.71188837256,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,8
16001000303,Census Tract 3.03,Ada County,ID,872,Travel time to Screening Facility,Minutes,7.71188837256,NA,NA,Minutes to Mammography,float64,src-TBD,8
16001000305,Census Tract 3.05,Ada County,ID,191,Travel time to Screening Facility,Minutes,14.1191823887,NA,NA,Minutes to Gastroenterology,float64,src-TBD,14
16001000305,Census Tract 3.05,Ada County,ID,722,Travel time to Screening Facility,Minutes,8.22949386674999,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,8
16001000305,Census Tract 3.05,Ada County,ID,872,Travel time to Screening Facility,Minutes,8.22949386674999,NA,NA,Minutes to Mammography,float64,src-TBD,8
16001000306,Census Tract 3.06,Ada County,ID,191,Travel time to Screening Facility,Minutes,12.4275637219,NA,NA,Minutes to Gastroenterology,float64,src-TBD,12
16001000306,Census Tract 3.06,Ada County,ID,722,Travel time to Screening Facility,Minutes,7.71296801652,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,8
16001000306,Census Tract 3.06,Ada County,ID,872,Travel time to Screening Facility,Minutes,7.71296801652,NA,NA,Minutes to Mammography,float64,src-TBD,8
16001000401,Census Tract 4.01,Ada County,ID,191,Travel time to Screening Facility,Minutes,7.59483280362,NA,NA,Minutes to Gastroenterology,float64,src-TBD,8
16001000401,Census Tract 4.01,Ada County,ID,689,Travel time to Screening Facility,Minutes,6.54056405967,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,7
16001000401,Census Tract 4.01,Ada County,ID,903,Travel time to Screening Facility,Minutes,7.51161563308,NA,NA,Minutes to Mammography,float64,src-TBD,8
16001000402,Census Tract 4.02,Ada County,ID,191,Travel time to Screening Facility,Minutes,6.55390133104,NA,NA,Minutes to Gastroenterology,float64,src-TBD,7
16001000402,Census Tract 4.02,Ada County,ID,738,Travel time to Screening Facility,Minutes,4.31074639996,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,4
16001000402,Census Tract 4.02,Ada County,ID,903,Travel time to Screening Facility,Minutes,6.4706841605,NA,NA,Minutes to Mammography,float64,src-TBD,6
16001000501,Census Tract 5.01,Ada County,ID,476,Travel time to Screening Facility,Minutes,7.79259478396,NA,NA,Minutes to Gastroenterology,float64,src-TBD,8
16001000501,Census Tract 5.01,Ada County,ID,738,Travel time to Screening Facility,Minutes,6.46167279511,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,6
16001000501,Census Tract 5.01,Ada County,ID,876,Travel time to Screening Facility,Minutes,7.85059708245,NA,NA,Minutes to Mammography,float64,src-TBD,8
16001000502,Census Tract 5.02,Ada County,ID,476,Travel time to Screening Facility,Minutes,6.86732115944,NA,NA,Minutes to Gastroenterology,float64,src-TBD,7
16001000502,Census Tract 5.02,Ada County,ID,738,Travel time to Screening Facility,Minutes,6.20950618876,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,6
16001000502,Census Tract 5.02,Ada County,ID,876,Travel time to Screening Facility,Minutes,7.5984304761,NA,NA,Minutes to Mammography,float64,src-TBD,8
16001000601,Census Tract 6.01,Ada County,ID,476,Travel time to Screening Facility,Minutes,4.22554577441,NA,NA,Minutes to Gastroenterology,float64,src-TBD,4
16001000601,Census Tract 6.01,Ada County,ID,738,Travel time to Screening Facility,Minutes,4.20653552859,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,4
16001000601,Census Tract 6.01,Ada County,ID,876,Travel time to Screening Facility,Minutes,5.08919573839,NA,NA,Minutes to Mammography,float64,src-TBD,5
16001000602,Census Tract 6.02,Ada County,ID,476,Travel time to Screening Facility,Minutes,2.50250649455,NA,NA,Minutes to Gastroenterology,float64,src-TBD,3
16001000602,Census Tract 6.02,Ada County,ID,738,Travel time to Screening Facility,Minutes,4.98884668553,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,5
16001000602,Census Tract 6.02,Ada County,ID,876,Travel time to Screening Facility,Minutes,3.36615645853,NA,NA,Minutes to Mammography,float64,src-TBD,3
16001000701,Census Tract 7.01,Ada County,ID,185,Travel time to Screening Facility,Minutes,2.32802192076,NA,NA,Minutes to Gastroenterology,float64,src-TBD,2
16001000701,Census Tract 7.01,Ada County,ID,688,Travel time to Screening Facility,Minutes,2.69613812441,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,3
16001000701,Census Tract 7.01,Ada County,ID,874,Travel time to Screening Facility,Minutes,2.69613812441,NA,NA,Minutes to Mammography,float64,src-TBD,3
16001000703,Census Tract 7.03,Ada County,ID,185,Travel time to Screening Facility,Minutes,9.4052458126,NA,NA,Minutes to Gastroenterology,float64,src-TBD,9
16001000703,Census Tract 7.03,Ada County,ID,688,Travel time to Screening Facility,Minutes,9.77336201626,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,10
16001000703,Census Tract 7.03,Ada County,ID,874,Travel time to Screening Facility,Minutes,9.77336201626,NA,NA,Minutes to Mammography,float64,src-TBD,10
16001000704,Census Tract 7.04,Ada County,ID,185,Travel time to Screening Facility,Minutes,5.79164887669,NA,NA,Minutes to Gastroenterology,float64,src-TBD,6
16001000704,Census Tract 7.04,Ada County,ID,688,Travel time to Screening Facility,Minutes,6.15976508034,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,6
16001000704,Census Tract 7.04,Ada County,ID,874,Travel time to Screening Facility,Minutes,6.15976508034,NA,NA,Minutes to Mammography,float64,src-TBD,6
16001000803,Census Tract 8.03,Ada County,ID,185,Travel time to Screening Facility,Minutes,8.639710721,NA,NA,Minutes to Gastroenterology,float64,src-TBD,9
