cat,GEOID,Tract,County,State,measure,value,RE,Sex,def,fmt,source,lbl
Environment,16001000101,Census Tract 1.01,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000102,Census Tract 1.02,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000201,Census Tract 2.01,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000202,Census Tract 2.02,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000302,Census Tract 3.02,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000303,Census Tract 3.03,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000305,Census Tract 3.05,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000306,Census Tract 3.06,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000401,Census Tract 4.01,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000402,Census Tract 4.02,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000501,Census Tract 5.01,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000502,Census Tract 5.02,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000601,Census Tract 6.01,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000602,Census Tract 6.02,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000701,Census Tract 7.01,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
