measure,def,fmt,source
Total,Total Population,int,"ACS 5-Year, 2019 - 2023"
Under 18,Under 18 Years Old,pct,"ACS 5-Year, 2019 - 2023"
18 to 64,18 to 64 Years Old,pct,"ACS 5-Year, 2019 - 2023"
Over 64,Over 64 Years Old,pct,"ACS 5-Year, 2019 - 2023"
Below 9th grade,Did Not Attend High School,pct,"ACS 5-Year, 2019 - 2023"
High School,Graduated High School,pct,"ACS 5-Year, 2019 - 2023"
College,Graduated College,pct,"ACS 5-Year, 2019 - 2023"
Advanced Degree,Completed a Graduate Degree,pct,"ACS 5-Year, 2019 - 2023"
White,White (non-Hispanic),pct,"ACS 5-Year, 2019 - 2023"
Black,Black (non-Hispanic),pct,"ACS 5-Year, 2019 - 2023"
Asian,Asian (non-Hispanic),pct,"ACS 5-Year, 2019 - 2023"
AIAN,American Indian and Alaska Native (non-Hispanic),pct,"ACS 5-Year, 2019 - 2023"
NHOPI,Native Hawaiian and Other Pacific Islander (non-Hispanic),pct,"ACS 5-Year, 2019 - 2023"
Hispanic,Hispanic,pct,"ACS 5-Year, 2019 - 2023"
Other Races,Other Non-Hispanic Race,pct,"ACS 5-Year, 2019 - 2023"
Urban Percentage,Urbanized Residents,pct,"US Census Bureau, 2020 Decennial Census"
Insurance Coverage,Insured,pct,"ACS 5-Year, 2019 - 2023"
Medicaid Enrollment,Enrolled in Medicaid,pct,"ACS 5-Year, 2019 - 2023"
Gini Coefficient,Income Inequality (Gini Coefficient),int,"ACS 5-Year, 2019 - 2023"
Household Income,Household Income ($),int,"ACS 5-Year, 2019 - 2023"
Annual Labor Force Participation Rate,Annual Labor Force Participation,pct,"ACS 5-Year, 2019 - 2023"
Annual Unemployment Rate,Annual Unemployment Rate,pct,"ACS 5-Year, 2019 - 2023"
Below Poverty,Living Below Poverty,pct,"ACS 5-Year, 2019 - 2023"
Uninsured,Uninsured,pct,"ACS 5-Year, 2019 - 2023"
Vacancy Rate,Vacant Housing,pct,"ACS 5-Year, 2019 - 2023"
No Vehicle,No Household Vehicle Access,pct,"ACS 5-Year, 2019 - 2023"
Rent Burden (40% Income),High Rent Burden,pct,"ACS 5-Year, 2019 - 2023"
