CountyTract,FacID,FacType,minutes,miles
Z16001000101,188,Gastroenterology,4.15304881915,1.29413711529
Z16001000101,738,Lung Cancer Screening,1.69126989691,0.474829516298
Z16001000101,919,Mammography,4.9976683568,1.43839331117
Z16001000102,437,Gastroenterology,2.2319650554,0.445227452991
Z16001000102,738,Lung Cancer Screening,3.07574140109,0.895809656764
Z16001000102,876,Mammography,2.87414004815,0.755198827642
Z16001000201,520,Gastroenterology,3.65297929549,0.656315373297
Z16001000201,688,Lung Cancer Screening,8.49593244065,2.36674119535
Z16001000201,876,Mammography,6.32735538676,1.82546622244
Z16001000202,476,Gastroenterology,18.8060820588,5.76449990413
Z16001000202,738,Lung Cancer Screening,18.6723127933,5.71661097572
Z16001000202,876,Mammography,19.6697320228,6.02864665309
Z16001000302,476,Gastroenterology,10.2383739344,4.06796650816
Z16001000302,722,Lung Cancer Screening,9.08281288753,4.89958952793
Z16001000302,872,Mammography,9.08281288753,4.89958952793
Z16001000303,191,Gastroenterology,11.4768466827,4.59678318478
Z16001000303,722,Lung Cancer Screening,7.71188837256,3.98598935798
Z16001000303,872,Mammography,7.71188837256,3.98598935798
Z16001000305,191,Gastroenterology,14.1191823887,5.90909887887
Z16001000305,722,Lung Cancer Screening,8.22949386674999,3.98735797632
Z16001000305,872,Mammography,8.22949386674999,3.98735797632
Z16001000306,191,Gastroenterology,12.4275637219,5.01651815114
Z16001000306,722,Lung Cancer Screening,7.71296801652,3.94735256499
Z16001000306,872,Mammography,7.71296801652,3.94735256499
Z16001000401,191,Gastroenterology,7.59483280362,3.1369300639
Z16001000401,689,Lung Cancer Screening,6.54056405967,2.69691969029
Z16001000401,903,Mammography,7.51161563308,3.10216279533
Z16001000402,191,Gastroenterology,6.55390133104,2.84358198037
Z16001000402,738,Lung Cancer Screening,4.31074639996,1.43623924338
Z16001000402,903,Mammography,6.4706841605,2.8088147118
Z16001000501,476,Gastroenterology,7.79259478396,2.92853651327
Z16001000501,738,Lung Cancer Screening,6.46167279511,2.5089132979
Z16001000501,876,Mammography,7.85059708245,2.89950908794
Z16001000502,476,Gastroenterology,6.86732115944,2.06495898992
Z16001000502,738,Lung Cancer Screening,6.20950618876,2.11722488286
Z16001000502,876,Mammography,7.5984304761,2.5078206729
Z16001000601,476,Gastroenterology,4.22554577441,1.4273182829
Z16001000601,738,Lung Cancer Screening,4.20653552859,1.45612591485
Z16001000601,876,Mammography,5.08919573839,1.69146503186
Z16001000602,476,Gastroenterology,2.50250649455,0.779802418901
Z16001000602,738,Lung Cancer Screening,4.98884668553,1.39279448944
Z16001000602,876,Mammography,3.36615645853,1.04394916786
Z16001000701,185,Gastroenterology,2.32802192076,0.809542390579
Z16001000701,688,Lung Cancer Screening,2.69613812441,0.860134384805
Z16001000701,874,Mammography,2.69613812441,0.860134384805
Z16001000703,185,Gastroenterology,9.4052458126,4.62350328014
Z16001000703,688,Lung Cancer Screening,9.77336201626,4.67409527437
Z16001000703,874,Mammography,9.77336201626,4.67409527437
Z16001000704,185,Gastroenterology,5.79164887669,1.88435949744
Z16001000704,688,Lung Cancer Screening,6.15976508034,1.93495149167
Z16001000704,874,Mammography,6.15976508034,1.93495149167
Z16001000803,185,Gastroenterology,8.639710721,3.86956484702
Z16001000803,688,Lung Cancer Screening,9.30743726465,3.98359756501
Z16001000803,874,Mammography,9.30743726465,3.98359756501
Z16001000805,185,Gastroenterology,7.28816215819,3.56917489772
Z16001000805,688,Lung Cancer Screening,7.95588870184,3.6832076157
Z16001000805,874,Mammography,7.95588870184,3.6832076157
Z16001000806,185,Gastroenterology,3.63854158057,1.33826920943
Z16001000806,688,Lung Cancer Screening,4.30626812423,1.45230192742
Z16001000806,874,Mammography,4.30626812423,1.45230192742
Z16001000807,185,Gastroenterology,5.46371452934,2.25207497696
Z16001000807,688,Lung Cancer Screening,6.13144107299,2.36610769495
Z16001000807,874,Mammography,6.13144107299,2.36610769495
Z16001000808,185,Gastroenterology,5.27814859597,2.00701192987
Z16001000808,688,Lung Cancer Screening,5.94587513962,2.12104464786
Z16001000808,874,Mammography,5.94587513962,2.12104464786
Z16001000809,185,Gastroenterology,8.32266385164,3.17673264689
Z16001000809,688,Lung Cancer Screening,8.99039039529,3.29076536488
Z16001000809,874,Mammography,8.99039039529,3.29076536488
Z16001000810,185,Gastroenterology,7.08156753399,2.57359551105
Z16001000810,688,Lung Cancer Screening,7.74929407764,2.68762822903
Z16001000810,874,Mammography,7.74929407764,2.68762822903
Z16001000901,185,Gastroenterology,5.43427917274,1.80821579622
Z16001000901,688,Lung Cancer Screening,6.10200571639,1.9222485142
Z16001000901,874,Mammography,6.10200571639,1.9222485142
Z16001000902,185,Gastroenterology,3.71276253797,1.17413205252
Z16001000902,688,Lung Cancer Screening,4.38048908162,1.28816477051
Z16001000902,874,Mammography,4.38048908162,1.28816477051
Z16001001001,191,Gastroenterology,2.70607280066,1.07498178853
Z16001001001,689,Lung Cancer Screening,2.40742365741,0.934733675378
Z16001001001,903,Mammography,2.62285563012,1.04021451996
Z16001001002,188,Gastroenterology,7.3189634325,1.92557794457
Z16001001002,738,Lung Cancer Screening,7.15382299127,1.97312450791
Z16001001002,919,Mammography,8.16358297014999,2.06983414045
Z16001001003,191,Gastroenterology,6.20203439677,2.28722494543
Z16001001003,738,Lung Cancer Screening,4.57944921313,1.66576827393
Z16001001003,903,Mammography,6.11881722623,2.25245767686
Z16001001100,191,Gastroenterology,6.34302376967,2.33881921433
Z16001001100,689,Lung Cancer Screening,5.28875502573,1.89880884071
Z16001001100,903,Mammography,6.25980659913,2.30405194575
Z16001001201,191,Gastroenterology,6.54394312446,2.4614563038
Z16001001201,689,Lung Cancer Screening,5.48967438052,2.02144593018
Z16001001201,903,Mammography,6.46072595393,2.42668903523
Z16001001203,191,Gastroenterology,4.08613958932,1.4566664005
Z16001001203,689,Lung Cancer Screening,3.03187084538,1.01665602688
Z16001001203,903,Mammography,4.00292241879,1.42189913193
