CountyTract,FacID,FacType,minutes,miles
Z30001000100,431,Gastroenterology,112.68825368,103.228318602
Z30001000100,694,Lung Cancer Screening,115.654593457,100.657296258
Z30001000100,755,Mammography,31.8578824987,25.1545581948
Z30001000200,432,Gastroenterology,89.6398030046999,77.884595339
Z30001000200,694,Lung Cancer Screening,90.6635416833999,78.1286820471
Z30001000200,755,Mammography,13.6256081198,6.53239748768
Z30001000300,432,Gastroenterology,84.1207720807999,74.2452870611
Z30001000300,694,Lung Cancer Screening,85.1445107594999,74.4893737693
Z30001000300,755,Mammography,3.75583225939,1.55741726015
Z30003000100,336,Gastroenterology,65.6168749271,51.6399653463
Z30003000100,707,Lung Cancer Screening,67.0572331308,52.2526391763
Z30003000100,772,Mammography,5.42585025471,1.68061635887
Z30003940400,336,Gastroenterology,100.079354143,91.7589445071999
Z30003940400,707,Lung Cancer Screening,101.519712346999,92.3716183373
Z30003940400,772,Mammography,50.186791079,45.2469341705999
Z30003940500,336,Gastroenterology,63.2249892532,53.00473534
Z30003940500,707,Lung Cancer Screening,64.4764246095,53.456440139
Z30003940500,772,Mammography,53.4586485267999,47.4880846989
Z30003940600,336,Gastroenterology,76.2903789969,63.3918977216
Z30003940600,707,Lung Cancer Screening,77.7307372006,64.0045715516999
Z30003940600,772,Mammography,14.9338820546,13.055274656
Z30003940700,336,Gastroenterology,92.9831559647,87.5226864597999
Z30003940700,707,Lung Cancer Screening,94.4235141684,88.1353602899
Z30003940700,772,Mammography,43.0905929004999,41.0106761230999
Z30005000100,429,Gastroenterology,163.291443409999,165.636504207999
Z30005000100,735,Lung Cancer Screening,153.954205682,155.569597969999
Z30005000100,750,Mammography,17.0658512113999,14.2793815981
Z30005000200,429,Gastroenterology,145.697278678,139.80619246
Z30005000200,735,Lung Cancer Screening,136.36004095,129.739286222
Z30005000200,982,Mammography,38.5863597414,28.0186693467
Z30005940100,429,Gastroenterology,160.182099553,160.929465676999
Z30005940100,735,Lung Cancer Screening,150.844861825,150.86255944
Z30005940100,750,Mammography,6.33090945792,2.23116393291
Z30005940200,336,Gastroenterology,172.220381938999,175.293087149999
Z30005940200,707,Lung Cancer Screening,173.660740142999,175.905760979999
Z30005940200,750,Mammography,38.0577695150999,36.5919064483
Z30007000100,334,Gastroenterology,37.1774101847,33.8356965519
Z30007000100,693,Lung Cancer Screening,37.2995179222,33.8708278414
Z30007000100,861,Mammography,37.2995179222,33.8708278414
Z30007000200,334,Gastroenterology,44.4000472414,36.7219873777999
Z30007000200,693,Lung Cancer Screening,44.5221549788999,36.7571186674
Z30007000200,861,Mammography,44.5221549788999,36.7571186674
Z30009000100,336,Gastroenterology,42.6740320608999,31.8209178205999
Z30009000100,707,Lung Cancer Screening,43.9441704732,32.2897066686999
Z30009000100,864,Mammography,28.4968080360999,23.9868604322
Z30009000200,336,Gastroenterology,49.7718971993,41.8796749511
Z30009000200,707,Lung Cancer Screening,51.0420356115999,42.3484637992999
Z30009000200,761,Mammography,36.6115405657999,31.4741529261
Z30009000300,336,Gastroenterology,65.6303466021,59.4025683343
Z30009000300,707,Lung Cancer Screening,66.9004850144,59.8713571824999
Z30009000300,761,Mammography,2.92019536741,0.704753767441
Z30009000400,336,Gastroenterology,68.5768091624999,58.5449067209
Z30009000400,707,Lung Cancer Screening,69.8469475747999,59.0136955691
Z30009000400,761,Mammography,16.0524807809,9.19627448162
Z30009000500,336,Gastroenterology,62.6495686077999,50.727805724
Z30009000500,707,Lung Cancer Screening,63.9197070200999,51.1965945721999
Z30009000500,761,Mammography,33.7595976506,26.7276524032
