CountyTract,FacID,FacType,minutes,miles
Z32001950100,360,Gastroenterology,82.4824507361,70.7457365227
Z32001950100,702,Lung Cancer Screening,81.9536115993,70.576397423
Z32001950100,762,Mammography,10.1833055173,7.48289613098
Z32001950301,360,Gastroenterology,72.2115667341,63.1132974483
Z32001950301,702,Lung Cancer Screening,71.6827275974,62.9439583485999
Z32001950301,762,Mammography,0.882643753772,0.282946075898
Z32001950302,360,Gastroenterology,69.5616756426999,62.2635014565999
Z32001950302,702,Lung Cancer Screening,69.0328365058999,62.0941623569
Z32001950302,762,Mammography,2.86984333532,1.06942051676
Z32001950400,360,Gastroenterology,80.9115427340999,70.0784657261999
Z32001950400,702,Lung Cancer Screening,80.3827035972999,69.9091266264999
Z32001950400,762,Mammography,11.6691832404,6.06725294329
Z32001950500,360,Gastroenterology,82.9498130331,70.9923475796999
Z32001950500,702,Lung Cancer Screening,82.4209738964,70.8230084799999
Z32001950500,762,Mammography,10.6506678144,7.72950718802
Z32001950600,360,Gastroenterology,68.9134915048,60.9237399232999
Z32001950600,702,Lung Cancer Screening,68.3846523681,60.7544008236
Z32001950600,762,Mammography,10.0820551131999,5.13099770316
Z32001950700,360,Gastroenterology,66.0063239523999,59.9470578064999
Z32001950700,702,Lung Cancer Screening,65.4774848156999,59.7777187068
Z32001950700,762,Mammography,10.324172493,6.42830139669
Z32003000101,354,Gastroenterology,5.81390529479,2.27064559895
Z32003000101,700,Lung Cancer Screening,5.33598252167,2.1537069694
Z32003000101,797,Mammography,5.33598252167,2.1537069694
Z32003000103,293,Gastroenterology,2.86874217043,1.21614134599
Z32003000103,724,Lung Cancer Screening,2.62827342449,1.07493180437
Z32003000103,792,Mammography,2.62827342449,1.07493180437
Z32003000105,279,Gastroenterology,4.06867886123,1.47292053578
Z32003000105,721,Lung Cancer Screening,4.97735393843,2.17315227403
Z32003000105,829,Mammography,4.06867886123,1.47292053578
Z32003000106,293,Gastroenterology,2.80090052237,0.922125732513
Z32003000106,724,Lung Cancer Screening,5.94386003397,2.50313006534
Z32003000106,829,Mammography,5.16874193036,2.04408401231
Z32003000107,293,Gastroenterology,1.72120947675,0.519028007818
Z32003000107,724,Lung Cancer Screening,4.86416898836,2.10003234064
Z32003000107,829,Mammography,4.22257047166,1.51797213874
Z32003000108,417,Gastroenterology,6.09155885536,2.25777508893
Z32003000108,700,Lung Cancer Screening,9.11246112843,3.43626710781
Z32003000108,845,Mammography,6.8208354328,2.61095838292
Z32003000109,417,Gastroenterology,4.94258834749,2.02118478601
Z32003000109,724,Lung Cancer Screening,8.24284790211,3.62584512253
Z32003000109,845,Mammography,5.67186492493,2.37436808
Z32003000201,354,Gastroenterology,5.76048751053,2.167119561
Z32003000201,700,Lung Cancer Screening,5.28256473742,2.05018093146
Z32003000201,986,Mammography,4.40028791574,1.64236022358
Z32003000203,418,Gastroenterology,1.79712243093,0.528416621532
Z32003000203,700,Lung Cancer Screening,2.8199719311,0.891695970178
Z32003000203,857,Mammography,2.3027630557,0.693742251846
Z32003000204,354,Gastroenterology,2.81497616461,0.658287591825
Z32003000204,721,Lung Cancer Screening,3.24317643824,0.88842757731
Z32003000204,831,Mammography,2.78591278653,0.643092461382
Z32003000301,251,Gastroenterology,5.50352333754,1.92981258707
