FIPS,County,State,Type,RE,Sex,AYA (15-39 years),Alcohol-associated,All Site,Bladder,Brain & ONS,Cervix,Cervix (21-65 years),Cervix (Early Stage),Cervix (Late Stage),Colon & Rectum,Colon & Rectum (45-75 years),Colon & Rectum (Early Stage),Colon & Rectum (Late Stage),"Corpus Uteri & Uterus, NOS",Esophagus,Female Breast,Female Breast (40-74 years),Female Breast (Early Stage),Female Breast (Late Stage),HPV-associated,Head and Neck,Kidney & Renal Pelvis,Leukemia,Liver & IBD,Lung & Bronchus,Lung & Bronchus (50-80 years),Lung & Bronchus (Early Stage),Lung & Bronchus (Late Stage),Melanoma of the Skin,Non-Hodgkin Lymphoma,Obesity-associated,Oral Cavity & Pharynx,Ovary,Pancreas,Pediatric (0-19 years),Prostate,Stomach,Thyroid,Tobacco-associated
16001,Ada County,Idaho,Incidence,All,All,72.5599,130.2761,452.9948,20.3443,7.2938,5.238,8.0959,3.5424,1.6315,30.3007,57.8522,9.2876,19.0277,21.0582,4.5132,147.4862,287.7356,100.6724,45.8762,10.878,27.675,16.8732,16.7998,7.3497,43.008,125.5334,14.3264,27.5469,35.8495,18.1174,165.3028,12.3933,9.7114,13.8375,17.1955,134.9962,4.0507,12.1685,160.5059
16001,Ada County,Idaho,Incidence,All,Female,88.0822,187.545,420.0694,8.6747,6.4238,5.238,8.0959,3.5424,1.6315,28.3036,50.9006,8.0018,18.1863,21.0582,1.4248,147.4862,287.7356,100.6724,45.8762,11.3451,26.4984,10.7674,12.6701,4.9809,41.4164,120.4974,15.2301,25.6019,27.2794,13.5116,220.9704,6.7293,9.7114,11.9976,19.9505,,2.7123,17.729,125.3245
16001,Ada County,Idaho,Incidence,All,Male,57.9384,70.6611,498.4879,34.3013,8.2955,,,,,32.4562,64.9699,10.7567,19.9444,,8.0679,,,,,10.5541,30.0064,23.6361,21.5359,10.088,45.323,131.4901,13.4488,30.0178,46.4166,23.1176,105.9318,18.6397,,16.0653,14.6108,134.9962,5.6392,6.9131,201.8452
16001,Ada County,Idaho,Incidence,American Indian/Alaska Native NH,All,,,408.1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.7814,,,,,,,,233.0101
16001,Ada County,Idaho,Incidence,American Indian/Alaska Native NH,Female,,,427.3145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16001,Ada County,Idaho,Incidence,American Indian/Alaska Native NH,Male,,,383.4226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16001,Ada County,Idaho,Incidence,Asian/Pacific Islander NH,All,50.0466,118.1464,354.0425,,,,,,,30.9655,,,,,,124.4804,215.2129,72.0844,46.4634,,28.1393,,,,37.8206,138.7439,,30.8343,,,135.7224,,,,,114.4177,,,142.7431
16001,Ada County,Idaho,Incidence,Asian/Pacific Islander NH,Female,,170.9621,361.1362,,,,,,,,,,,,,124.4804,215.2129,72.0844,46.4634,,,,,,,,,,,,179.7587,,,,,,,,135.197
16001,Ada County,Idaho,Incidence,Asian/Pacific Islander NH,Male,,,365.1609,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.8058,,,,,114.4177,,,156.1185
16001,Ada County,Idaho,Incidence,Black NH,All,,91.7387,514.5965,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.1903,,,,,246.1219,,,232.5303
16001,Ada County,Idaho,Incidence,Black NH,Female,,,357.4561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16001,Ada County,Idaho,Incidence,Black NH,Male,,,1097.2552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.1219,,,712.8285
16001,Ada County,Idaho,Incidence,Hispanic,All,55.1154,126.1274,412.2561,,,,,,,32.4805,53.4515,,19.7019,,,124.0281,275.6973,85.507,35.9456,14.6311,29.3155,11.9871,,,38.0148,93.6497,,22.7179,,20.0449,174.7987,,,18.8698,,134.8839,,17.1774,164.6287
16001,Ada County,Idaho,Incidence,Hispanic,Female,74.9657,167.5363,398.9402,,,,,,,31.9374,,,,,,124.0281,275.6973,85.507,35.9456,,31.3268,,,,35.1813,,,,,,225.226,,,,,,,27.2947,136.3951
16001,Ada County,Idaho,Incidence,Hispanic,Male,38.0891,81.0155,455.1492,,,,,,,34.4862,,,,,,,,,,,29.9915,,,,,,,,,,115.0057,,,,,134.8839,,,209.0805
16001,Ada County,Idaho,Incidence,White NH,All,74.7761,130.7996,454.6786,20.613,7.6675,4.9297,7.624,3.4219,1.5078,30.2647,57.9675,9.3412,19.0212,21.5854,4.6053,149.1568,289.5688,102.2348,46.1007,10.8877,26.9846,16.6193,16.6013,6.9268,42.8035,124.7608,14.2565,27.4014,38.4216,18.1721,164.8503,12.3562,9.5173,13.8154,16.8119,133.7209,3.5712,11.4236,159.167
16001,Ada County,Idaho,Incidence,White NH,Female,90.5767,188.9683,421.1731,8.8088,6.4552,4.9297,7.624,3.4219,1.5078,28.1136,50.2885,7.9481,18.1903,21.5854,1.4818,149.1568,289.5688,102.2348,46.1007,11.3279,25.429,10.3472,12.5984,4.6094,41.1701,119.3047,15.0882,25.4644,29.0833,14.0579,220.7679,6.7697,9.5173,11.994,19.2548,,2.3562,16.5264,123.6062
16001,Ada County,Idaho,Incidence,White NH,Male,59.8163,70.5235,500.0879,34.569,9.0099,,,,,32.5999,65.86,10.9051,19.9476,,8.1885,,,,,10.5766,29.6386,23.5601,21.1925,9.6252,45.0909,131.003,13.4194,29.8366,49.7334,22.6589,105.4439,18.5055,,16.0666,14.5699,133.7209,4.9417,6.5895,200.6531
16003,Adams County,Idaho,Incidence,All,All,,82.1472,401.3965,,,,,,,,,,,,,108.1233,248.0679,,,,,,,,47.5449,154.0581,,,,,119.9941,,,,,106.7621,,,133.8194
16003,Adams County,Idaho,Incidence,All,Female,,130.7585,391.427,,,,,,,,,,,,,108.1233,248.0679,,,,,,,,,,,,,,168.7167,,,,,,,,116.4289
16003,Adams County,Idaho,Incidence,All,Male,,,408.7792,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.6364,,,,,106.7621,,,147.5373
16003,Adams County,Idaho,Incidence,American Indian/Alaska Native NH,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Incidence,American Indian/Alaska Native NH,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Incidence,American Indian/Alaska Native NH,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Incidence,Asian/Pacific Islander NH,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Incidence,Asian/Pacific Islander NH,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Incidence,Asian/Pacific Islander NH,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Incidence,Black NH,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Incidence,Black NH,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Incidence,Black NH,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
