"FIPS","County","State","Type","RE","Sex","All.Site","Bladder","Brain...ONS","Cervix","Colon...Rectum","Corpus.Uteri...Uterus..NOS","Esophagus","Female.Breast","Kidney...Renal.Pelvis","Leukemia","Liver...IBD","Lung...Bronchus","Melanoma.of.the.Skin","Non.Hodgkin.Lymphoma","Oral.Cavity...Pharynx","Ovary","Pancreas","Prostate","Stomach","Thyroid"
16001,"Ada County","Idaho","Mortality","All","All",131.8,4.3,5.3,NA,10,NA,4.3,NA,3.5,6.5,5.4,24.2,2.8,4.4,2.4,NA,10.6,NA,1.8,0.6
16001,"Ada County","Idaho","Mortality","All","Female",117.6,2.3,4.7,1.6,8.6,4.6,1.3,19.7,2.3,5.2,3.5,22,1.7,3.5,1,6.2,9.1,NA,1.4,NA
16001,"Ada County","Idaho","Mortality","All","Male",151,7,5.9,NA,11.5,NA,8,NA,4.9,8.1,7.5,27,4,5.1,4,NA,12.4,18,2.3,NA
16001,"Ada County","Idaho","Mortality","American Indian/Alaska Native NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16001,"Ada County","Idaho","Mortality","American Indian/Alaska Native NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16001,"Ada County","Idaho","Mortality","American Indian/Alaska Native NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16001,"Ada County","Idaho","Mortality","Asian/Pacific Islander NH","All",130.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8,NA,NA,NA,NA,NA,NA,NA,NA
16001,"Ada County","Idaho","Mortality","Asian/Pacific Islander NH","Female",139.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16001,"Ada County","Idaho","Mortality","Asian/Pacific Islander NH","Male",116.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16001,"Ada County","Idaho","Mortality","Black NH","All",176.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16001,"Ada County","Idaho","Mortality","Black NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16001,"Ada County","Idaho","Mortality","Black NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16001,"Ada County","Idaho","Mortality","Hispanic","All",99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
