FIPS,County,State,Type,RE,Sex,All Site,Bladder,Brain & ONS,Cervix,Colon & Rectum,"Corpus Uteri & Uterus, NOS",Esophagus,Female Breast,Kidney & Renal Pelvis,Leukemia,Liver & IBD,Lung & Bronchus,Melanoma of the Skin,Non-Hodgkin Lymphoma,Oral Cavity & Pharynx,Ovary,Pancreas,Prostate,Stomach,Thyroid
16001,Ada County,Idaho,Mortality,All,All,131.8,4.3,5.3,,10.0,,4.3,,3.5,6.5,5.4,24.2,2.8,4.4,2.4,,10.6,,1.8,0.6
16001,Ada County,Idaho,Mortality,All,Female,117.6,2.3,4.7,1.6,8.6,4.6,1.3,19.7,2.3,5.2,3.5,22.0,1.7,3.5,1.0,6.2,9.1,,1.4,
16001,Ada County,Idaho,Mortality,All,Male,151.0,7.0,5.9,,11.5,,8.0,,4.9,8.1,7.5,27.0,4.0,5.1,4.0,,12.4,18.0,2.3,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,All,,,,,,,,,,,,,,,,,,,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Female,,,,,,,,,,,,,,,,,,,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Male,,,,,,,,,,,,,,,,,,,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,All,130.9,,,,,,,,,,,36.8,,,,,,,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Female,139.8,,,,,,,,,,,,,,,,,,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Male,116.5,,,,,,,,,,,,,,,,,,,
16001,Ada County,Idaho,Mortality,Black NH,All,176.2,,,,,,,,,,,,,,,,,,,
16001,Ada County,Idaho,Mortality,Black NH,Female,,,,,,,,,,,,,,,,,,,,
16001,Ada County,Idaho,Mortality,Black NH,Male,,,,,,,,,,,,,,,,,,,,
16001,Ada County,Idaho,Mortality,Hispanic,All,99.5,,,,,,,,,,,,,,,,,,,
16001,Ada County,Idaho,Mortality,Hispanic,Female,74.8,,,,,,,,,,,,,,,,,,,
16001,Ada County,Idaho,Mortality,Hispanic,Male,141.5,,,,,,,,,,,,,,,,,,,
16001,Ada County,Idaho,Mortality,White NH,All,132.7,4.6,5.6,,9.9,,4.4,,3.4,6.6,4.9,24.4,3.0,4.4,2.4,,10.6,,1.6,
16001,Ada County,Idaho,Mortality,White NH,Female,118.4,2.5,4.8,1.4,8.5,4.8,1.3,20.1,2.3,5.3,3.2,22.1,1.9,3.6,1.1,6.5,9.1,,1.1,
16001,Ada County,Idaho,Mortality,White NH,Male,151.8,7.4,6.4,,11.6,,8.0,,4.7,8.2,7.0,27.3,4.3,5.0,4.0,,12.4,18.2,2.1,
16003,Adams County,Idaho,Mortality,All,All,146.6,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Mortality,All,Female,134.6,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Mortality,All,Male,155.7,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Mortality,American Indian/Alaska Native NH,All,,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Mortality,American Indian/Alaska Native NH,Female,,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Mortality,American Indian/Alaska Native NH,Male,,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Mortality,Asian/Pacific Islander NH,All,,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Mortality,Asian/Pacific Islander NH,Female,,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Mortality,Asian/Pacific Islander NH,Male,,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Mortality,Black NH,All,,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Mortality,Black NH,Female,,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Mortality,Black NH,Male,,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Mortality,Hispanic,All,,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Mortality,Hispanic,Female,,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Mortality,Hispanic,Male,,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Mortality,White NH,All,149.2,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Mortality,White NH,Female,143.0,,,,,,,,,,,,,,,,,,,
16003,Adams County,Idaho,Mortality,White NH,Male,152.9,,,,,,,,,,,,,,,,,,,
16005,Bannock County,Idaho,Mortality,All,All,153.1,,6.4,,14.0,,,,3.8,7.5,7.6,27.2,,5.0,,,12.4,,,
16005,Bannock County,Idaho,Mortality,All,Female,132.6,,,,12.5,,,20.3,,,,24.0,,,,,11.7,,,
16005,Bannock County,Idaho,Mortality,All,Male,182.1,,,,16.0,,,,,10.0,10.4,30.6,,,,,13.7,28.1,,
16005,Bannock County,Idaho,Mortality,American Indian/Alaska Native NH,All,228.5,,,,,,,,,,,,,,,,,,,
16005,Bannock County,Idaho,Mortality,American Indian/Alaska Native NH,Female,,,,,,,,,,,,,,,,,,,,
16005,Bannock County,Idaho,Mortality,American Indian/Alaska Native NH,Male,,,,,,,,,,,,,,,,,,,,
16005,Bannock County,Idaho,Mortality,Asian/Pacific Islander NH,All,,,,,,,,,,,,,,,,,,,,
16005,Bannock County,Idaho,Mortality,Asian/Pacific Islander NH,Female,,,,,,,,,,,,,,,,,,,,
16005,Bannock County,Idaho,Mortality,Asian/Pacific Islander NH,Male,,,,,,,,,,,,,,,,,,,,
