FIPS,County,State,Gini Coefficient,Economic Segregation,Racial Economic Segregation,Racial Segregation,Gender Pay Gap,Uninsured Children,Uninsured (Black),Uninsured (Hispanic),Living Below Poverty (Black),Living Below Poverty (Hispanic),Lack_English_Prof
16001,Ada County,Idaho,0.4516,0.11654295882053889,0.21356888662938486,0.804148000598364,0.22201975501467885,0.043608040284105476,0.08505236432878452,0.15940366972477063,0.2151767151767152,0.08261846405228758,0.01158111974354609
16003,Adams County,Idaho,0.4807,-0.0702054794520548,0.12899543378995434,0.8856273102848445,0.2557523846603076,0.11477411477411477,0.0,0.2676767676767677,0.0,0.0,0.0022497187851518562
16005,Bannock County,Idaho,0.4405,-0.09253149370125975,0.11175764847030593,0.8024916060910952,0.22380054832076768,0.030589312468786416,0.34002509410288584,0.09547738693467336,0.35294117647058826,0.12235649546827794,0.0030756983644521637
16007,Bear Lake County,Idaho,0.4129,-0.0632582322357019,0.13344887348353554,0.9284188034188035,0.5168707482993198,0.041274817136886105,0.0,0.2827868852459016,,0.24242424242424243,0.01044556879386323
16009,Benewah County,Idaho,0.4618,-0.11814982403217697,0.08647561588738059,0.83456067789771,0.21669611149776036,0.1368653421633554,0.0,0.06837606837606838,,0.1282051282051282,0.0012778191885848152
16011,Bingham County,Idaho,0.4241,0.007433318758198513,0.14666749953151353,0.7385748984548813,0.21575300838701839,0.04779652151170394,0.07692307692307693,0.13520765282314512,,0.09887640449438202,0.02412468444737131
16013,Blaine County,Idaho,0.4802,0.0877621665648544,0.19843209122378333,0.7230562675454656,0.00402022620472775,0.06991116261104674,0.0,0.22594303310238645,,0.1467780429594272,0.04448458371839032
16015,Boise County,Idaho,0.3601,0.007661748013620885,0.12202043132803632,0.8490988191423244,0.3184265382942667,0.12464589235127478,0.8125,0.23036649214659685,,0.0,0.004523132592401137
16017,Bonner County,Idaho,0.4701,-0.07556507985101281,0.12740445941119444,0.8987989323843416,0.21625708884688088,0.06892884764114462,0.5309734513274337,0.14188422247446084,0.0,0.09455587392550144,0.0035140455979169754
16019,Bonneville County,Idaho,0.4279,0.014846235418875928,0.16692793582000093,0.8042044452839693,0.3492731024271921,0.0395186858726315,0.0,0.11589088668571108,0.12179487179487179,0.09374174808555585,0.010618097597942798
16021,Boundary County,Idaho,0.4194,-0.1609100310237849,0.09017580144777664,0.862229224103978,0.2630962105337926,0.16116377901274925,0.0,0.1430615164520744,,0.25170068027210885,0.006821052631578947
16023,Butte County,Idaho,0.4652,-0.23697148475909538,0.046214355948869225,0.8831951770911831,0.2320124218169094,0.0,,0.2926829268292683,,0.3333333333333333,0.01623119556611243
16025,Camas County,Idaho,0.429,-0.05309734513274336,0.10029498525073746,0.7619047619047619,0.19158648543162116,0.08616187989556136,,0.08536585365853659,,0.0,0.004748338081671415
16027,Canyon County,Idaho,0.3945,-0.027358080710561884,0.10204672716740684,0.6704935954291372,0.23445277083911553,0.08300900461001566,0.043142305215711524,0.17793422702285658,0.1552346570397112,0.13079245283018867,0.02803349318313651
16029,Caribou County,Idaho,0.3877,-0.09588477366255144,0.102880658436214,0.907839280696825,0.3075236247180021,0.013820335636722606,,0.015463917525773196,,0.0,0.0007503001200480192
16031,Cassia County,Idaho,0.4433,-0.07259043457149794,0.09844622481184753,0.6516590502682297,0.3021534804998379,0.07304262855746915,0.0,0.23615834580329206,,0.11593304401735896,0.046493573708272236
16033,Clark County,Idaho,0.3236,-0.21428571428571427,0.023809523809523808,0.5927835051546392,0.23776620321754105,0.008928571428571428,,0.5042372881355932,,0.16216216216216217,0.13154172560113153
16035,Clearwater County,Idaho,0.4263,-0.16119067677618645,0.08986239820275203,0.8824122856182043,0.30550993732613874,0.15096952908587258,0.4666666666666667,0.1755485893416928,,0.0,0.010821503374447289
