"FIPS","County","State","measure","value"
16001,"Ada County","Idaho","Gini Coefficient",0.4516
16003,"Adams County","Idaho","Gini Coefficient",0.4807
16005,"Bannock County","Idaho","Gini Coefficient",0.4405
16007,"Bear Lake County","Idaho","Gini Coefficient",0.4129
16009,"Benewah County","Idaho","Gini Coefficient",0.4618
16011,"Bingham County","Idaho","Gini Coefficient",0.4241
16013,"Blaine County","Idaho","Gini Coefficient",0.4802
16015,"Boise County","Idaho","Gini Coefficient",0.3601
16017,"Bonner County","Idaho","Gini Coefficient",0.4701
16019,"Bonneville County","Idaho","Gini Coefficient",0.4279
16021,"Boundary County","Idaho","Gini Coefficient",0.4194
16023,"Butte County","Idaho","Gini Coefficient",0.4652
16025,"Camas County","Idaho","Gini Coefficient",0.429
16027,"Canyon County","Idaho","Gini Coefficient",0.3945
16029,"Caribou County","Idaho","Gini Coefficient",0.3877
16031,"Cassia County","Idaho","Gini Coefficient",0.4433
16033,"Clark County","Idaho","Gini Coefficient",0.3236
16035,"Clearwater County","Idaho","Gini Coefficient",0.4263
16037,"Custer County","Idaho","Gini Coefficient",0.3954
16039,"Elmore County","Idaho","Gini Coefficient",0.4206
16041,"Franklin County","Idaho","Gini Coefficient",0.4213
16043,"Fremont County","Idaho","Gini Coefficient",0.4173
16045,"Gem County","Idaho","Gini Coefficient",0.4339
16047,"Gooding County","Idaho","Gini Coefficient",0.4414
16049,"Idaho County","Idaho","Gini Coefficient",0.4282
16051,"Jefferson County","Idaho","Gini Coefficient",0.3746
16053,"Jerome County","Idaho","Gini Coefficient",0.4368
16055,"Kootenai County","Idaho","Gini Coefficient",0.427
16057,"Latah County","Idaho","Gini Coefficient",0.4611
16059,"Lemhi County","Idaho","Gini Coefficient",0.4945
16061,"Lewis County","Idaho","Gini Coefficient",0.4724
16063,"Lincoln County","Idaho","Gini Coefficient",0.3876
16065,"Madison County","Idaho","Gini Coefficient",0.5121
16067,"Minidoka County","Idaho","Gini Coefficient",0.4301
16069,"Nez Perce County","Idaho","Gini Coefficient",0.4529
16071,"Oneida County","Idaho","Gini Coefficient",0.4038
16073,"Owyhee County","Idaho","Gini Coefficient",0.3911
16075,"Payette County","Idaho","Gini Coefficient",0.3891
16077,"Power County","Idaho","Gini Coefficient",0.3551
16079,"Shoshone County","Idaho","Gini Coefficient",0.4079
16081,"Teton County","Idaho","Gini Coefficient",0.4147
16083,"Twin Falls County","Idaho","Gini Coefficient",0.4363
16085,"Valley County","Idaho","Gini Coefficient",0.5103
16087,"Washington County","Idaho","Gini Coefficient",0.4367
30001,"Beaverhead County","Montana","Gini Coefficient",0.4357
30003,"Big Horn County","Montana","Gini Coefficient",0.4325
30005,"Blaine County","Montana","Gini Coefficient",0.4686
30007,"Broadwater County","Montana","Gini Coefficient",0.4199
30009,"Carbon County","Montana","Gini Coefficient",0.4626
30011,"Carter County","Montana","Gini Coefficient",0.3892
30013,"Cascade County","Montana","Gini Coefficient",0.4435
30015,"Chouteau County","Montana","Gini Coefficient",0.4419
30017,"Custer County","Montana","Gini Coefficient",0.4456
30019,"Daniels County","Montana","Gini Coefficient",0.3843
30021,"Dawson County","Montana","Gini Coefficient",0.3993
30023,"Deer Lodge County","Montana","Gini Coefficient",0.4252
30025,"Fallon County","Montana","Gini Coefficient",0.4872
30027,"Fergus County","Montana","Gini Coefficient",0.4323
30029,"Flathead County","Montana","Gini Coefficient",0.4495
30031,"Gallatin County","Montana","Gini Coefficient",0.4724
30033,"Garfield County","Montana","Gini Coefficient",0.4626
30035,"Glacier County","Montana","Gini Coefficient",0.4841
30037,"Golden Valley County","Montana","Gini Coefficient",0.4541
30039,"Granite County","Montana","Gini Coefficient",0.4768
30041,"Hill County","Montana","Gini Coefficient",0.4428
30043,"Jefferson County","Montana","Gini Coefficient",0.432
30045,"Judith Basin County","Montana","Gini Coefficient",0.5063
30047,"Lake County","Montana","Gini Coefficient",0.4879
30049,"Lewis And Clark County","Montana","Gini Coefficient",0.443
30051,"Liberty County","Montana","Gini Coefficient",0.4998
30053,"Lincoln County","Montana","Gini Coefficient",0.4437
30055,"McCone County","Montana","Gini Coefficient",0.3877
30057,"Madison County","Montana","Gini Coefficient",0.4127
30059,"Meagher County","Montana","Gini Coefficient",0.4441
30061,"Mineral County","Montana","Gini Coefficient",0.452
30063,"Missoula County","Montana","Gini Coefficient",0.472
30065,"Musselshell County","Montana","Gini Coefficient",0.4738
30067,"Park County","Montana","Gini Coefficient",0.4793
30069,"Petroleum County","Montana","Gini Coefficient",0.4207
30071,"Phillips County","Montana","Gini Coefficient",0.4401
30073,"Pondera County","Montana","Gini Coefficient",0.4503
30075,"Powder River County","Montana","Gini Coefficient",0.47
30077,"Powell County","Montana","Gini Coefficient",0.4452
30079,"Prairie County","Montana","Gini Coefficient",0.522
30081,"Ravalli County","Montana","Gini Coefficient",0.4385
30083,"Richland County","Montana","Gini Coefficient",0.4563
30085,"Roosevelt County","Montana","Gini Coefficient",0.4663
30087,"Rosebud County","Montana","Gini Coefficient",0.4553
30089,"Sanders County","Montana","Gini Coefficient",0.4487
30091,"Sheridan County","Montana","Gini Coefficient",0.5003
30093,"Silver Bow County","Montana","Gini Coefficient",0.4847
30095,"Stillwater County","Montana","Gini Coefficient",0.4601
30097,"Sweet Grass County","Montana","Gini Coefficient",0.4571
30099,"Teton County","Montana","Gini Coefficient",0.4151
30101,"Toole County","Montana","Gini Coefficient",0.4462
30103,"Treasure County","Montana","Gini Coefficient",0.4859
30105,"Valley County","Montana","Gini Coefficient",0.384
30107,"Wheatland County","Montana","Gini Coefficient",0.4987
30109,"Wibaux County","Montana","Gini Coefficient",0.4149
30111,"Yellowstone County","Montana","Gini Coefficient",0.4582
32001,"Churchill County","Nevada","Gini Coefficient",0.4278
32003,"Clark County","Nevada","Gini Coefficient",0.4697
32005,"Douglas County","Nevada","Gini Coefficient",0.4723
32007,"Elko County","Nevada","Gini Coefficient",0.4229
32009,"Esmeralda County","Nevada","Gini Coefficient",0.4779
