FIPS,Tract,County,State,measure,value
16001000101,Census Tract 1.01,Ada County,Idaho,Gini Coefficient,0.5384
16001000102,Census Tract 1.02,Ada County,Idaho,Gini Coefficient,0.4767
16001000201,Census Tract 2.01,Ada County,Idaho,Gini Coefficient,0.5766
16001000202,Census Tract 2.02,Ada County,Idaho,Gini Coefficient,0.4821
16001000302,Census Tract 3.02,Ada County,Idaho,Gini Coefficient,0.5401
16001000303,Census Tract 3.03,Ada County,Idaho,Gini Coefficient,0.4388
16001000305,Census Tract 3.05,Ada County,Idaho,Gini Coefficient,0.392
16001000306,Census Tract 3.06,Ada County,Idaho,Gini Coefficient,0.4148
16001000401,Census Tract 4.01,Ada County,Idaho,Gini Coefficient,0.3369
16001000402,Census Tract 4.02,Ada County,Idaho,Gini Coefficient,0.4033
16001000501,Census Tract 5.01,Ada County,Idaho,Gini Coefficient,0.4448
16001000502,Census Tract 5.02,Ada County,Idaho,Gini Coefficient,0.5091
16001000601,Census Tract 6.01,Ada County,Idaho,Gini Coefficient,0.6043
16001000602,Census Tract 6.02,Ada County,Idaho,Gini Coefficient,0.473
16001000701,Census Tract 7.01,Ada County,Idaho,Gini Coefficient,0.4589
16001000703,Census Tract 7.03,Ada County,Idaho,Gini Coefficient,0.323
16001000704,Census Tract 7.04,Ada County,Idaho,Gini Coefficient,0.448
16001000803,Census Tract 8.03,Ada County,Idaho,Gini Coefficient,0.3032
16001000805,Census Tract 8.05,Ada County,Idaho,Gini Coefficient,0.5072
16001000806,Census Tract 8.06,Ada County,Idaho,Gini Coefficient,0.367
16001000807,Census Tract 8.07,Ada County,Idaho,Gini Coefficient,0.374
16001000808,Census Tract 8.08,Ada County,Idaho,Gini Coefficient,0.4756
16001000809,Census Tract 8.09,Ada County,Idaho,Gini Coefficient,0.5917
16001000810,Census Tract 8.10,Ada County,Idaho,Gini Coefficient,0.3251
16001000901,Census Tract 9.01,Ada County,Idaho,Gini Coefficient,0.3918
16001000902,Census Tract 9.02,Ada County,Idaho,Gini Coefficient,0.4606
16001001001,Census Tract 10.01,Ada County,Idaho,Gini Coefficient,0.3913
16001001002,Census Tract 10.02,Ada County,Idaho,Gini Coefficient,0.3302
16001001003,Census Tract 10.03,Ada County,Idaho,Gini Coefficient,0.4576
16001001100,Census Tract 11,Ada County,Idaho,Gini Coefficient,0.5196
16001001201,Census Tract 12.01,Ada County,Idaho,Gini Coefficient,0.3867
16001001203,Census Tract 12.03,Ada County,Idaho,Gini Coefficient,0.3729
16001001204,Census Tract 12.04,Ada County,Idaho,Gini Coefficient,0.3611
16001001401,Census Tract 14.01,Ada County,Idaho,Gini Coefficient,0.4371
16001001402,Census Tract 14.02,Ada County,Idaho,Gini Coefficient,0.4796
16001001500,Census Tract 15,Ada County,Idaho,Gini Coefficient,0.3594
16001001600,Census Tract 16,Ada County,Idaho,Gini Coefficient,0.3817
16001001701,Census Tract 17.01,Ada County,Idaho,Gini Coefficient,0.3796
16001001702,Census Tract 17.02,Ada County,Idaho,Gini Coefficient,0.377
16001001800,Census Tract 18,Ada County,Idaho,Gini Coefficient,0.4661
16001001900,Census Tract 19,Ada County,Idaho,Gini Coefficient,0.3657
16001002000,Census Tract 20,Ada County,Idaho,Gini Coefficient,0.4208
16001002100,Census Tract 21,Ada County,Idaho,Gini Coefficient,0.3773
16001002223,Census Tract 22.23,Ada County,Idaho,Gini Coefficient,0.3677
16001002225,Census Tract 22.25,Ada County,Idaho,Gini Coefficient,0.3225
16001002226,Census Tract 22.26,Ada County,Idaho,Gini Coefficient,0.3415
16001002227,Census Tract 22.27,Ada County,Idaho,Gini Coefficient,0.317
16001002228,Census Tract 22.28,Ada County,Idaho,Gini Coefficient,0.4934
16001002229,Census Tract 22.29,Ada County,Idaho,Gini Coefficient,0.418
16001002230,Census Tract 22.30,Ada County,Idaho,Gini Coefficient,0.3598
16001002231,Census Tract 22.31,Ada County,Idaho,Gini Coefficient,0.3633
16001002313,Census Tract 23.13,Ada County,Idaho,Gini Coefficient,0.3315
16001002314,Census Tract 23.14,Ada County,Idaho,Gini Coefficient,0.398
16001002315,Census Tract 23.15,Ada County,Idaho,Gini Coefficient,0.3944
16001002316,Census Tract 23.16,Ada County,Idaho,Gini Coefficient,0.4372
16001002317,Census Tract 23.17,Ada County,Idaho,Gini Coefficient,0.3458
16001002318,Census Tract 23.18,Ada County,Idaho,Gini Coefficient,0.3925
16001002319,Census Tract 23.19,Ada County,Idaho,Gini Coefficient,0.2981
16001002412,Census Tract 24.12,Ada County,Idaho,Gini Coefficient,0.5075
16001002414,Census Tract 24.14,Ada County,Idaho,Gini Coefficient,0.4703
16001002415,Census Tract 24.15,Ada County,Idaho,Gini Coefficient,0.3552
16001002416,Census Tract 24.16,Ada County,Idaho,Gini Coefficient,0.3063
16001002417,Census Tract 24.17,Ada County,Idaho,Gini Coefficient,0.4369
16001002418,Census Tract 24.18,Ada County,Idaho,Gini Coefficient,0.4353
16001002419,Census Tract 24.19,Ada County,Idaho,Gini Coefficient,0.4433
