"FIPS","County","State","measure","value"
16001,"Ada County","Idaho","Insurance Coverage",0.933149810428726
16003,"Adams County","Idaho","Insurance Coverage",0.881014873140857
16005,"Bannock County","Idaho","Insurance Coverage",0.928013737836291
16007,"Bear Lake County","Idaho","Insurance Coverage",0.923159839852171
16009,"Benewah County","Idaho","Insurance Coverage",0.859836901121305
16011,"Bingham County","Idaho","Insurance Coverage",0.911295811248376
16013,"Blaine County","Idaho","Insurance Coverage",0.896948903320671
16015,"Boise County","Idaho","Insurance Coverage",0.887613820631159
16017,"Bonner County","Idaho","Insurance Coverage",0.894623129917248
16019,"Bonneville County","Idaho","Insurance Coverage",0.920445587521001
16021,"Boundary County","Idaho","Insurance Coverage",0.863860598345003
16023,"Butte County","Idaho","Insurance Coverage",0.923925446937999
16025,"Camas County","Idaho","Insurance Coverage",0.856277056277056
16027,"Canyon County","Idaho","Insurance Coverage",0.882794934772942
16029,"Caribou County","Idaho","Insurance Coverage",0.926558497011102
16031,"Cassia County","Idaho","Insurance Coverage",0.885050985450002
16033,"Clark County","Idaho","Insurance Coverage",0.826199740596628
16035,"Clearwater County","Idaho","Insurance Coverage",0.876917413179531
16037,"Custer County","Idaho","Insurance Coverage",0.858548867017624
16039,"Elmore County","Idaho","Insurance Coverage",0.877825745682889
16041,"Franklin County","Idaho","Insurance Coverage",0.887017591708714
16043,"Fremont County","Idaho","Insurance Coverage",0.877993331312519
16045,"Gem County","Idaho","Insurance Coverage",0.880948737566947
16047,"Gooding County","Idaho","Insurance Coverage",0.804038080633825
16049,"Idaho County","Idaho","Insurance Coverage",0.847372860930345
16051,"Jefferson County","Idaho","Insurance Coverage",0.913814047656128
16053,"Jerome County","Idaho","Insurance Coverage",0.84220570918098
16055,"Kootenai County","Idaho","Insurance Coverage",0.904084562181913
16057,"Latah County","Idaho","Insurance Coverage",0.926000798642308
16059,"Lemhi County","Idaho","Insurance Coverage",0.931561296733325
16061,"Lewis County","Idaho","Insurance Coverage",0.874758620689655
16063,"Lincoln County","Idaho","Insurance Coverage",0.84535686876439
16065,"Madison County","Idaho","Insurance Coverage",0.946769415382308
16067,"Minidoka County","Idaho","Insurance Coverage",0.870477932769266
16069,"Nez Perce County","Idaho","Insurance Coverage",0.912371257772549
16071,"Oneida County","Idaho","Insurance Coverage",0.930127237437999
16073,"Owyhee County","Idaho","Insurance Coverage",0.788913635238802
16075,"Payette County","Idaho","Insurance Coverage",0.919596830037701
16077,"Power County","Idaho","Insurance Coverage",0.83073244399698
16079,"Shoshone County","Idaho","Insurance Coverage",0.892200806813088
16081,"Teton County","Idaho","Insurance Coverage",0.85307743216413
16083,"Twin Falls County","Idaho","Insurance Coverage",0.898532766032108
16085,"Valley County","Idaho","Insurance Coverage",0.899941874948103
16087,"Washington County","Idaho","Insurance Coverage",0.90192037470726
30001,"Beaverhead County","Montana","Insurance Coverage",0.944326165637641
30003,"Big Horn County","Montana","Insurance Coverage",0.814863916400218
30005,"Blaine County","Montana","Insurance Coverage",0.82799129804206
30007,"Broadwater County","Montana","Insurance Coverage",0.933553901295837
30009,"Carbon County","Montana","Insurance Coverage",0.924510804043402
30011,"Carter County","Montana","Insurance Coverage",0.911061285500747
30013,"Cascade County","Montana","Insurance Coverage",0.932670711883756
30015,"Chouteau County","Montana","Insurance Coverage",0.941227014951023
30017,"Custer County","Montana","Insurance Coverage",0.924310948033109
30019,"Daniels County","Montana","Insurance Coverage",0.977333333333333
30021,"Dawson County","Montana","Insurance Coverage",0.945782431646306
30023,"Deer Lodge County","Montana","Insurance Coverage",0.932393745870954
30025,"Fallon County","Montana","Insurance Coverage",0.915728296403923
30027,"Fergus County","Montana","Insurance Coverage",0.848974902792506
30029,"Flathead County","Montana","Insurance Coverage",0.90851192413184
30031,"Gallatin County","Montana","Insurance Coverage",0.926838887793335
30033,"Garfield County","Montana","Insurance Coverage",0.890928725701944
30035,"Glacier County","Montana","Insurance Coverage",0.707173801306998
30037,"Golden Valley County","Montana","Insurance Coverage",0.847619047619048
30039,"Granite County","Montana","Insurance Coverage",0.921075968075672
30041,"Hill County","Montana","Insurance Coverage",0.912773745269558
30043,"Jefferson County","Montana","Insurance Coverage",0.948855333658061
30045,"Judith Basin County","Montana","Insurance Coverage",0.935703848027277
30047,"Lake County","Montana","Insurance Coverage",0.858765571558568
30049,"Lewis And Clark County","Montana","Insurance Coverage",0.938228845160119
30051,"Liberty County","Montana","Insurance Coverage",0.955670103092784
30053,"Lincoln County","Montana","Insurance Coverage",0.8575759057351
30055,"McCone County","Montana","Insurance Coverage",0.94219010561423
30057,"Madison County","Montana","Insurance Coverage",0.926121076233184
30059,"Meagher County","Montana","Insurance Coverage",0.967196309584828
30061,"Mineral County","Montana","Insurance Coverage",0.916684155299056
30063,"Missoula County","Montana","Insurance Coverage",0.935870764514146
30065,"Musselshell County","Montana","Insurance Coverage",0.910119047619048
30067,"Park County","Montana","Insurance Coverage",0.915399677493665
30069,"Petroleum County","Montana","Insurance Coverage",0.937655860349127
30071,"Phillips County","Montana","Insurance Coverage",0.92477769766883
30073,"Pondera County","Montana","Insurance Coverage",0.923504633529907
30075,"Powder River County","Montana","Insurance Coverage",0.943506115317414
30077,"Powell County","Montana","Insurance Coverage",0.923848439821694
30079,"Prairie County","Montana","Insurance Coverage",0.94299674267101
30081,"Ravalli County","Montana","Insurance Coverage",0.911802141853933
30083,"Richland County","Montana","Insurance Coverage",0.938981252210824
30085,"Roosevelt County","Montana","Insurance Coverage",0.704327843738031
30087,"Rosebud County","Montana","Insurance Coverage",0.849613923274911
30089,"Sanders County","Montana","Insurance Coverage",0.866286784794317
30091,"Sheridan County","Montana","Insurance Coverage",0.904011065006916
30093,"Silver Bow County","Montana","Insurance Coverage",0.933625907122164
30095,"Stillwater County","Montana","Insurance Coverage",0.954246910831571
30097,"Sweet Grass County","Montana","Insurance Coverage",0.907734056987788
30099,"Teton County","Montana","Insurance Coverage",0.94487552537989
30101,"Toole County","Montana","Insurance Coverage",0.923652016311735
30103,"Treasure County","Montana","Insurance Coverage",0.946123521681997
30105,"Valley County","Montana","Insurance Coverage",0.935692183505987
30107,"Wheatland County","Montana","Insurance Coverage",0.823179791976226
30109,"Wibaux County","Montana","Insurance Coverage",0.93716814159292
30111,"Yellowstone County","Montana","Insurance Coverage",0.931030933452813
32001,"Churchill County","Nevada","Insurance Coverage",0.912180252914281
32003,"Clark County","Nevada","Insurance Coverage",0.879301074084032
32005,"Douglas County","Nevada","Insurance Coverage",0.940949338939878
32007,"Elko County","Nevada","Insurance Coverage",0.910967014378348
32009,"Esmeralda County","Nevada","Insurance Coverage",0.930890052356021
32011,"Eureka County","Nevada","Insurance Coverage",0.896009673518742
32013,"Humboldt County","Nevada","Insurance Coverage",0.919906596614127
32015,"Lander County","Nevada","Insurance Coverage",0.948511383537653
32017,"Lincoln County","Nevada","Insurance Coverage",0.897684839432412
