FIPS,County,State,measure,value
16001,Ada County,Idaho,Insurance Coverage,0.9301212958697989
16003,Adams County,Idaho,Insurance Coverage,0.8754504504504504
16005,Bannock County,Idaho,Insurance Coverage,0.9214605101591641
16007,Bear Lake County,Idaho,Insurance Coverage,0.9405396925007844
16009,Benewah County,Idaho,Insurance Coverage,0.8607818673320857
16011,Bingham County,Idaho,Insurance Coverage,0.9018212267113251
16013,Blaine County,Idaho,Insurance Coverage,0.8773264951608901
16015,Boise County,Idaho,Insurance Coverage,0.8658850811646482
16017,Bonner County,Idaho,Insurance Coverage,0.901536327525693
16019,Bonneville County,Idaho,Insurance Coverage,0.9107473598700244
16021,Boundary County,Idaho,Insurance Coverage,0.8798357289527721
16023,Butte County,Idaho,Insurance Coverage,0.9247856586126266
16025,Camas County,Idaho,Insurance Coverage,0.8940864960282436
16027,Canyon County,Idaho,Insurance Coverage,0.8798849268788346
16029,Caribou County,Idaho,Insurance Coverage,0.9037909247558874
16031,Cassia County,Idaho,Insurance Coverage,0.8882857142857142
16033,Clark County,Idaho,Insurance Coverage,0.7636122177954847
16035,Clearwater County,Idaho,Insurance Coverage,0.866625
16037,Custer County,Idaho,Insurance Coverage,0.8608474183838851
16039,Elmore County,Idaho,Insurance Coverage,0.8764438779574604
16041,Franklin County,Idaho,Insurance Coverage,0.8900370034210711
16043,Fremont County,Idaho,Insurance Coverage,0.8660015349194168
16045,Gem County,Idaho,Insurance Coverage,0.879297655346441
16047,Gooding County,Idaho,Insurance Coverage,0.8087215706602734
16049,Idaho County,Idaho,Insurance Coverage,0.8368200836820083
16051,Jefferson County,Idaho,Insurance Coverage,0.9040697674418605
16053,Jerome County,Idaho,Insurance Coverage,0.8560677715178682
16055,Kootenai County,Idaho,Insurance Coverage,0.8997352727272727
16057,Latah County,Idaho,Insurance Coverage,0.9300746946603412
16059,Lemhi County,Idaho,Insurance Coverage,0.9307906036878
16061,Lewis County,Idaho,Insurance Coverage,0.8953649736330835
16063,Lincoln County,Idaho,Insurance Coverage,0.8293063133281372
16065,Madison County,Idaho,Insurance Coverage,0.9386736528091176
16067,Minidoka County,Idaho,Insurance Coverage,0.8512799109627156
16069,Nez Perce County,Idaho,Insurance Coverage,0.898791394730481
16071,Oneida County,Idaho,Insurance Coverage,0.9294559929234851
16073,Owyhee County,Idaho,Insurance Coverage,0.7947620246789222
16075,Payette County,Idaho,Insurance Coverage,0.9061858923780969
16077,Power County,Idaho,Insurance Coverage,0.8547585679704421
16079,Shoshone County,Idaho,Insurance Coverage,0.8633709909773296
16081,Teton County,Idaho,Insurance Coverage,0.8483360149038869
16083,Twin Falls County,Idaho,Insurance Coverage,0.893605864173426
16085,Valley County,Idaho,Insurance Coverage,0.8766643905769888
16087,Washington County,Idaho,Insurance Coverage,0.8764852433882714
30001,Beaverhead County,Montana,Insurance Coverage,0.9345039319185608
30003,Big Horn County,Montana,Insurance Coverage,0.8130451563103049
30005,Blaine County,Montana,Insurance Coverage,0.8257728980063566
30007,Broadwater County,Montana,Insurance Coverage,0.9189306358381503
30009,Carbon County,Montana,Insurance Coverage,0.9284968189155826
30011,Carter County,Montana,Insurance Coverage,0.8644716692189893
30013,Cascade County,Montana,Insurance Coverage,0.9314261569816573
30015,Chouteau County,Montana,Insurance Coverage,0.9422878735829612
30017,Custer County,Montana,Insurance Coverage,0.9257366717765287
30019,Daniels County,Montana,Insurance Coverage,0.9576158940397351
30021,Dawson County,Montana,Insurance Coverage,0.9603110131136127
30023,Deer Lodge County,Montana,Insurance Coverage,0.9283102493074792
30025,Fallon County,Montana,Insurance Coverage,0.9350331819769473
30027,Fergus County,Montana,Insurance Coverage,0.8590508414210667
30029,Flathead County,Montana,Insurance Coverage,0.9118287752675387
30031,Gallatin County,Montana,Insurance Coverage,0.9259495369749027
30033,Garfield County,Montana,Insurance Coverage,0.84472049689441
30035,Glacier County,Montana,Insurance Coverage,0.7003069277988893
30037,Golden Valley County,Montana,Insurance Coverage,0.8703923900118906
30039,Granite County,Montana,Insurance Coverage,0.9372183838990688
30041,Hill County,Montana,Insurance Coverage,0.9281853761570479
30043,Jefferson County,Montana,Insurance Coverage,0.9430887583753825
30045,Judith Basin County,Montana,Insurance Coverage,0.9480137322216773
30047,Lake County,Montana,Insurance Coverage,0.8457558919333206
30049,Lewis And Clark County,Montana,Insurance Coverage,0.9452558876811594
30051,Liberty County,Montana,Insurance Coverage,0.943031536113937
30053,Lincoln County,Montana,Insurance Coverage,0.8667802726543705
30055,McCone County,Montana,Insurance Coverage,0.9420625724217845
30057,Madison County,Montana,Insurance Coverage,0.9114463380930447
30059,Meagher County,Montana,Insurance Coverage,0.9370119729307652
30061,Mineral County,Montana,Insurance Coverage,0.924515988688275
30063,Missoula County,Montana,Insurance Coverage,0.935036359929319
30065,Musselshell County,Montana,Insurance Coverage,0.9417535254445125
30067,Park County,Montana,Insurance Coverage,0.9041613390677671
30069,Petroleum County,Montana,Insurance Coverage,0.9543269230769231
30071,Phillips County,Montana,Insurance Coverage,0.9061976549413735
30073,Pondera County,Montana,Insurance Coverage,0.9260825439783491
30075,Powder River County,Montana,Insurance Coverage,0.9226774379688402
30077,Powell County,Montana,Insurance Coverage,0.9340721262208865
30079,Prairie County,Montana,Insurance Coverage,0.942063492063492
30081,Ravalli County,Montana,Insurance Coverage,0.902188276927901
30083,Richland County,Montana,Insurance Coverage,0.9285022453112618
30085,Roosevelt County,Montana,Insurance Coverage,0.6868495742667928
30087,Rosebud County,Montana,Insurance Coverage,0.8358644150164014
30089,Sanders County,Montana,Insurance Coverage,0.8766914885098887
30091,Sheridan County,Montana,Insurance Coverage,0.8886444872147374
30093,Silver Bow County,Montana,Insurance Coverage,0.9291571291976937
30095,Stillwater County,Montana,Insurance Coverage,0.9570931146804448
30097,Sweet Grass County,Montana,Insurance Coverage,0.908149359498501
30099,Teton County,Montana,Insurance Coverage,0.9145983017635533
30101,Toole County,Montana,Insurance Coverage,0.9074660633484163
30103,Treasure County,Montana,Insurance Coverage,0.9514705882352941
30105,Valley County,Montana,Insurance Coverage,0.929636095071841
30107,Wheatland County,Montana,Insurance Coverage,0.80285855101035
30109,Wibaux County,Montana,Insurance Coverage,0.8989990900818926
30111,Yellowstone County,Montana,Insurance Coverage,0.9377762270295418
32001,Churchill County,Nevada,Insurance Coverage,0.9088606543763494
32003,Clark County,Nevada,Insurance Coverage,0.8800783887121683
32005,Douglas County,Nevada,Insurance Coverage,0.928352326975034
32007,Elko County,Nevada,Insurance Coverage,0.9106643488776358
32009,Esmeralda County,Nevada,Insurance Coverage,0.895169578622816
32011,Eureka County,Nevada,Insurance Coverage,0.9003712871287128
32013,Humboldt County,Nevada,Insurance Coverage,0.9026517590587133
32015,Lander County,Nevada,Insurance Coverage,0.9384019711369236
32017,Lincoln County,Nevada,Insurance Coverage,0.8950386437297432
32019,Lyon County,Nevada,Insurance Coverage,0.9037927531324077
32021,Mineral County,Nevada,Insurance Coverage,0.8895582329317269
32023,Nye County,Nevada,Insurance Coverage,0.9112473556373893
32027,Pershing County,Nevada,Insurance Coverage,0.8957769918868317
32029,Storey County,Nevada,Insurance Coverage,0.9312977099236641
32031,Washoe County,Nevada,Insurance Coverage,0.8999623662139584
32033,White Pine County,Nevada,Insurance Coverage,0.9592409461445944
32510,Carson City,Nevada,Insurance Coverage,0.8864488580296751
49001,Beaver County,Utah,Insurance Coverage,0.8811077279976801
49003,Box Elder County,Utah,Insurance Coverage,0.9187070483820837
49005,Cache County,Utah,Insurance Coverage,0.9347873255770454
49007,Carbon County,Utah,Insurance Coverage,0.9299353555445052
49009,Daggett County,Utah,Insurance Coverage,0.9376083188908145
49011,Davis County,Utah,Insurance Coverage,0.9408310422324709
49013,Duchesne County,Utah,Insurance Coverage,0.8579635804052321
49015,Emery County,Utah,Insurance Coverage,0.9221916692127508
49017,Garfield County,Utah,Insurance Coverage,0.855265817667273
49019,Grand County,Utah,Insurance Coverage,0.8775106670829431
49021,Iron County,Utah,Insurance Coverage,0.9004400249462962
49023,Juab County,Utah,Insurance Coverage,0.9248075784487862
49025,Kane County,Utah,Insurance Coverage,0.922328821132869
49027,Millard County,Utah,Insurance Coverage,0.889268519956515
49029,Morgan County,Utah,Insurance Coverage,0.9504734158776402
49031,Piute County,Utah,Insurance Coverage,0.8436426116838488
49033,Rich County,Utah,Insurance Coverage,0.9211045364891519
49035,Salt Lake County,Utah,Insurance Coverage,0.9009609550236234
49037,San Juan County,Utah,Insurance Coverage,0.8100496191208331
49039,Sanpete County,Utah,Insurance Coverage,0.8920949355260699
49041,Sevier County,Utah,Insurance Coverage,0.9064751567324787
49043,Summit County,Utah,Insurance Coverage,0.9307937256751976
49045,Tooele County,Utah,Insurance Coverage,0.9249405206987968
49047,Uintah County,Utah,Insurance Coverage,0.8618775235531628
49049,Utah County,Utah,Insurance Coverage,0.921911337538119
49051,Wasatch County,Utah,Insurance Coverage,0.9264845298629665
49053,Washington County,Utah,Insurance Coverage,0.877975109761331
49055,Wayne County,Utah,Insurance Coverage,0.8930139720558882
49057,Weber County,Utah,Insurance Coverage,0.9148513708513708
56001,Albany County,Wyoming,Insurance Coverage,0.9220340799485586
56003,Big Horn County,Wyoming,Insurance Coverage,0.8590192644483362
56005,Campbell County,Wyoming,Insurance Coverage,0.8617005169467696
