"FIPS","Tract","County","State","Insurance.Coverage","Medicaid.Enrollment","Household.Income","Annual.Labor.Force.Participation.Rate","Annual.Unemployment.Rate","Below.Poverty","Received.Public.Assistance","Uninsured"
16001000101,"Census Tract 1.01","Ada County","Idaho",0.812934631432545,0.365090403337969,22681,0.635166537567777,0.0780487804878049,0.185185185185185,0.167604049493813,0.187065368567455
16001000102,"Census Tract 1.02","Ada County","Idaho",0.865172087148721,0.304073255446795,38449,0.676676676676677,0.0187376725838264,0.0787119856887299,0.271649954421149,0.134827912851279
16001000201,"Census Tract 2.01","Ada County","Idaho",0.967842647517952,0.0577583515454262,109934,0.549705576723242,0.0126023944549464,0.0193285859613428,0.0425806451612903,0.0321573524820481
16001000202,"Census Tract 2.02","Ada County","Idaho",0.966755527677591,0.0806021640269719,142025,0.66769587032034,0.0390173410404624,0.0575111551809618,0.0731523378582202,0.0332444723224087
16001000302,"Census Tract 3.02","Ada County","Idaho",0.942443919716647,0.148760330578512,68750,0.602188492763855,0.00762016412661196,0.0683870967741936,0.18577648766328,0.057556080283353
16001000303,"Census Tract 3.03","Ada County","Idaho",0.884593837535014,0.0750700280112045,54432,0.65180102915952,0.0140350877192982,0.0773638968481375,0.0145322434150772,0.115406162464986
16001000305,"Census Tract 3.05","Ada County","Idaho",0.872503328894807,0.183422103861518,85521,0.688194158782394,0.0741183502689779,0.121678321678322,0.107784431137725,0.127496671105193
16001000306,"Census Tract 3.06","Ada County","Idaho",0.971491228070175,0.0519005847953216,88723,0.692284866468843,0.0162880411487355,0.0197183098591549,0.0351673284174702,0.0285087719298246
16001000401,"Census Tract 4.01","Ada County","Idaho",0.880069777583951,0.288704753597907,68894,0.779443254817987,0.0103021978021978,0.0272206303724928,0.109989909182644,0.119930222416049
16001000402,"Census Tract 4.02","Ada County","Idaho",0.940585774058577,0.153138075313808,71375,0.83884430176565,0.0294680443934175,0.0333778371161549,0.0327022375215146,0.0594142259414226
16001000501,"Census Tract 5.01","Ada County","Idaho",0.936234817813765,0.171052631578947,75750,0.725523012552301,0.0149942329873126,0.0754458161865569,0.0862944162436548,0.0637651821862348
16001000502,"Census Tract 5.02","Ada County","Idaho",0.986681779540946,0.115330121847549,114375,0.720081135902637,0.0173708920187793,0.0118110236220472,0.02275600505689,0.0133182204590535
16001000601,"Census Tract 6.01","Ada County","Idaho",0.985398414685023,0.119315811430955,147333,0.748945147679325,0.00492957746478873,0,0.0608247422680412,0.014601585314977
16001000602,"Census Tract 6.02","Ada County","Idaho",0.940624053317177,0.0690699787943048,90507,0.807174887892377,0.0837606837606838,0.0207006369426752,0.162591687041565,0.0593759466828234
16001000701,"Census Tract 7.01","Ada County","Idaho",0.939810680478657,0.0567958564029291,83214,0.717365967365967,0.0108313024641213,0.0411931818181818,0.0609271523178808,0.0601893195213431
16001000703,"Census Tract 7.03","Ada County","Idaho",0.978122513922037,0.0171042163882259,196719,0.72609561752988,0.0123456790123457,0.00797872340425532,0,0.0218774860779634
16001000704,"Census Tract 7.04","Ada County","Idaho",0.975977653631285,0.0896648044692737,171000,0.602504943968359,0.00601750547045952,0.0330500472143532,0.0420439844760673,0.024022346368715
16001000803,"Census Tract 8.03","Ada County","Idaho",0.940958555221116,0.067376707571197,111831,0.718059299191375,0.0334084084084084,0.0080450522928399,0.0245231607629428,0.059041444778884
16001000805,"Census Tract 8.05","Ada County","Idaho",0.982911019446081,0.0621685327047731,142365,0.559167275383492,0.0555192684519922,0.0347284060552093,0.00559832050384884,0.0170889805539187
16001000806,"Census Tract 8.06","Ada County","Idaho",0.787195994277539,0.194921316165951,71270,0.864625302175665,0.234389561975769,0.192678227360308,0.116369278510473,0.212804005722461
16001000807,"Census Tract 8.07","Ada County","Idaho",0.904030710172745,0.0585412667946257,102969,0.741689373297003,0.0720058780308597,0.0176817288801572,0.0938864628820961,0.0959692898272553
16001000808,"Census Tract 8.08","Ada County","Idaho",0.963440860215054,0.0593548387096774,99806,0.673717371737174,0.0146960587842351,0,0.0153621068032187,0.0365591397849462
16001000809,"Census Tract 8.09","Ada County","Idaho",0.961237113402062,0.162886597938144,92969,0.669973890339426,0.0265003897116134,0.0469011725293132,0.136322049405306,0.0387628865979381
16001000810,"Census Tract 8.10","Ada County","Idaho",0.985704323570432,0.0944909344490934,88570,0.741758241758242,0.0507936507936508,0.0811688311688312,0.0289256198347107,0.0142956764295676
