FIPS,Tract,County,State,measure,value
16001000101,Census Tract 1.01,Ada County,Idaho,Insurance Coverage,0.8129346314325452
16001000102,Census Tract 1.02,Ada County,Idaho,Insurance Coverage,0.8651720871487212
16001000201,Census Tract 2.01,Ada County,Idaho,Insurance Coverage,0.9678426475179519
16001000202,Census Tract 2.02,Ada County,Idaho,Insurance Coverage,0.9667555276775913
16001000302,Census Tract 3.02,Ada County,Idaho,Insurance Coverage,0.942443919716647
16001000303,Census Tract 3.03,Ada County,Idaho,Insurance Coverage,0.884593837535014
16001000305,Census Tract 3.05,Ada County,Idaho,Insurance Coverage,0.872503328894807
16001000306,Census Tract 3.06,Ada County,Idaho,Insurance Coverage,0.9714912280701754
16001000401,Census Tract 4.01,Ada County,Idaho,Insurance Coverage,0.8800697775839511
16001000402,Census Tract 4.02,Ada County,Idaho,Insurance Coverage,0.9405857740585774
16001000501,Census Tract 5.01,Ada County,Idaho,Insurance Coverage,0.9362348178137652
16001000502,Census Tract 5.02,Ada County,Idaho,Insurance Coverage,0.9866817795409465
16001000601,Census Tract 6.01,Ada County,Idaho,Insurance Coverage,0.985398414685023
16001000602,Census Tract 6.02,Ada County,Idaho,Insurance Coverage,0.9406240533171766
16001000701,Census Tract 7.01,Ada County,Idaho,Insurance Coverage,0.9398106804786569
16001000703,Census Tract 7.03,Ada County,Idaho,Insurance Coverage,0.9781225139220366
16001000704,Census Tract 7.04,Ada County,Idaho,Insurance Coverage,0.975977653631285
16001000803,Census Tract 8.03,Ada County,Idaho,Insurance Coverage,0.940958555221116
16001000805,Census Tract 8.05,Ada County,Idaho,Insurance Coverage,0.9829110194460813
16001000806,Census Tract 8.06,Ada County,Idaho,Insurance Coverage,0.7871959942775394
16001000807,Census Tract 8.07,Ada County,Idaho,Insurance Coverage,0.9040307101727447
16001000808,Census Tract 8.08,Ada County,Idaho,Insurance Coverage,0.9634408602150538
16001000809,Census Tract 8.09,Ada County,Idaho,Insurance Coverage,0.9612371134020619
16001000810,Census Tract 8.10,Ada County,Idaho,Insurance Coverage,0.9857043235704324
16001000901,Census Tract 9.01,Ada County,Idaho,Insurance Coverage,0.8801155512758787
16001000902,Census Tract 9.02,Ada County,Idaho,Insurance Coverage,0.928128309880466
16001001001,Census Tract 10.01,Ada County,Idaho,Insurance Coverage,0.9757634512845371
16001001002,Census Tract 10.02,Ada County,Idaho,Insurance Coverage,0.8840634441087614
16001001003,Census Tract 10.03,Ada County,Idaho,Insurance Coverage,0.8671003717472119
16001001100,Census Tract 11,Ada County,Idaho,Insurance Coverage,0.9058323207776428
16001001201,Census Tract 12.01,Ada County,Idaho,Insurance Coverage,0.9243430551544903
16001001203,Census Tract 12.03,Ada County,Idaho,Insurance Coverage,0.9066905921558575
16001001204,Census Tract 12.04,Ada County,Idaho,Insurance Coverage,0.910181236673774
16001001401,Census Tract 14.01,Ada County,Idaho,Insurance Coverage,0.881562368752625
16001001402,Census Tract 14.02,Ada County,Idaho,Insurance Coverage,0.9297423887587822
16001001500,Census Tract 15,Ada County,Idaho,Insurance Coverage,0.9290743155149935
16001001600,Census Tract 16,Ada County,Idaho,Insurance Coverage,0.8850237180935171
16001001701,Census Tract 17.01,Ada County,Idaho,Insurance Coverage,0.8878755364806867
16001001702,Census Tract 17.02,Ada County,Idaho,Insurance Coverage,0.8439236530562938
16001001800,Census Tract 18,Ada County,Idaho,Insurance Coverage,0.8597864768683274
16001001900,Census Tract 19,Ada County,Idaho,Insurance Coverage,0.8984761904761904
16001002000,Census Tract 20,Ada County,Idaho,Insurance Coverage,0.8966066955135504
16001002100,Census Tract 21,Ada County,Idaho,Insurance Coverage,0.9298158287705326
16001002223,Census Tract 22.23,Ada County,Idaho,Insurance Coverage,0.8847209515096066
16001002225,Census Tract 22.25,Ada County,Idaho,Insurance Coverage,0.9546079779917469
16001002226,Census Tract 22.26,Ada County,Idaho,Insurance Coverage,0.9782460910944936
16001002227,Census Tract 22.27,Ada County,Idaho,Insurance Coverage,0.95
16001002228,Census Tract 22.28,Ada County,Idaho,Insurance Coverage,0.9801980198019802
16001002229,Census Tract 22.29,Ada County,Idaho,Insurance Coverage,0.9634344528710725
16001002230,Census Tract 22.30,Ada County,Idaho,Insurance Coverage,0.9737880496054115
16001002231,Census Tract 22.31,Ada County,Idaho,Insurance Coverage,0.8421621621621621
16001002313,Census Tract 23.13,Ada County,Idaho,Insurance Coverage,0.941020062847474
16001002314,Census Tract 23.14,Ada County,Idaho,Insurance Coverage,0.8948791922106022
16001002315,Census Tract 23.15,Ada County,Idaho,Insurance Coverage,0.9595126522961575
16001002316,Census Tract 23.16,Ada County,Idaho,Insurance Coverage,0.9457107335267302
16001002317,Census Tract 23.17,Ada County,Idaho,Insurance Coverage,0.846182357301705
16001002318,Census Tract 23.18,Ada County,Idaho,Insurance Coverage,0.8995914857019995
16001002319,Census Tract 23.19,Ada County,Idaho,Insurance Coverage,0.9287316222277597
16001002412,Census Tract 24.12,Ada County,Idaho,Insurance Coverage,0.9378114411002592
16001002414,Census Tract 24.14,Ada County,Idaho,Insurance Coverage,0.8907048008171604
16001002415,Census Tract 24.15,Ada County,Idaho,Insurance Coverage,0.933786078098472
16001002416,Census Tract 24.16,Ada County,Idaho,Insurance Coverage,0.9587820274786484
16001002417,Census Tract 24.17,Ada County,Idaho,Insurance Coverage,0.9832651543324656
16001002418,Census Tract 24.18,Ada County,Idaho,Insurance Coverage,0.9443969204448246
16001002419,Census Tract 24.19,Ada County,Idaho,Insurance Coverage,0.8858898984500267
16001010101,Census Tract 101.01,Ada County,Idaho,Insurance Coverage,0.9599496221662468
16001010102,Census Tract 101.02,Ada County,Idaho,Insurance Coverage,0.9729643257078867
16001010224,Census Tract 102.24,Ada County,Idaho,Insurance Coverage,0.9940362595419847
16001010226,Census Tract 102.26,Ada County,Idaho,Insurance Coverage,0.8747234513274337
16001010227,Census Tract 102.27,Ada County,Idaho,Insurance Coverage,0.9421586165772212
16001010228,Census Tract 102.28,Ada County,Idaho,Insurance Coverage,0.9780388151174668
16001010229,Census Tract 102.29,Ada County,Idaho,Insurance Coverage,0.9717684659090909
16001010230,Census Tract 102.30,Ada County,Idaho,Insurance Coverage,0.9607381232822929
16001010231,Census Tract 102.31,Ada County,Idaho,Insurance Coverage,0.9761120263591433
16001010232,Census Tract 102.32,Ada County,Idaho,Insurance Coverage,0.9683038263849228
16001010233,Census Tract 102.33,Ada County,Idaho,Insurance Coverage,0.9667128987517337
16001010234,Census Tract 102.34,Ada County,Idaho,Insurance Coverage,0.8959100204498978
16001010235,Census Tract 102.35,Ada County,Idaho,Insurance Coverage,0.9180134016554986
16001010236,Census Tract 102.36,Ada County,Idaho,Insurance Coverage,0.9776666666666667
16001010237,Census Tract 102.37,Ada County,Idaho,Insurance Coverage,0.9275145158269339
16001010336,Census Tract 103.36,Ada County,Idaho,Insurance Coverage,0.9741763134461264
16001010337,Census Tract 103.37,Ada County,Idaho,Insurance Coverage,0.8947368421052632
16001010338,Census Tract 103.38,Ada County,Idaho,Insurance Coverage,0.9652420185375901
16001010339,Census Tract 103.39,Ada County,Idaho,Insurance Coverage,0.9796437659033079
16001010340,Census Tract 103.40,Ada County,Idaho,Insurance Coverage,0.9820726915520629
16001010341,Census Tract 103.41,Ada County,Idaho,Insurance Coverage,0.9766408948840269
16001010342,Census Tract 103.42,Ada County,Idaho,Insurance Coverage,0.9581224917117431
16001010343,Census Tract 103.43,Ada County,Idaho,Insurance Coverage,0.9481232834909978
16001010344,Census Tract 103.44,Ada County,Idaho,Insurance Coverage,0.9211130967577228
16001010345,Census Tract 103.45,Ada County,Idaho,Insurance Coverage,0.9341654922488424
16001010346,Census Tract 103.46,Ada County,Idaho,Insurance Coverage,0.8034188034188035
16001010347,Census Tract 103.47,Ada County,Idaho,Insurance Coverage,0.888468809073724
16001010348,Census Tract 103.48,Ada County,Idaho,Insurance Coverage,0.8648056923918993
16001010349,Census Tract 103.49,Ada County,Idaho,Insurance Coverage,0.9464907914385267
16001010350,Census Tract 103.50,Ada County,Idaho,Insurance Coverage,0.8751176655161594
16001010351,Census Tract 103.51,Ada County,Idaho,Insurance Coverage,0.9619167717528373
16001010352,Census Tract 103.52,Ada County,Idaho,Insurance Coverage,0.9279616906100354
16001010353,Census Tract 103.53,Ada County,Idaho,Insurance Coverage,0.9893597162591002
16001010354,Census Tract 103.54,Ada County,Idaho,Insurance Coverage,0.9099318403115871
16001010355,Census Tract 103.55,Ada County,Idaho,Insurance Coverage,0.9994404029099049
16001010356,Census Tract 103.56,Ada County,Idaho,Insurance Coverage,0.9795600977560542
16001010357,Census Tract 103.57,Ada County,Idaho,Insurance Coverage,0.9981766084917948
16001010358,Census Tract 103.58,Ada County,Idaho,Insurance Coverage,0.9628163195042176
16001010359,Census Tract 103.59,Ada County,Idaho,Insurance Coverage,0.9900645802285146
16001010360,Census Tract 103.60,Ada County,Idaho,Insurance Coverage,0.9510135135135135
16001010361,Census Tract 103.61,Ada County,Idaho,Insurance Coverage,0.8854901960784314
16001010362,Census Tract 103.62,Ada County,Idaho,Insurance Coverage,0.941671237886268
16001010363,Census Tract 103.63,Ada County,Idaho,Insurance Coverage,0.9822214076246334
16001010364,Census Tract 103.64,Ada County,Idaho,Insurance Coverage,0.8393574297188755
16001010365,Census Tract 103.65,Ada County,Idaho,Insurance Coverage,0.9351552795031056
16001010366,Census Tract 103.66,Ada County,Idaho,Insurance Coverage,0.9380987472365512
16001010367,Census Tract 103.67,Ada County,Idaho,Insurance Coverage,0.9273811343831219
