"FIPS","County","State","pctBB_1000_10","pctBB_100_20","pct5G_7_1","pct5G_35_3","LILATracts_Vehicle"
16001,"Ada County","Idaho",0.0928,1,0.8918,0.8124,0.05011957290579
16003,"Adams County","Idaho",0.1921,1,0.3203,0.2565,0
16005,"Bannock County","Idaho",0.4607,1,0.6536,0.5714,0
16007,"Bear Lake County","Idaho",0.2682,1,0.43,0.3687,0
16009,"Benewah County","Idaho",0.0513,1,0.3353,0.272,0
16011,"Bingham County","Idaho",0.0607,1,0.6762,0.5361,0
16013,"Blaine County","Idaho",0.0498,1,0.2814,0.1965,0
16015,"Boise County","Idaho",0.0271,0.9998,0.172,0.1249,0
16017,"Bonner County","Idaho",0.2941,1,0.4077,0.3182,0.065672514619883
16019,"Bonneville County","Idaho",0.3779,1,0.5194,0.4231,0.190832400556936
16021,"Boundary County","Idaho",0.3073,1,0.3095,0.2505,0
16023,"Butte County","Idaho",0.4771,1,0.422,0.3298,0
16025,"Camas County","Idaho",0,1,0.3468,0.2869,1
16027,"Canyon County","Idaho",0.1964,1,0.9881,0.959,0.180334570152821
16029,"Caribou County","Idaho",0.0632,1,0.2128,0.1603,0
16031,"Cassia County","Idaho",0.708,1,0.615,0.5598,0
16033,"Clark County","Idaho",0,1,0.2775,0.1772,1
16035,"Clearwater County","Idaho",0.3353,1,0.0802,0.0566,0
16037,"Custer County","Idaho",0.5257,1,0.0558,0.0457,0
16039,"Elmore County","Idaho",0.2056,1,0.4919,0.4405,0.11439842209073
16041,"Franklin County","Idaho",0.1287,1,0.4633,0.4111,0
16043,"Fremont County","Idaho",0.4426,1,0.6392,0.4617,0
16045,"Gem County","Idaho",0,1,0.6158,0.4985,0.32963818321786
16047,"Gooding County","Idaho",1e-04,1,0.8785,0.791,0
16049,"Idaho County","Idaho",0.0441,1,0.0865,0.0675,0.498683055311677
16051,"Jefferson County","Idaho",0.6123,1,0.8622,0.6474,0
16053,"Jerome County","Idaho",0.3891,1,0.9667,0.8616,0
16055,"Kootenai County","Idaho",0.6489,1,0.6185,0.4942,0.0415313653136531
16057,"Latah County","Idaho",0.4775,1,0.5667,0.4644,0
16059,"Lemhi County","Idaho",0.4006,1,0.1704,0.1414,0
16061,"Lewis County","Idaho",4e-04,1,0.739,0.6448,0
16063,"Lincoln County","Idaho",0.0061,1,0.7698,0.5403,0
16065,"Madison County","Idaho",0.6573,1,0.8686,0.772,0.311092262746207
16067,"Minidoka County","Idaho",0.4828,1,0.5481,0.4558,0
16069,"Nez Perce County","Idaho",0.11,1,0.556,0.4569,0
16071,"Oneida County","Idaho",0.89,1,0.4885,0.4533,0
16073,"Owyhee County","Idaho",0.0023,1,0.2756,0.1879,0.358684985279686
16075,"Payette County","Idaho",0.3848,1,0.8008,0.6845,0
16077,"Power County","Idaho",0.6553,1,0.5672,0.4537,0
