"FIPS","County","State","measure","value"
16001,"Ada County","Idaho","pctBB_1000_10",0.0928
16003,"Adams County","Idaho","pctBB_1000_10",0.1921
16005,"Bannock County","Idaho","pctBB_1000_10",0.4607
16007,"Bear Lake County","Idaho","pctBB_1000_10",0.2682
16009,"Benewah County","Idaho","pctBB_1000_10",0.0513
16011,"Bingham County","Idaho","pctBB_1000_10",0.0607
16013,"Blaine County","Idaho","pctBB_1000_10",0.0498
16015,"Boise County","Idaho","pctBB_1000_10",0.0271
16017,"Bonner County","Idaho","pctBB_1000_10",0.2941
16019,"Bonneville County","Idaho","pctBB_1000_10",0.3779
16021,"Boundary County","Idaho","pctBB_1000_10",0.3073
16023,"Butte County","Idaho","pctBB_1000_10",0.4771
16025,"Camas County","Idaho","pctBB_1000_10",0
16027,"Canyon County","Idaho","pctBB_1000_10",0.1964
16029,"Caribou County","Idaho","pctBB_1000_10",0.0632
16031,"Cassia County","Idaho","pctBB_1000_10",0.708
16033,"Clark County","Idaho","pctBB_1000_10",0
16035,"Clearwater County","Idaho","pctBB_1000_10",0.3353
16037,"Custer County","Idaho","pctBB_1000_10",0.5257
16039,"Elmore County","Idaho","pctBB_1000_10",0.2056
16041,"Franklin County","Idaho","pctBB_1000_10",0.1287
16043,"Fremont County","Idaho","pctBB_1000_10",0.4426
16045,"Gem County","Idaho","pctBB_1000_10",0
16047,"Gooding County","Idaho","pctBB_1000_10",1e-04
16049,"Idaho County","Idaho","pctBB_1000_10",0.0441
16051,"Jefferson County","Idaho","pctBB_1000_10",0.6123
16053,"Jerome County","Idaho","pctBB_1000_10",0.3891
16055,"Kootenai County","Idaho","pctBB_1000_10",0.6489
16057,"Latah County","Idaho","pctBB_1000_10",0.4775
16059,"Lemhi County","Idaho","pctBB_1000_10",0.4006
16061,"Lewis County","Idaho","pctBB_1000_10",4e-04
16063,"Lincoln County","Idaho","pctBB_1000_10",0.0061
16065,"Madison County","Idaho","pctBB_1000_10",0.6573
16067,"Minidoka County","Idaho","pctBB_1000_10",0.4828
16069,"Nez Perce County","Idaho","pctBB_1000_10",0.11
16071,"Oneida County","Idaho","pctBB_1000_10",0.89
16073,"Owyhee County","Idaho","pctBB_1000_10",0.0023
16075,"Payette County","Idaho","pctBB_1000_10",0.3848
16077,"Power County","Idaho","pctBB_1000_10",0.6553
16079,"Shoshone County","Idaho","pctBB_1000_10",0.3714
16081,"Teton County","Idaho","pctBB_1000_10",0.667
16083,"Twin Falls County","Idaho","pctBB_1000_10",0.3166
16085,"Valley County","Idaho","pctBB_1000_10",0
16087,"Washington County","Idaho","pctBB_1000_10",0.0345
30001,"Beaverhead County","Montana","pctBB_1000_10",0.3685
30003,"Big Horn County","Montana","pctBB_1000_10",0.3753
30005,"Blaine County","Montana","pctBB_1000_10",0
30007,"Broadwater County","Montana","pctBB_1000_10",0.0537
30009,"Carbon County","Montana","pctBB_1000_10",0.0192
30011,"Carter County","Montana","pctBB_1000_10",0.4669
30013,"Cascade County","Montana","pctBB_1000_10",0.2379
30015,"Chouteau County","Montana","pctBB_1000_10",0.1447
30017,"Custer County","Montana","pctBB_1000_10",0.0632
30019,"Daniels County","Montana","pctBB_1000_10",0.9285
30021,"Dawson County","Montana","pctBB_1000_10",0.1884
30023,"Deer Lodge County","Montana","pctBB_1000_10",0.1873
30025,"Fallon County","Montana","pctBB_1000_10",0.814
30027,"Fergus County","Montana","pctBB_1000_10",0.1346
30029,"Flathead County","Montana","pctBB_1000_10",0.155
30031,"Gallatin County","Montana","pctBB_1000_10",0.7508
30033,"Garfield County","Montana","pctBB_1000_10",0.4108
30035,"Glacier County","Montana","pctBB_1000_10",0
30037,"Golden Valley County","Montana","pctBB_1000_10",0.7332
30039,"Granite County","Montana","pctBB_1000_10",0.8137
30041,"Hill County","Montana","pctBB_1000_10",1e-04
30043,"Jefferson County","Montana","pctBB_1000_10",0.0271
30045,"Judith Basin County","Montana","pctBB_1000_10",0.1815
30047,"Lake County","Montana","pctBB_1000_10",0.0885
30049,"Lewis and Clark County","Montana","pctBB_1000_10",0.0945
30051,"Liberty County","Montana","pctBB_1000_10",0.0183
30053,"Lincoln County","Montana","pctBB_1000_10",0.5865
30055,"McCone County","Montana","pctBB_1000_10",0.5843
30057,"Madison County","Montana","pctBB_1000_10",0.8552
30059,"Meagher County","Montana","pctBB_1000_10",0
30061,"Mineral County","Montana","pctBB_1000_10",0.0117
30063,"Missoula County","Montana","pctBB_1000_10",0.5526
30065,"Musselshell County","Montana","pctBB_1000_10",0.7959
30067,"Park County","Montana","pctBB_1000_10",0
30069,"Petroleum County","Montana","pctBB_1000_10",0.4664
30071,"Phillips County","Montana","pctBB_1000_10",0.0102
30073,"Pondera County","Montana","pctBB_1000_10",0.344
30075,"Powder River County","Montana","pctBB_1000_10",0.4397
30077,"Powell County","Montana","pctBB_1000_10",0.1083
30079,"Prairie County","Montana","pctBB_1000_10",0.8056
30081,"Ravalli County","Montana","pctBB_1000_10",0.1137
30083,"Richland County","Montana","pctBB_1000_10",0.332
30085,"Roosevelt County","Montana","pctBB_1000_10",0.6963
30087,"Rosebud County","Montana","pctBB_1000_10",0.4651
30089,"Sanders County","Montana","pctBB_1000_10",0.6476
30091,"Sheridan County","Montana","pctBB_1000_10",0.7949
30093,"Silver Bow County","Montana","pctBB_1000_10",0.0169
30095,"Stillwater County","Montana","pctBB_1000_10",0.0488
30097,"Sweet Grass County","Montana","pctBB_1000_10",0
30099,"Teton County","Montana","pctBB_1000_10",0.8939
30101,"Toole County","Montana","pctBB_1000_10",0.0292
30103,"Treasure County","Montana","pctBB_1000_10",0.1519
30105,"Valley County","Montana","pctBB_1000_10",0.5023
30107,"Wheatland County","Montana","pctBB_1000_10",0.0045
30109,"Wibaux County","Montana","pctBB_1000_10",0.9407
30111,"Yellowstone County","Montana","pctBB_1000_10",0.2228
32001,"Churchill County","Nevada","pctBB_1000_10",0.8082
32003,"Clark County","Nevada","pctBB_1000_10",0.6941
32005,"Douglas County","Nevada","pctBB_1000_10",0.8752
32007,"Elko County","Nevada","pctBB_1000_10",0.605
32009,"Esmeralda County","Nevada","pctBB_1000_10",0.004
32011,"Eureka County","Nevada","pctBB_1000_10",0
32013,"Humboldt County","Nevada","pctBB_1000_10",0.1467
32015,"Lander County","Nevada","pctBB_1000_10",0
32017,"Lincoln County","Nevada","pctBB_1000_10",0
32019,"Lyon County","Nevada","pctBB_1000_10",0.7748
32021,"Mineral County","Nevada","pctBB_1000_10",0.6248
32023,"Nye County","Nevada","pctBB_1000_10",0.1438
32027,"Pershing County","Nevada","pctBB_1000_10",0
32029,"Storey County","Nevada","pctBB_1000_10",0.266
32031,"Washoe County","Nevada","pctBB_1000_10",0.9594
32033,"White Pine County","Nevada","pctBB_1000_10",0.0023
32510,"Carson City","Nevada","pctBB_1000_10",0.922
49001,"Beaver County","Utah","pctBB_1000_10",0.3416
49003,"Box Elder County","Utah","pctBB_1000_10",0.8501
49005,"Cache County","Utah","pctBB_1000_10",0.1833
49007,"Carbon County","Utah","pctBB_1000_10",0.8368
49009,"Daggett County","Utah","pctBB_1000_10",0.4126
49011,"Davis County","Utah","pctBB_1000_10",0.8592
49013,"Duchesne County","Utah","pctBB_1000_10",0.5295
49015,"Emery County","Utah","pctBB_1000_10",0.8067
49017,"Garfield County","Utah","pctBB_1000_10",0.6141
49019,"Grand County","Utah","pctBB_1000_10",0.8716
49021,"Iron County","Utah","pctBB_1000_10",0.7029
49023,"Juab County","Utah","pctBB_1000_10",0.5569
49025,"Kane County","Utah","pctBB_1000_10",0.4622
49027,"Millard County","Utah","pctBB_1000_10",0.2419
49029,"Morgan County","Utah","pctBB_1000_10",0.6048
49031,"Piute County","Utah","pctBB_1000_10",0.6596
49033,"Rich County","Utah","pctBB_1000_10",0.2705
49035,"Salt Lake County","Utah","pctBB_1000_10",0.8675
49037,"San Juan County","Utah","pctBB_1000_10",0.4215
49039,"Sanpete County","Utah","pctBB_1000_10",0.5412
49041,"Sevier County","Utah","pctBB_1000_10",0.5553
49043,"Summit County","Utah","pctBB_1000_10",0.6743
49045,"Tooele County","Utah","pctBB_1000_10",0.8948
49047,"Uintah County","Utah","pctBB_1000_10",0.8025
49049,"Utah County","Utah","pctBB_1000_10",0.7153
49051,"Wasatch County","Utah","pctBB_1000_10",0.4846
49053,"Washington County","Utah","pctBB_1000_10",0.4053
49055,"Wayne County","Utah","pctBB_1000_10",0.7484
49057,"Weber County","Utah","pctBB_1000_10",0.5506
56001,"Albany County","Wyoming","pctBB_1000_10",0.4011
56003,"Big Horn County","Wyoming","pctBB_1000_10",0.3606
56005,"Campbell County","Wyoming","pctBB_1000_10",0.2097
56007,"Carbon County","Wyoming","pctBB_1000_10",0.1232
56009,"Converse County","Wyoming","pctBB_1000_10",0.4319
56011,"Crook County","Wyoming","pctBB_1000_10",0.2185
56013,"Fremont County","Wyoming","pctBB_1000_10",0.0933
56015,"Goshen County","Wyoming","pctBB_1000_10",0.2767
56017,"Hot Springs County","Wyoming","pctBB_1000_10",0.7072
56019,"Johnson County","Wyoming","pctBB_1000_10",0.0484
56021,"Laramie County","Wyoming","pctBB_1000_10",0.2865
56023,"Lincoln County","Wyoming","pctBB_1000_10",0.6941
56025,"Natrona County","Wyoming","pctBB_1000_10",0.334
56027,"Niobrara County","Wyoming","pctBB_1000_10",0.573
56029,"Park County","Wyoming","pctBB_1000_10",0.5884
56031,"Platte County","Wyoming","pctBB_1000_10",0.0436
56033,"Sheridan County","Wyoming","pctBB_1000_10",0.3806
56035,"Sublette County","Wyoming","pctBB_1000_10",0.2118
56037,"Sweetwater County","Wyoming","pctBB_1000_10",0.0276
56039,"Teton County","Wyoming","pctBB_1000_10",0.3782
56041,"Uinta County","Wyoming","pctBB_1000_10",0.1297
56043,"Washakie County","Wyoming","pctBB_1000_10",0.837
56045,"Weston County","Wyoming","pctBB_1000_10",0.4517
16001,"Ada County","Idaho","pctBB_100_20",1
16003,"Adams County","Idaho","pctBB_100_20",1
16005,"Bannock County","Idaho","pctBB_100_20",1
16007,"Bear Lake County","Idaho","pctBB_100_20",1
16009,"Benewah County","Idaho","pctBB_100_20",1
16011,"Bingham County","Idaho","pctBB_100_20",1
16013,"Blaine County","Idaho","pctBB_100_20",1
16015,"Boise County","Idaho","pctBB_100_20",0.9998
16017,"Bonner County","Idaho","pctBB_100_20",1
16019,"Bonneville County","Idaho","pctBB_100_20",1
16021,"Boundary County","Idaho","pctBB_100_20",1
16023,"Butte County","Idaho","pctBB_100_20",1
16025,"Camas County","Idaho","pctBB_100_20",1
16027,"Canyon County","Idaho","pctBB_100_20",1
16029,"Caribou County","Idaho","pctBB_100_20",1
16031,"Cassia County","Idaho","pctBB_100_20",1
16033,"Clark County","Idaho","pctBB_100_20",1
16035,"Clearwater County","Idaho","pctBB_100_20",1
16037,"Custer County","Idaho","pctBB_100_20",1
16039,"Elmore County","Idaho","pctBB_100_20",1
16041,"Franklin County","Idaho","pctBB_100_20",1
16043,"Fremont County","Idaho","pctBB_100_20",1
16045,"Gem County","Idaho","pctBB_100_20",1
16047,"Gooding County","Idaho","pctBB_100_20",1
16049,"Idaho County","Idaho","pctBB_100_20",1
16051,"Jefferson County","Idaho","pctBB_100_20",1
16053,"Jerome County","Idaho","pctBB_100_20",1
16055,"Kootenai County","Idaho","pctBB_100_20",1
16057,"Latah County","Idaho","pctBB_100_20",1
16059,"Lemhi County","Idaho","pctBB_100_20",1
16061,"Lewis County","Idaho","pctBB_100_20",1
16063,"Lincoln County","Idaho","pctBB_100_20",1
16065,"Madison County","Idaho","pctBB_100_20",1
16067,"Minidoka County","Idaho","pctBB_100_20",1
16069,"Nez Perce County","Idaho","pctBB_100_20",1
16071,"Oneida County","Idaho","pctBB_100_20",1
16073,"Owyhee County","Idaho","pctBB_100_20",1
16075,"Payette County","Idaho","pctBB_100_20",1
16077,"Power County","Idaho","pctBB_100_20",1
16079,"Shoshone County","Idaho","pctBB_100_20",1
16081,"Teton County","Idaho","pctBB_100_20",1
16083,"Twin Falls County","Idaho","pctBB_100_20",1
16085,"Valley County","Idaho","pctBB_100_20",1
16087,"Washington County","Idaho","pctBB_100_20",1
30001,"Beaverhead County","Montana","pctBB_100_20",1
30003,"Big Horn County","Montana","pctBB_100_20",1
30005,"Blaine County","Montana","pctBB_100_20",1
30007,"Broadwater County","Montana","pctBB_100_20",0.9997
30009,"Carbon County","Montana","pctBB_100_20",1
30011,"Carter County","Montana","pctBB_100_20",1
30013,"Cascade County","Montana","pctBB_100_20",1
30015,"Chouteau County","Montana","pctBB_100_20",1
30017,"Custer County","Montana","pctBB_100_20",1
30019,"Daniels County","Montana","pctBB_100_20",1
30021,"Dawson County","Montana","pctBB_100_20",1
30023,"Deer Lodge County","Montana","pctBB_100_20",1
30025,"Fallon County","Montana","pctBB_100_20",1
30027,"Fergus County","Montana","pctBB_100_20",1
30029,"Flathead County","Montana","pctBB_100_20",1
30031,"Gallatin County","Montana","pctBB_100_20",1
30033,"Garfield County","Montana","pctBB_100_20",1
30035,"Glacier County","Montana","pctBB_100_20",1
30037,"Golden Valley County","Montana","pctBB_100_20",1
30039,"Granite County","Montana","pctBB_100_20",1
30041,"Hill County","Montana","pctBB_100_20",0.9999
30043,"Jefferson County","Montana","pctBB_100_20",1
30045,"Judith Basin County","Montana","pctBB_100_20",1
30047,"Lake County","Montana","pctBB_100_20",1
30049,"Lewis and Clark County","Montana","pctBB_100_20",1
30051,"Liberty County","Montana","pctBB_100_20",1
30053,"Lincoln County","Montana","pctBB_100_20",1
30055,"McCone County","Montana","pctBB_100_20",1
30057,"Madison County","Montana","pctBB_100_20",1
30059,"Meagher County","Montana","pctBB_100_20",1
30061,"Mineral County","Montana","pctBB_100_20",1
30063,"Missoula County","Montana","pctBB_100_20",1
30065,"Musselshell County","Montana","pctBB_100_20",1
30067,"Park County","Montana","pctBB_100_20",1
30069,"Petroleum County","Montana","pctBB_100_20",1
30071,"Phillips County","Montana","pctBB_100_20",1
30073,"Pondera County","Montana","pctBB_100_20",1
30075,"Powder River County","Montana","pctBB_100_20",1
30077,"Powell County","Montana","pctBB_100_20",1
30079,"Prairie County","Montana","pctBB_100_20",1
30081,"Ravalli County","Montana","pctBB_100_20",1
30083,"Richland County","Montana","pctBB_100_20",1
30085,"Roosevelt County","Montana","pctBB_100_20",1
30087,"Rosebud County","Montana","pctBB_100_20",1
30089,"Sanders County","Montana","pctBB_100_20",1
30091,"Sheridan County","Montana","pctBB_100_20",1
30093,"Silver Bow County","Montana","pctBB_100_20",1
30095,"Stillwater County","Montana","pctBB_100_20",1
30097,"Sweet Grass County","Montana","pctBB_100_20",1
30099,"Teton County","Montana","pctBB_100_20",1
30101,"Toole County","Montana","pctBB_100_20",1
30103,"Treasure County","Montana","pctBB_100_20",1
30105,"Valley County","Montana","pctBB_100_20",1
30107,"Wheatland County","Montana","pctBB_100_20",1
30109,"Wibaux County","Montana","pctBB_100_20",1
30111,"Yellowstone County","Montana","pctBB_100_20",1
32001,"Churchill County","Nevada","pctBB_100_20",1
32003,"Clark County","Nevada","pctBB_100_20",1
32005,"Douglas County","Nevada","pctBB_100_20",1
32007,"Elko County","Nevada","pctBB_100_20",1
32009,"Esmeralda County","Nevada","pctBB_100_20",1
32011,"Eureka County","Nevada","pctBB_100_20",1
32013,"Humboldt County","Nevada","pctBB_100_20",1
32015,"Lander County","Nevada","pctBB_100_20",1
32017,"Lincoln County","Nevada","pctBB_100_20",1
32019,"Lyon County","Nevada","pctBB_100_20",1
32021,"Mineral County","Nevada","pctBB_100_20",1
32023,"Nye County","Nevada","pctBB_100_20",1
32027,"Pershing County","Nevada","pctBB_100_20",1
32029,"Storey County","Nevada","pctBB_100_20",1
32031,"Washoe County","Nevada","pctBB_100_20",1
32033,"White Pine County","Nevada","pctBB_100_20",1
32510,"Carson City","Nevada","pctBB_100_20",1
