FIPS,Tract,County,State,measure,value
16001000100,Census Tract 1,Ada County,Idaho,LILATracts_Vehicle,0
16001000201,Census Tract 2.01,Ada County,Idaho,LILATracts_Vehicle,0
16001000202,Census Tract 2.02,Ada County,Idaho,LILATracts_Vehicle,0
16001000302,Census Tract 3.02,Ada County,Idaho,LILATracts_Vehicle,0
16001000303,Census Tract 3.03,Ada County,Idaho,LILATracts_Vehicle,0
16001000304,Census Tract 3.04,Ada County,Idaho,LILATracts_Vehicle,0
16001000400,Census Tract 4,Ada County,Idaho,LILATracts_Vehicle,1
16001000500,Census Tract 5,Ada County,Idaho,LILATracts_Vehicle,0
16001000600,Census Tract 6,Ada County,Idaho,LILATracts_Vehicle,0
16001000701,Census Tract 7.01,Ada County,Idaho,LILATracts_Vehicle,0
16001000702,Census Tract 7.02,Ada County,Idaho,LILATracts_Vehicle,0
16001000802,Census Tract 8.02,Ada County,Idaho,LILATracts_Vehicle,0
16001000803,Census Tract 8.03,Ada County,Idaho,LILATracts_Vehicle,0
16001000804,Census Tract 8.04,Ada County,Idaho,LILATracts_Vehicle,0
16001000805,Census Tract 8.05,Ada County,Idaho,LILATracts_Vehicle,0
16001000900,Census Tract 9,Ada County,Idaho,LILATracts_Vehicle,0
16001001000,Census Tract 10,Ada County,Idaho,LILATracts_Vehicle,1
16001001100,Census Tract 11,Ada County,Idaho,LILATracts_Vehicle,1
16001001201,Census Tract 12.01,Ada County,Idaho,LILATracts_Vehicle,0
16001001202,Census Tract 12.02,Ada County,Idaho,LILATracts_Vehicle,0
16001001400,Census Tract 14,Ada County,Idaho,LILATracts_Vehicle,0
16001001500,Census Tract 15,Ada County,Idaho,LILATracts_Vehicle,0
16001001600,Census Tract 16,Ada County,Idaho,LILATracts_Vehicle,0
16001001700,Census Tract 17,Ada County,Idaho,LILATracts_Vehicle,0
16001001800,Census Tract 18,Ada County,Idaho,LILATracts_Vehicle,0
16001001900,Census Tract 19,Ada County,Idaho,LILATracts_Vehicle,0
16001002000,Census Tract 20,Ada County,Idaho,LILATracts_Vehicle,0
16001002100,Census Tract 21,Ada County,Idaho,LILATracts_Vehicle,0
16001002221,Census Tract 22.21,Ada County,Idaho,LILATracts_Vehicle,0
16001002222,Census Tract 22.22,Ada County,Idaho,LILATracts_Vehicle,0
16001002223,Census Tract 22.23,Ada County,Idaho,LILATracts_Vehicle,0
