FIPS,County,State,measure,value
16001,Ada County,Idaho,Vacancy Rate,0.03966934655141147
16003,Adams County,Idaho,Vacancy Rate,0.3629154078549849
16005,Bannock County,Idaho,Vacancy Rate,0.07053941908713693
16007,Bear Lake County,Idaho,Vacancy Rate,0.403594351732991
16009,Benewah County,Idaho,Vacancy Rate,0.18002571795970854
16011,Bingham County,Idaho,Vacancy Rate,0.08227625088090204
16013,Blaine County,Idaho,Vacancy Rate,0.40251895643233515
16015,Boise County,Idaho,Vacancy Rate,0.3822084773512825
16017,Bonner County,Idaho,Vacancy Rate,0.2709486615606279
16019,Bonneville County,Idaho,Vacancy Rate,0.06829268292682927
16021,Boundary County,Idaho,Vacancy Rate,0.13673020527859236
16023,Butte County,Idaho,Vacancy Rate,0.20311284046692607
16025,Camas County,Idaho,Vacancy Rate,0.523598820058997
16027,Canyon County,Idaho,Vacancy Rate,0.03212178600043703
16029,Caribou County,Idaho,Vacancy Rate,0.1926517571884984
16031,Cassia County,Idaho,Vacancy Rate,0.08131176999101528
16033,Clark County,Idaho,Vacancy Rate,0.42538975501113585
16035,Clearwater County,Idaho,Vacancy Rate,0.23223267001968073
16037,Custer County,Idaho,Vacancy Rate,0.42236421725239615
16039,Elmore County,Idaho,Vacancy Rate,0.1121379651786451
16041,Franklin County,Idaho,Vacancy Rate,0.07061865924010344
16043,Fremont County,Idaho,Vacancy Rate,0.4955628211116301
16045,Gem County,Idaho,Vacancy Rate,0.0581151832460733
16047,Gooding County,Idaho,Vacancy Rate,0.10926443969063683
16049,Idaho County,Idaho,Vacancy Rate,0.25641891891891894
16051,Jefferson County,Idaho,Vacancy Rate,0.06034566936822576
16053,Jerome County,Idaho,Vacancy Rate,0.06168831168831169
16055,Kootenai County,Idaho,Vacancy Rate,0.11473720371006527
16057,Latah County,Idaho,Vacancy Rate,0.07930177446390382
16059,Lemhi County,Idaho,Vacancy Rate,0.27793447602516813
16061,Lewis County,Idaho,Vacancy Rate,0.13528437327443402
