FIPS,Tract,County,State,measure,value
16001000101,Census Tract 1.01,Ada County,Idaho,Vacancy Rate,0.14271938283510124
16001000102,Census Tract 1.02,Ada County,Idaho,Vacancy Rate,0.07737594617325484
16001000201,Census Tract 2.01,Ada County,Idaho,Vacancy Rate,0.050826699326393145
16001000202,Census Tract 2.02,Ada County,Idaho,Vacancy Rate,0.04397981254506128
16001000302,Census Tract 3.02,Ada County,Idaho,Vacancy Rate,0.03433777154870357
16001000303,Census Tract 3.03,Ada County,Idaho,Vacancy Rate,0.030809859154929578
16001000305,Census Tract 3.05,Ada County,Idaho,Vacancy Rate,0.012564671101256468
16001000306,Census Tract 3.06,Ada County,Idaho,Vacancy Rate,0.030253025302530254
16001000401,Census Tract 4.01,Ada County,Idaho,Vacancy Rate,0.015888778550148957
16001000402,Census Tract 4.02,Ada County,Idaho,Vacancy Rate,0.10706967213114754
16001000501,Census Tract 5.01,Ada County,Idaho,Vacancy Rate,0.0
16001000502,Census Tract 5.02,Ada County,Idaho,Vacancy Rate,0.04004854368932039
16001000601,Census Tract 6.01,Ada County,Idaho,Vacancy Rate,0.09345794392523364
16001000602,Census Tract 6.02,Ada County,Idaho,Vacancy Rate,0.0772701635645798
16001000701,Census Tract 7.01,Ada County,Idaho,Vacancy Rate,0.028626568028304922
16001000703,Census Tract 7.03,Ada County,Idaho,Vacancy Rate,0.032504780114722756
16001000704,Census Tract 7.04,Ada County,Idaho,Vacancy Rate,0.023989898989898988
16001000803,Census Tract 8.03,Ada County,Idaho,Vacancy Rate,0.056555269922879174
16001000805,Census Tract 8.05,Ada County,Idaho,Vacancy Rate,0.0
16001000806,Census Tract 8.06,Ada County,Idaho,Vacancy Rate,0.13547954393024816
16001000807,Census Tract 8.07,Ada County,Idaho,Vacancy Rate,0.11411992263056092
16001000808,Census Tract 8.08,Ada County,Idaho,Vacancy Rate,0.03732394366197183
16001000809,Census Tract 8.09,Ada County,Idaho,Vacancy Rate,0.07685810810810811
16001000810,Census Tract 8.10,Ada County,Idaho,Vacancy Rate,0.04617117117117117
16001000901,Census Tract 9.01,Ada County,Idaho,Vacancy Rate,0.014806378132118452
16001000902,Census Tract 9.02,Ada County,Idaho,Vacancy Rate,0.17512508934953538
16001001001,Census Tract 10.01,Ada County,Idaho,Vacancy Rate,0.024786324786324785
16001001002,Census Tract 10.02,Ada County,Idaho,Vacancy Rate,0.09307875894988067
16001001003,Census Tract 10.03,Ada County,Idaho,Vacancy Rate,0.037157757496740544
16001001100,Census Tract 11,Ada County,Idaho,Vacancy Rate,0.0674955595026643
16001001201,Census Tract 12.01,Ada County,Idaho,Vacancy Rate,0.0390728476821192
16001001203,Census Tract 12.03,Ada County,Idaho,Vacancy Rate,0.1077943615257048
16001001204,Census Tract 12.04,Ada County,Idaho,Vacancy Rate,0.041339612768184195
16001001401,Census Tract 14.01,Ada County,Idaho,Vacancy Rate,0.06239460370994941
16001001402,Census Tract 14.02,Ada County,Idaho,Vacancy Rate,0.040583386176284084
16001001500,Census Tract 15,Ada County,Idaho,Vacancy Rate,0.08132875143184422
16001001600,Census Tract 16,Ada County,Idaho,Vacancy Rate,0.04934359438660027
16001001701,Census Tract 17.01,Ada County,Idaho,Vacancy Rate,0.1794871794871795
