"FIPS","County","State","Met_Breast_Screen","Met_Colon_Screen","Currently_Smoke","BMI_Obese","Physically_Inactive","Binge_Drinking","Sleep_Debt","Cancer_Prevalence","Bad_Health","Poor_Physical","Poor_Mental","Depression","Diabetes_DX","High_BP","High_Cholesterol","BP_Medicine","CHD","Had_Stroke","Asthma","COPD","No_Teeth","Recent_Checkup","Recent_Dentist","Hearing_Disability","Vision_Disability","Cognitive_Disability","Mobility_Disability","Selfcare_Disability","Independent_Living_Disability","Socially_Isolated","Food_Insecure","Housing_Insecure","Lacked_Reliable_Transportation","Lacked_Social_Emotional_Support"
16001,"Ada County","Idaho",75.4,64.9,11.6,28.8,18.3,17.2,30.3,8.3,13.6,11.6,15.2,24.8,8.7,27.9,30.3,71.4,5.7,2.8,10,5.1,16.8,76.2,71.8,7.1,4.1,13.4,10.4,2.7,6.1,32.3,11.7,10.2,7.2,20.5
16003,"Adams County","Idaho",66.2,65.1,15,31.8,26.9,14,30.9,11.4,20.3,16.1,14.9,21.8,14.2,41.2,38.2,79.9,10.3,5.1,10.8,10.1,12.6,76.4,63.2,12,6.3,14.8,18.9,4.7,9.1,26.4,9.1,7.7,5.9,18.2
16005,"Bannock County","Idaho",70.5,59,13.6,36.4,22.5,15.5,36.3,7.8,17,13.7,17.7,25.5,10.1,32.1,32.6,72.6,6.5,3.4,11.1,6.7,12,72.9,64.6,8.2,5.3,16.4,13.4,3.6,8.6,32.5,13,10.9,8.1,20.5
16007,"Bear Lake County","Idaho",72.5,62,12.9,33.5,23.2,15.7,32.9,9.8,17,14.3,15.9,23.6,11.4,35.9,34.3,76,8.1,4,10.9,7.8,15.4,75.7,67.6,9.6,5.2,14.5,15.1,3.8,8.2,29.1,11.4,9.9,7.3,20.9
16009,"Benewah County","Idaho",67,58.6,16.4,34.3,26.4,14.5,33.8,10.3,21,16.4,16.5,22.8,13,38.3,36,77.2,9.1,4.7,11.5,9.2,19.6,74.6,62.4,10.7,6.6,16.6,17.6,4.9,9.7,29.2,14.7,11.5,8.7,21.3
16011,"Bingham County","Idaho",66,60.6,14.2,41,25.9,15.6,33.3,7.9,18.7,13.8,16.7,23.8,10.8,32.8,30.8,73.9,6.8,3.5,11.2,6.7,10.2,71.2,64.5,8.3,5.7,16.6,13.6,3.7,8.3,31.2,15,12.7,9.1,22.2
16013,"Blaine County","Idaho",73.2,65.8,10,25.9,20.1,15.4,27.2,9.7,14.9,12,12.8,20.1,10.4,30.5,31.7,75.2,7.1,3.4,9.8,6.2,7.7,75,71.7,8.4,4.7,12.1,12.6,3.1,6.5,26.4,9.2,8.3,5.7,18.8
16015,"Boise County","Idaho",66.1,67.3,13,31.9,24.3,14.4,31,10.9,16.8,13.9,13.9,20.3,12.5,38.3,36.7,79.5,8.9,4.2,10.5,8.1,11.3,76.1,67.7,10.1,5.1,13.1,15.3,3.7,7.3,27.4,11.3,9.4,6.7,20.6
16017,"Bonner County","Idaho",68.8,62.2,13.7,26.9,22.9,15.4,29,10.9,18.2,15,15.2,23,11.7,38.3,35.1,77.4,8.8,4.4,10.8,8.5,18.3,74.7,66.4,10.3,5.6,14.7,16,4.2,8.6,30.2,11.5,9.5,7,21.1
16019,"Bonneville County","Idaho",68.5,64.8,12.8,35,23,13.2,36.4,7.6,16.4,13.2,16.4,23.2,9.9,32,32.8,71,6.3,3.2,10.9,6.5,19.9,72.7,67.5,7.8,5,15.4,12.9,3.4,7.7,33.8,12.5,11.2,7.6,21.3
16021,"Boundary County","Idaho",65.7,60.6,14.7,31,25.7,14,31,10.2,19,15.3,15.6,22.1,12.6,38.2,36.3,78.5,8.8,4.5,11,9,19.2,75.5,64.3,10.4,6,15,17.1,4.5,9,28.6,13.3,10.5,7.9,20.9
16023,"Butte County","Idaho",65.6,59.8,15.9,35.6,28.8,12.9,33,10.9,22.8,17.7,16.4,23.2,14.6,41.1,37.3,79.5,10.6,5.5,11.4,10.7,14.2,76.5,60.5,12.3,7.5,16.7,20.6,5.8,10.8,27.6,14.4,11.3,8.5,20.3
16025,"Camas County","Idaho",71,61.7,12.3,32.9,21.3,14.6,30.8,10.6,15.7,12.9,13.9,20.9,11.1,39.4,37.5,77.3,7.6,3.6,10.3,6.5,10.2,75.2,69.9,8.7,4.6,13,13,3.3,6.9,28.1,9.4,8.4,6,19.8
16027,"Canyon County","Idaho",61.7,58.5,14.4,37.2,25.5,16.7,34.8,7.4,18.3,14.2,16.8,22.4,10.5,33,35.2,72.8,6.2,3.2,11.5,6.2,12.9,72,63.5,7.9,5.8,16.9,13.4,3.8,8.4,30.5,13.8,12.1,8,20.5
16029,"Caribou County","Idaho",68.2,59.4,13,33,23.8,16,32.8,8.8,16.2,13.3,15.6,22.7,10.4,32.3,31.8,73.5,7.2,3.6,10.5,7,17.6,72.4,66.9,8.7,4.9,14.3,13.5,3.4,7.6,30.9,11.9,10.8,7.4,22.1
16031,"Cassia County","Idaho",67,56.2,13.5,38,27.3,16,34.1,7.5,18.9,13.8,16.7,22.6,10.7,32.8,31.4,72.5,6.7,3.4,10.6,6.6,12.9,71.7,61.6,8.5,6.1,16.6,13.8,3.9,8.4,31.1,17.1,14.1,9.7,23.7
16033,"Clark County","Idaho",67.4,55.2,14.3,35.3,29.7,14.1,34,8,23.9,16.1,16.5,21.4,13.3,33.8,33.5,73.9,8.1,4.1,10.8,7.5,20.6,72.6,58,9.9,8.2,18.4,17.5,5.1,10.1,32.4,23.1,17.8,12.2,26.5
16035,"Clearwater County","Idaho",67.1,59.7,13.8,32.3,26.4,14.8,33.7,11.3,19.2,15.2,14.9,21.6,13,40.4,36.1,78,9.8,4.8,10.6,8.9,20.9,76.3,64.7,11.7,5.9,14.6,17.2,4.3,8.7,29.4,11,9.5,6.9,20.8
16037,"Custer County","Idaho",71.6,62.7,13,33.1,24.1,13.5,29.9,11.5,18.2,14.7,13.8,20.5,13,41.9,37.8,80.4,9.7,4.6,10.5,8.6,16.5,76.2,66.9,11,5.6,13.4,16.2,4.1,7.8,27.1,9.2,8.1,6,18.9
16039,"Elmore County","Idaho",68.2,59.4,15,35.6,26.3,16,36.9,7.3,18.7,14.3,18.2,22.6,10.4,31.6,32.4,72.1,6.4,3.4,10.8,6.8,18.3,72.3,60.1,8.1,6,17.4,13.8,4,9,31.6,15.8,13.4,9.7,23.3
16041,"Franklin County","Idaho",65.5,55.7,16.5,32.8,24.2,15.9,33.2,8.1,18.1,13.9,17.4,23.2,10,31.8,32.1,72.9,6.7,3.4,10.9,7.3,12.2,69.8,63,8.3,5.3,16.7,13.6,3.8,8.4,29.7,12.4,10.8,7.7,21.7
16043,"Fremont County","Idaho",63.8,60.3,13.6,33.7,22.9,15.9,32.3,8.8,17.5,14.3,16,22.5,11.1,34.2,32.9,74.5,7.7,3.8,10.7,7.5,14.2,73.7,65.5,9,5.5,15.1,14.5,3.9,8,28,11.8,10.1,7.3,20.4
16045,"Gem County","Idaho",69.2,61.8,13.1,31.4,23.2,15.1,31.5,10.1,17.3,14,15.3,22.3,11.4,35.7,34.6,76.8,8.1,4,10.8,7.8,12.1,74.6,66.8,9.5,5.2,14.4,15.2,3.7,7.8,28.9,11.9,10,7.2,22
16047,"Gooding County","Idaho",67.6,58.2,16.5,36.9,29.7,14.8,32.6,8.3,23.2,16.5,17.4,22.7,12.6,34,32.4,74.9,8.2,4.3,11.2,8.9,21,71.9,57.7,10.1,7.5,18.7,17.6,4.9,10.2,30.6,18.5,14.6,10.2,23.8
16049,"Idaho County","Idaho",65.2,62.8,16.1,32.1,30.1,14.3,28.5,11.2,22,16.8,15.9,21.2,13.6,38.6,36.4,79.4,10.5,5.3,11,10.4,14.7,75,60.7,12.1,6.8,16.3,19.3,5.1,10.1,25.2,9.9,8.1,6.3,18.9
