FIPS,County,State,Total,Under 18,18 to 64,Over 64,White,Black,AIAN,Asian,NHOPI,Hispanic,Other_Races,Below 9th grade,High School,College,Advanced Degree,Urban_Percentage
16001,Ada County,Idaho,508052,0.22452622959854504,0.6180568130821255,0.15741695731932953,0.8163711588577547,0.01222315825939077,0.003115822789793171,0.025056490280522467,0.0017163597427035028,0.09505129396203538,0.04646571610779999,0.017058808373959768,0.9129053220390414,0.43900881996788055,0.15355217693754455,0.944341743995054
16003,Adams County,Idaho,4599,0.17134159599913024,0.5248967166775386,0.30376168732333114,0.888019134594477,0.0023918243096325287,0.010437051532941943,0.0,0.0,0.045662100456621,0.05348988910632746,0.01113895850737956,0.874129768866611,0.21303258145363407,0.0782511835143414,0.0
16005,Bannock County,Idaho,88457,0.25446262025616967,0.5958149157217631,0.1497224640220672,0.8106989836869891,0.00820737759589405,0.02259855070825373,0.014752930802536826,0.0030071107995975448,0.09587709282476231,0.04485795358196638,0.013882274082305834,0.892557901606957,0.3020585278086469,0.10664832160307633,0.829839803259096
16007,Bear Lake County,Idaho,6552,0.27106227106227104,0.5201465201465202,0.2087912087912088,0.9311660561660562,0.0027472527472527475,0.007631257631257631,0.0025946275946275945,0.0,0.03724053724053724,0.01862026862026862,0.0030416471689284044,0.8869911090313524,0.2033224145999064,0.06364061768834815,0.0
16009,Benewah County,Idaho,9913,0.22082114395238575,0.5446383536769898,0.23454050237062443,0.8419247452839705,0.007364067386260466,0.07444769494603047,0.00040351054171290223,0.0019166750731362857,0.03581156057702008,0.038131746191869265,0.023357870894677238,0.8154020385050963,0.19804643261608154,0.06724235560588901,0.0
16011,Bingham County,Idaho,48993,0.2973894229787929,0.554466964668422,0.1481436123527851,0.7412895719796706,0.002714673524789256,0.04837425754699651,0.004102626905884514,0.00044904374094258365,0.175923091053824,0.027146735247892555,0.04973238921578405,0.8310229048236428,0.2078720787207872,0.05884112895183006,0.40298383063844
16013,Blaine County,Idaho,24579,0.19589893811790554,0.5857846128809147,0.21831644900117986,0.7272875218682615,0.004231254322795882,0.009398266813133162,0.00516701249033728,4.068513771919118e-05,0.21241710403189715,0.04145815533585581,0.05143654114365411,0.8727475592747559,0.4552859135285914,0.12463040446304044,0.757292353328939
16015,Boise County,Idaho,8045,0.1536357986326911,0.5732753262896209,0.27308887507768803,0.8512119328775637,0.002113113735239279,0.00944686140459913,0.01528899937849596,0.0,0.04760720944686141,0.07433188315724053,0.004706620646375902,0.8881393159711327,0.2994979604643866,0.0961719485409476,0.0
16017,Bonner County,Idaho,49456,0.1962148172112585,0.5423002264639275,0.261484956324814,0.9014073115496603,0.0026083791653186673,0.004832578453574895,0.006167098026528632,0.00044483985765124553,0.036476868327402136,0.04806292461986412,0.021717457494678415,0.860965160455905,0.2893056341443699,0.10023441920620807,0.27221396731055
16019,Bonneville County,Idaho,127056,0.30191411660999873,0.5615712756579776,0.13651460773202367,0.8075100742979474,0.0033056290139780883,0.0037385090039037906,0.008350648532930362,0.0015347563279183981,0.14160685052260422,0.03395353230071779,0.030437572180161684,0.8706916463492879,0.3221352495829591,0.10001283202874374,0.848084927882288
16021,Boundary County,Idaho,12695,0.23332020480504134,0.5311539976368649,0.23552579755809375,0.8696337140606538,0.007404489956675857,0.01551792044111855,0.015833005120126035,0.0005513981882630957,0.05561244584482079,0.035447026388341865,0.04332459240679512,0.799566754075932,0.1957587504275453,0.07741420590582601,0.0
16023,Butte County,Idaho,2654,0.26563677467972874,0.5354182366239638,0.19894498869630747,0.8831951770911831,0.0,0.00037678975131876413,0.0,0.003014318010550113,0.07761868877166542,0.03579502637528259,0.03722504230118443,0.8183869148336154,0.13818386914833616,0.03778905809362662,0.0
16025,Camas County,Idaho,1155,0.3316017316017316,0.5194805194805194,0.14891774891774892,0.7619047619047619,0.0,0.006926406926406926,0.0,0.0,0.141991341991342,0.08917748917748917,0.10040705563093623,0.8371777476255088,0.27408412483039346,0.08955223880597014,0.0
16027,Canyon County,Idaho,242405,0.2715661805655824,0.584893050885914,0.14354076854850353,0.676632082671562,0.006138487242424867,0.002697964150904478,0.007949505992038117,0.0017078855634165963,0.2576597017388255,0.04721437264082837,0.05414085202930679,0.8185163274195331,0.22830432775758835,0.06654488008789437,0.8127301443067
16029,Caribou County,Idaho,7118,0.27479629109300363,0.5457993818488339,0.1794043270581624,0.907839280696825,0.0,0.0016858668165214948,0.0004214667041303737,0.0,0.056055071649339705,0.03399831413318348,0.02576419213973799,0.8323144104803494,0.15524017467248907,0.05786026200873363,0.0
16031,Cassia County,Idaho,25165,0.31225909000596064,0.5506457381283528,0.13709517186568648,0.6524935426187165,0.0008344923504867872,0.001867673355851381,0.0029405920921915358,0.00015895092390224517,0.2943771110669581,0.047327637591893505,0.06550043399879815,0.8125125191961007,0.20898711357414704,0.06970688388862924,0.496856621374975
16033,Clark County,Idaho,776,0.28865979381443296,0.5798969072164949,0.13144329896907217,0.5927835051546392,0.0,0.001288659793814433,0.0,0.0,0.30670103092783507,0.09922680412371133,0.04219409282700422,0.7172995780590717,0.1729957805907173,0.035864978902953586,0.0
16035,Clearwater County,Idaho,8921,0.1530097522699249,0.561820423719314,0.28516982401076113,0.8844299966371483,0.0020177110189440644,0.012666741396704406,0.009752269924896311,0.0001120950566080036,0.04248402645443336,0.048537159511265554,0.01382228490832158,0.840620592383639,0.19449929478138223,0.06191819464033851,0.0
16037,Custer County,Idaho,4411,0.11131262752210383,0.5273180684652007,0.3613693040126955,0.8941283155746996,0.002720471548401723,0.004080707322602585,0.026524597596916798,0.0,0.029698481070052143,0.042847426887327136,0.00135464643727987,0.8840422649688431,0.2519642373340558,0.03874288810620428,0.0
16039,Elmore County,Idaho,29046,0.24547269847827582,0.6126833298905184,0.14184397163120568,0.7055016181229773,0.027301521724161674,0.006059354127935,0.026957240239619915,0.0035460992907801418,0.17981821937616194,0.05081594711836397,0.06409007253437263,0.8209375338313305,0.21202771462596082,0.0540218685720472,0.620909788599735
16041,Franklin County,Idaho,14715,0.30941216445803604,0.5493034318722392,0.14128440366972478,0.8975874957526334,0.0,0.0014271151885830785,0.00027183146449201494,0.0011552837240910636,0.07291879034998301,0.026639483520217465,0.004983576849020274,0.9139200362441953,0.2147468569486918,0.06274776305357345,0.0
16043,Fremont County,Idaho,13701,0.24078534413546457,0.5812714400408729,0.17794321582366251,0.8349755492299832,0.0028465075541931244,0.008539522662579374,0.0005109116122910736,0.00080286110502883,0.12086708999343114,0.031457557842493246,0.038320775026910656,0.8495156081808396,0.21754574811625405,0.048654467168998926,0.0
16045,Gem County,Idaho,19854,0.22363251737685103,0.5491084919915382,0.22725899063161076,0.840082603001914,0.0018636043114737585,0.003878311675229173,0.0023169134683187266,0.0,0.09328095094187569,0.058577616601188674,0.027017342697434426,0.8234914719793608,0.22280349720510248,0.04959151497778415,0.531977200230089
16047,Gooding County,Idaho,15740,0.27121982210927575,0.5470775095298602,0.18170266836086404,0.6406607369758577,0.0006353240152477764,0.015501905972045744,0.007369758576874206,0.0,0.30978398983481575,0.026048284625158832,0.06618591326681814,0.7688432282920084,0.17050281537093748,0.05996246172083374,0.0
16049,Idaho County,Idaho,17120,0.19772196261682243,0.5163551401869159,0.2859228971962617,0.8986565420560748,0.0009345794392523365,0.02272196261682243,0.004964953271028037,0.0,0.037908878504672894,0.034813084112149534,0.02195121951219512,0.8822187254130606,0.2199842643587726,0.05759244689221086,0.0
