FIPS,County,State,measure,value
16001,Ada County,Idaho,Total,508052.0
16003,Adams County,Idaho,Total,4599.0
16005,Bannock County,Idaho,Total,88457.0
16007,Bear Lake County,Idaho,Total,6552.0
16009,Benewah County,Idaho,Total,9913.0
16011,Bingham County,Idaho,Total,48993.0
16013,Blaine County,Idaho,Total,24579.0
16015,Boise County,Idaho,Total,8045.0
16017,Bonner County,Idaho,Total,49456.0
16019,Bonneville County,Idaho,Total,127056.0
16021,Boundary County,Idaho,Total,12695.0
16023,Butte County,Idaho,Total,2654.0
16025,Camas County,Idaho,Total,1155.0
16027,Canyon County,Idaho,Total,242405.0
16029,Caribou County,Idaho,Total,7118.0
16031,Cassia County,Idaho,Total,25165.0
16033,Clark County,Idaho,Total,776.0
16035,Clearwater County,Idaho,Total,8921.0
16037,Custer County,Idaho,Total,4411.0
16039,Elmore County,Idaho,Total,29046.0
16041,Franklin County,Idaho,Total,14715.0
16043,Fremont County,Idaho,Total,13701.0
16045,Gem County,Idaho,Total,19854.0
16047,Gooding County,Idaho,Total,15740.0
16049,Idaho County,Idaho,Total,17120.0
16051,Jefferson County,Idaho,Total,32234.0
16053,Jerome County,Idaho,Total,24788.0
16055,Kootenai County,Idaho,Total,177736.0
16057,Latah County,Idaho,Total,40315.0
16059,Lemhi County,Idaho,Total,8166.0
16061,Lewis County,Idaho,Total,3649.0
16063,Lincoln County,Idaho,Total,5276.0
16065,Madison County,Idaho,Total,53578.0
16067,Minidoka County,Idaho,Total,21922.0
16069,Nez Perce County,Idaho,Total,42477.0
16071,Oneida County,Idaho,Total,4681.0
16073,Owyhee County,Idaho,Total,12284.0
16075,Payette County,Idaho,Total,26190.0
16077,Power County,Idaho,Total,8018.0
16079,Shoshone County,Idaho,Total,13580.0
16081,Teton County,Idaho,Total,12101.0
16083,Twin Falls County,Idaho,Total,92121.0
16085,Valley County,Idaho,Total,12136.0
16087,Washington County,Idaho,Total,10866.0
30001,Beaverhead County,Montana,Total,9590.0
30003,Big Horn County,Montana,Total,12963.0
30005,Blaine County,Montana,Total,6997.0
30007,Broadwater County,Montana,Total,7310.0
