FIPS,Tract,County,State,measure,value
16001000101,Census Tract 1.01,Ada County,Idaho,Total,1269.0
16001000102,Census Tract 1.02,Ada County,Idaho,Total,3071.0
16001000201,Census Tract 2.01,Ada County,Idaho,Total,3301.0
16001000202,Census Tract 2.02,Ada County,Idaho,Total,6028.0
16001000302,Census Tract 3.02,Ada County,Idaho,Total,3664.0
16001000303,Census Tract 3.03,Ada County,Idaho,Total,2036.0
16001000305,Census Tract 3.05,Ada County,Idaho,Total,2939.0
16001000306,Census Tract 3.06,Ada County,Idaho,Total,4176.0
16001000401,Census Tract 4.01,Ada County,Idaho,Total,2453.0
16001000402,Census Tract 4.02,Ada County,Idaho,Total,3460.0
16001000501,Census Tract 5.01,Ada County,Idaho,Total,3095.0
16001000502,Census Tract 5.02,Ada County,Idaho,Total,3455.0
16001000601,Census Tract 6.01,Ada County,Idaho,Total,2334.0
16001000602,Census Tract 6.02,Ada County,Idaho,Total,3431.0
16001000701,Census Tract 7.01,Ada County,Idaho,Total,5740.0
16001000703,Census Tract 7.03,Ada County,Idaho,Total,2356.0
16001000704,Census Tract 7.04,Ada County,Idaho,Total,3525.0
16001000803,Census Tract 8.03,Ada County,Idaho,Total,4335.0
16001000805,Census Tract 8.05,Ada County,Idaho,Total,3501.0
16001000806,Census Tract 8.06,Ada County,Idaho,Total,2976.0
16001000807,Census Tract 8.07,Ada County,Idaho,Total,2068.0
16001000808,Census Tract 8.08,Ada County,Idaho,Total,2595.0
16001000809,Census Tract 8.09,Ada County,Idaho,Total,2476.0
16001000810,Census Tract 8.10,Ada County,Idaho,Total,2802.0
16001000901,Census Tract 9.01,Ada County,Idaho,Total,2120.0
16001000902,Census Tract 9.02,Ada County,Idaho,Total,6807.0
16001001001,Census Tract 10.01,Ada County,Idaho,Total,2189.0
16001001002,Census Tract 10.02,Ada County,Idaho,Total,2320.0
16001001003,Census Tract 10.03,Ada County,Idaho,Total,3078.0
16001001100,Census Tract 11,Ada County,Idaho,Total,4764.0
16001001201,Census Tract 12.01,Ada County,Idaho,Total,3465.0
16001001203,Census Tract 12.03,Ada County,Idaho,Total,4211.0
16001001204,Census Tract 12.04,Ada County,Idaho,Total,3625.0
16001001401,Census Tract 14.01,Ada County,Idaho,Total,2373.0
16001001402,Census Tract 14.02,Ada County,Idaho,Total,3055.0
16001001500,Census Tract 15,Ada County,Idaho,Total,4087.0
16001001600,Census Tract 16,Ada County,Idaho,Total,4493.0
16001001701,Census Tract 17.01,Ada County,Idaho,Total,2159.0
16001001702,Census Tract 17.02,Ada County,Idaho,Total,4134.0
16001001800,Census Tract 18,Ada County,Idaho,Total,4311.0
16001001900,Census Tract 19,Ada County,Idaho,Total,5282.0
16001002000,Census Tract 20,Ada County,Idaho,Total,5029.0
16001002100,Census Tract 21,Ada County,Idaho,Total,1969.0
