"FIPS","County","State","Type","RE","Sex","AYA..15.39.years.","Alcohol.associated","All.Site","Bladder","Brain...ONS","Cervix","Cervix..21.65.years.","Cervix..Early.Stage.","Cervix..Late.Stage.","Colon...Rectum","Colon...Rectum..45.75.years.","Colon...Rectum..Early.Stage.","Colon...Rectum..Late.Stage.","Corpus.Uteri...Uterus..NOS","Esophagus","Female.Breast","Female.Breast..40.74.years.","Female.Breast..Early.Stage.","Female.Breast..Late.Stage.","HPV.associated","Head.and.Neck","Kidney...Renal.Pelvis","Leukemia","Liver...IBD","Lung...Bronchus","Lung...Bronchus..50.80.years.","Lung...Bronchus..Early.Stage.","Lung...Bronchus..Late.Stage.","Melanoma.of.the.Skin","Non.Hodgkin.Lymphoma","Obesity.associated","Oral.Cavity...Pharynx","Ovary","Pancreas","Pediatric..0.19.years.","Prostate","Stomach","Thyroid","Tobacco.associated"
16001,"Ada County","Idaho","Incidence","All","All",72.5599,130.2761,452.9948,20.3443,7.2938,5.238,8.0959,3.5424,1.6315,30.3007,57.8522,9.2876,19.0277,21.0582,4.5132,147.4862,287.7356,100.6724,45.8762,10.878,27.675,16.8732,16.7998,7.3497,43.008,125.5334,14.3264,27.5469,35.8495,18.1174,165.3028,12.3933,9.7114,13.8375,17.1955,134.9962,4.0507,12.1685,160.5059
16001,"Ada County","Idaho","Incidence","All","Female",88.0822,187.545,420.0694,8.6747,6.4238,5.238,8.0959,3.5424,1.6315,28.3036,50.9006,8.0018,18.1863,21.0582,1.4248,147.4862,287.7356,100.6724,45.8762,11.3451,26.4984,10.7674,12.6701,4.9809,41.4164,120.4974,15.2301,25.6019,27.2794,13.5116,220.9704,6.7293,9.7114,11.9976,19.9505,NA,2.7123,17.729,125.3245
16001,"Ada County","Idaho","Incidence","All","Male",57.9384,70.6611,498.4879,34.3013,8.2955,NA,NA,NA,NA,32.4562,64.9699,10.7567,19.9444,NA,8.0679,NA,NA,NA,NA,10.5541,30.0064,23.6361,21.5359,10.088,45.323,131.4901,13.4488,30.0178,46.4166,23.1176,105.9318,18.6397,NA,16.0653,14.6108,134.9962,5.6392,6.9131,201.8452
16001,"Ada County","Idaho","Incidence","American Indian/Alaska Native NH","All",NA,NA,408.1231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.7814,NA,NA,NA,NA,NA,NA,NA,233.0101
16001,"Ada County","Idaho","Incidence","American Indian/Alaska Native NH","Female",NA,NA,427.3145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16001,"Ada County","Idaho","Incidence","American Indian/Alaska Native NH","Male",NA,NA,383.4226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16001,"Ada County","Idaho","Incidence","Asian/Pacific Islander NH","All",50.0466,118.1464,354.0425,NA,NA,NA,NA,NA,NA,30.9655,NA,NA,NA,NA,NA,124.4804,215.2129,72.0844,46.4634,NA,28.1393,NA,NA,NA,37.8206,138.7439,NA,30.8343,NA,NA,135.7224,NA,NA,NA,NA,114.4177,NA,NA,142.7431
16001,"Ada County","Idaho","Incidence","Asian/Pacific Islander NH","Female",NA,170.9621,361.1362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.4804,215.2129,72.0844,46.4634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.7587,NA,NA,NA,NA,NA,NA,NA,135.197
16001,"Ada County","Idaho","Incidence","Asian/Pacific Islander NH","Male",NA,NA,365.1609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.8058,NA,NA,NA,NA,114.4177,NA,NA,156.1185
16001,"Ada County","Idaho","Incidence","Black NH","All",NA,91.7387,514.5965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.1903,NA,NA,NA,NA,246.1219,NA,NA,232.5303
