FIPS,County,State,Type,RE,Sex,Site,AAR,AAC
16001,Ada County,Idaho,Mortality,All,All,All Site,131.8,739.0
16001,Ada County,Idaho,Mortality,White NH,All,All Site,132.7,696.0
16001,Ada County,Idaho,Mortality,Black NH,All,All Site,176.2,6.0
16001,Ada County,Idaho,Mortality,Hispanic,All,All Site,99.5,19.0
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,All,All Site,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,All,All Site,130.9,14.0
16001,Ada County,Idaho,Mortality,All,Female,All Site,117.6,357.0
16001,Ada County,Idaho,Mortality,White NH,Female,All Site,118.4,335.0
16001,Ada County,Idaho,Mortality,Black NH,Female,All Site,,
16001,Ada County,Idaho,Mortality,Hispanic,Female,All Site,74.8,9.0
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Female,All Site,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Female,All Site,139.8,9.0
16001,Ada County,Idaho,Mortality,All,Male,All Site,151.0,382.0
16001,Ada County,Idaho,Mortality,White NH,Male,All Site,151.8,361.0
16001,Ada County,Idaho,Mortality,Black NH,Male,All Site,,
16001,Ada County,Idaho,Mortality,Hispanic,Male,All Site,141.5,11.0
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Male,All Site,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Male,All Site,116.5,6.0
16001,Ada County,Idaho,Mortality,All,All,Bladder,4.3,23.0
16001,Ada County,Idaho,Mortality,White NH,All,Bladder,4.6,23.0
16001,Ada County,Idaho,Mortality,Black NH,All,Bladder,,
16001,Ada County,Idaho,Mortality,Hispanic,All,Bladder,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,All,Bladder,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,All,Bladder,,
16001,Ada County,Idaho,Mortality,All,Female,Bladder,2.3,7.0
16001,Ada County,Idaho,Mortality,White NH,Female,Bladder,2.5,7.0
16001,Ada County,Idaho,Mortality,Black NH,Female,Bladder,,
16001,Ada County,Idaho,Mortality,Hispanic,Female,Bladder,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Female,Bladder,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Female,Bladder,,
16001,Ada County,Idaho,Mortality,All,Male,Bladder,7.0,16.0
16001,Ada County,Idaho,Mortality,White NH,Male,Bladder,7.4,16.0
16001,Ada County,Idaho,Mortality,Black NH,Male,Bladder,,
16001,Ada County,Idaho,Mortality,Hispanic,Male,Bladder,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Male,Bladder,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Male,Bladder,,
16001,Ada County,Idaho,Mortality,All,All,Brain & ONS,5.3,30.0
16001,Ada County,Idaho,Mortality,White NH,All,Brain & ONS,5.6,29.0
16001,Ada County,Idaho,Mortality,Black NH,All,Brain & ONS,,
16001,Ada County,Idaho,Mortality,Hispanic,All,Brain & ONS,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,All,Brain & ONS,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,All,Brain & ONS,,
16001,Ada County,Idaho,Mortality,All,Female,Brain & ONS,4.7,14.0
16001,Ada County,Idaho,Mortality,White NH,Female,Brain & ONS,4.8,13.0
16001,Ada County,Idaho,Mortality,Black NH,Female,Brain & ONS,,
16001,Ada County,Idaho,Mortality,Hispanic,Female,Brain & ONS,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Female,Brain & ONS,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Female,Brain & ONS,,
16001,Ada County,Idaho,Mortality,All,Male,Brain & ONS,5.9,16.0
16001,Ada County,Idaho,Mortality,White NH,Male,Brain & ONS,6.4,16.0
16001,Ada County,Idaho,Mortality,Black NH,Male,Brain & ONS,,
