FIPS,County,State,measure,value
16001,Ada County,Idaho,Gini Coefficient,0.4497
16003,Adams County,Idaho,Gini Coefficient,0.499
16005,Bannock County,Idaho,Gini Coefficient,0.4315
16007,Bear Lake County,Idaho,Gini Coefficient,0.4146
16009,Benewah County,Idaho,Gini Coefficient,0.4377
16011,Bingham County,Idaho,Gini Coefficient,0.4293
16013,Blaine County,Idaho,Gini Coefficient,0.4649
16015,Boise County,Idaho,Gini Coefficient,0.3784
16017,Bonner County,Idaho,Gini Coefficient,0.4542
16019,Bonneville County,Idaho,Gini Coefficient,0.4343
16021,Boundary County,Idaho,Gini Coefficient,0.409
16023,Butte County,Idaho,Gini Coefficient,0.4724
16025,Camas County,Idaho,Gini Coefficient,0.4481
16027,Canyon County,Idaho,Gini Coefficient,0.3902
16029,Caribou County,Idaho,Gini Coefficient,0.3968
16031,Cassia County,Idaho,Gini Coefficient,0.4475
16033,Clark County,Idaho,Gini Coefficient,0.3311
16035,Clearwater County,Idaho,Gini Coefficient,0.4225
16037,Custer County,Idaho,Gini Coefficient,0.3927
16039,Elmore County,Idaho,Gini Coefficient,0.4177
16041,Franklin County,Idaho,Gini Coefficient,0.4098
16043,Fremont County,Idaho,Gini Coefficient,0.3756
16045,Gem County,Idaho,Gini Coefficient,0.432
16047,Gooding County,Idaho,Gini Coefficient,0.4497
16049,Idaho County,Idaho,Gini Coefficient,0.4304
16051,Jefferson County,Idaho,Gini Coefficient,0.3813
16053,Jerome County,Idaho,Gini Coefficient,0.4269
16055,Kootenai County,Idaho,Gini Coefficient,0.4291
16057,Latah County,Idaho,Gini Coefficient,0.4559
16059,Lemhi County,Idaho,Gini Coefficient,0.4953
16061,Lewis County,Idaho,Gini Coefficient,0.4432
16063,Lincoln County,Idaho,Gini Coefficient,0.3949
16065,Madison County,Idaho,Gini Coefficient,0.5181
16067,Minidoka County,Idaho,Gini Coefficient,0.4318
16069,Nez Perce County,Idaho,Gini Coefficient,0.458
16071,Oneida County,Idaho,Gini Coefficient,0.4062
16073,Owyhee County,Idaho,Gini Coefficient,0.3929
16075,Payette County,Idaho,Gini Coefficient,0.4188
16077,Power County,Idaho,Gini Coefficient,0.3717
