"FIPS","Tract","County","State","Gini.Coefficient","Economic.Segregation","Racial.Economic.Segregation","Racial.Segregation","Gender.Pay.Gap","Uninsured.Children","Uninsured..Black.","Uninsured..Hispanic.","Living.Below.Poverty..Black.","Living.Below.Poverty..Hispanic.","Lack_English_Prof"
16001000101,"Census Tract 1.01","Ada County","Idaho",0.5384,-0.579302587176603,0.0281214848143982,0.828929068150209,-0.11015279541176,0.0548780487804878,0,0.6,1,NA,0.0380952380952381
16001000102,"Census Tract 1.02","Ada County","Idaho",0.4767,-0.279854147675479,0.0569735642661805,0.700031575623619,0.521190425128264,0,0,0.0486381322957198,NA,0.355932203389831,0.032520325203252
16001000201,"Census Tract 2.01","Ada County","Idaho",0.5766,0.306451612903226,0.395483870967742,0.825080574274832,0.5625,0.0522765598650927,0,0.0596026490066225,1,0,0.0104390543444888
16001000202,"Census Tract 2.02","Ada County","Idaho",0.4821,0.418174962292609,0.443438914027149,0.898855261094559,0.358095754570809,0,0,0,0,0,0
16001000302,"Census Tract 3.02","Ada County","Idaho",0.5401,-0.0377358490566038,0.197387518142235,0.916690361103213,-0.0408282982342933,0,0,0,NA,NA,0
16001000303,"Census Tract 3.03","Ada County","Idaho",0.4388,-0.0227066303360581,0.0672116257947321,0.881679389312977,0.446841084096283,0,NA,0.153846153846154,NA,NA,0
16001000305,"Census Tract 3.05","Ada County","Idaho",0.392,0.0681137724550898,0.193862275449102,0.822237017310253,-0.0362572312659761,0.151877133105802,0,0.143835616438356,0,0,0.00385019250962548
16001000306,"Census Tract 3.06","Ada County","Idaho",0.4148,0.0657969370391378,0.187180941576858,0.911450752062106,0.168250950570342,0,NA,0.0396039603960396,NA,0.205882352941176,0.00177664974619289
16001000401,"Census Tract 4.01","Ada County","Idaho",0.3369,0.00403632694248234,0.094853683148335,0.939816833842128,-0.00791480192275817,0,NA,0,NA,0,0.0168813860506442
16001000402,"Census Tract 4.02","Ada County","Idaho",0.4033,-0.0786001147446931,0.141135972461274,0.781311018131102,0.268962563179988,0.0402476780185759,NA,0.0998363338788871,NA,0,0.010749477455957
16001000501,"Census Tract 5.01","Ada County","Idaho",0.4448,0.0485859318346628,0.211747643219724,0.839160839160839,-0.0856972179552824,0,0,0,1,0,0.00780089153046062
16001000502,"Census Tract 5.02","Ada County","Idaho",0.5091,0.34134007585335,0.24968394437421,0.763090857628078,-0.0602856932117128,0,1,0.0244821092278719,NA,0,0
16001000601,"Census Tract 6.01","Ada County","Idaho",0.6043,0.280412371134021,0.45360824742268,0.901543596161869,0.323707634371791,0,0,0,NA,0,0
16001000602,"Census Tract 6.02","Ada County","Idaho",0.473,0.115525672371638,0.23838630806846,0.932444713723114,-0.123684426565963,0.116731517509728,NA,0,NA,NA,0
16001000701,"Census Tract 7.01","Ada County","Idaho",0.4589,0.130132450331126,0.204304635761589,0.845952547103978,0.190556088207095,0.0918854415274463,0,0.0669144981412639,1,0,0.0121973094170404
16001000703,"Census Tract 7.03","Ada County","Idaho",0.323,0.617588932806324,0.536561264822134,0.848832607835378,0.243164859067702,0.0128617363344051,NA,0,NA,0,0
16001000704,"Census Tract 7.04","Ada County","Idaho",0.448,0.447606727037516,0.448253557567917,0.867547882384678,-0.0391432485160432,0,NA,0,NA,NA,0
16001000803,"Census Tract 8.03","Ada County","Idaho",0.3032,0.232697547683924,0.269209809264305,0.756756756756757,0.225668315802603,0.0329380764163373,NA,0.137440758293839,NA,0,0.00862275449101796
16001000805,"Census Tract 8.05","Ada County","Idaho",0.5072,0.410776766969909,0.445066480055983,0.829110194460813,0.37117128678987,0.0239043824701195,0,0,0,0,0.00623441396508728
16001000806,"Census Tract 8.06","Ada County","Idaho",0.367,-0.133436772692009,0.0698215671062839,0.778767367296046,0.0428110020778045,0.0164705882352941,1,0.298543689320388,NA,0.0909090909090909,0
16001000807,"Census Tract 8.07","Ada County","Idaho",0.374,0.208515283842795,0.209606986899563,0.735002361832782,0.236326304386164,0.0535714285714286,0,0.353383458646617,NA,0,0.0143992055610725
16001000808,"Census Tract 8.08","Ada County","Idaho",0.4756,0.267008046817849,0.348939283101683,0.788766788766789,-0.144134772887598,0,0,0,NA,NA,0.00594985125371866
16001000809,"Census Tract 8.09","Ada County","Idaho",0.5917,0.193961573650503,0.268984446477585,0.807835051546392,0.4136460554371,0.0341726618705036,0,0,1,0,0.00227686703096539
16001000810,"Census Tract 8.10","Ada County","Idaho",0.3251,-0.00590318772136954,0.0867768595041322,0.868898186889819,-0.217904309785684,0,NA,0,NA,0,0
16001000901,"Census Tract 9.01","Ada County","Idaho",0.3918,-0.023121387283237,0.115606936416185,0.819451131439576,0.362292745142171,0,0,0.438679245283019,NA,0.333333333333333,0.037542662116041
16001000902,"Census Tract 9.02","Ada County","Idaho",0.4606,-0.400346620450607,0.0580589254766031,0.827507943713118,0.107802815269652,0.0710997442455243,0.173913043478261,0.0694645441389291,NA,0,0.00696020577999697
16001001001,"Census Tract 10.01","Ada County","Idaho",0.3913,0.035056967572305,0.166520595968449,0.846340281143965,-0.0750837161559561,0,0,0.0662251655629139,NA,0,0.00099601593625498
16001001002,"Census Tract 10.02","Ada County","Idaho",0.3302,-0.442105263157895,0,0.752643504531722,0.327776878675082,0,0,0.475206611570248,NA,0,0.0103527607361963
