FIPS,Tract,County,State,measure,value
16001000101,Census Tract 1.01,Ada County,Idaho,Gini Coefficient,0.5251
16001000102,Census Tract 1.02,Ada County,Idaho,Gini Coefficient,0.5561
16001000201,Census Tract 2.01,Ada County,Idaho,Gini Coefficient,0.5654
16001000202,Census Tract 2.02,Ada County,Idaho,Gini Coefficient,0.4702
16001000302,Census Tract 3.02,Ada County,Idaho,Gini Coefficient,0.4844
16001000303,Census Tract 3.03,Ada County,Idaho,Gini Coefficient,0.4671
16001000305,Census Tract 3.05,Ada County,Idaho,Gini Coefficient,0.4191
16001000306,Census Tract 3.06,Ada County,Idaho,Gini Coefficient,0.3835
16001000401,Census Tract 4.01,Ada County,Idaho,Gini Coefficient,0.3294
16001000402,Census Tract 4.02,Ada County,Idaho,Gini Coefficient,0.4134
16001000501,Census Tract 5.01,Ada County,Idaho,Gini Coefficient,0.4412
16001000502,Census Tract 5.02,Ada County,Idaho,Gini Coefficient,0.4772
16001000601,Census Tract 6.01,Ada County,Idaho,Gini Coefficient,0.6122
16001000602,Census Tract 6.02,Ada County,Idaho,Gini Coefficient,0.4706
16001000701,Census Tract 7.01,Ada County,Idaho,Gini Coefficient,0.4637
16001000703,Census Tract 7.03,Ada County,Idaho,Gini Coefficient,0.3184
16001000704,Census Tract 7.04,Ada County,Idaho,Gini Coefficient,0.424
16001000803,Census Tract 8.03,Ada County,Idaho,Gini Coefficient,0.3197
16001000805,Census Tract 8.05,Ada County,Idaho,Gini Coefficient,0.5005
16001000806,Census Tract 8.06,Ada County,Idaho,Gini Coefficient,0.4244
16001000807,Census Tract 8.07,Ada County,Idaho,Gini Coefficient,0.3351
16001000808,Census Tract 8.08,Ada County,Idaho,Gini Coefficient,0.4956
16001000809,Census Tract 8.09,Ada County,Idaho,Gini Coefficient,0.5682
16001000810,Census Tract 8.10,Ada County,Idaho,Gini Coefficient,0.3574
16001000901,Census Tract 9.01,Ada County,Idaho,Gini Coefficient,0.3972
16001000902,Census Tract 9.02,Ada County,Idaho,Gini Coefficient,0.4768
