"FIPS","County","State","Insurance.Coverage","Medicaid.Enrollment","Household.Income","Annual.Labor.Force.Participation.Rate","Annual.Unemployment.Rate","Below.Poverty","Received.Public.Assistance","Monthly.Unemployment.Rate..Sep.","Uninsured"
16001,"Ada County","Idaho",0.933149810428726,0.130458319381984,88907,0.663052615537388,0.0310578117180404,0.0547192917069164,0.0668174885612608,0.028,0.0668501895712742
16003,"Adams County","Idaho",0.881014873140857,0.107830271216098,59286,0.488721804511278,0.0663129973474801,0.11241610738255,0.0291095890410959,0.046,0.118985126859143
16005,"Bannock County","Idaho",0.928013737836291,0.226388093875215,64080,0.619944008632003,0.0462168073946892,0.0764048165137615,0.155188962207558,0.029,0.0719862621637092
16007,"Bear Lake County","Idaho",0.923159839852171,0.171388974437943,67304,0.57248550289942,0.0261962975899406,0.0559610705596107,0.0563258232235702,0.024,0.0768401601478288
16009,"Benewah County","Idaho",0.859836901121305,0.209174311926606,56553,0.524962742175857,0.0392713508398391,0.108367121267969,0.118652589240825,0.039,0.140163098878695
16011,"Bingham County","Idaho",0.911295811248376,0.221564543073401,76842,0.646789623135666,0.0580111674694173,0.072516609949765,0.111062527328378,0.027,0.0887041887516241
16013,"Blaine County","Idaho",0.896948903320671,0.125801576604174,84470,0.678989374724575,0.0259609144010961,0.0506329113924051,0.0488698839340257,0.025,0.103051096679329
16015,"Boise County","Idaho",0.887613820631159,0.127104902083073,77349,0.522137842097722,0.0296377607025247,0.041820418204182,0.0681044267877412,0.036,0.112386179368841
16017,"Bonner County","Idaho",0.894623129917248,0.210814887285476,65168,0.51493883121314,0.0390913393279697,0.0753539351499467,0.0784223684881882,0.036,0.105376870082752
16019,"Bonneville County","Idaho",0.920445587521001,0.217387149943864,76646,0.651702102438656,0.0384284674912362,0.0636200716845878,0.108211535801558,0.024,0.0795544124789986
16021,"Boundary County","Idaho",0.863860598345003,0.266072565245067,62438,0.499450164950515,0.0334267413931145,0.163631022326675,0.132988624612203,0.036,0.136139401654997
16023,"Butte County","Idaho",0.923925446937999,0.267021681247623,43281,0.523182040019522,0.0438432835820896,0.191379310344828,0.121927236971485,0.034,0.0760745530620007
16025,"Camas County","Idaho",0.856277056277056,0.232034632034632,55536,0.550795593635251,0,0.0248756218905473,0.00294985250737463,0.027,0.143722943722944
16027,"Canyon County","Idaho",0.882794934772942,0.215542284339272,72355,0.643877728687401,0.0336327606750213,0.0731438534162308,0.111109770225912,0.032,0.117205065227058
16029,"Caribou County","Idaho",0.926558497011102,0.166239681184173,66653,0.633566691230656,0.0287874382087816,0.0742753623188406,0.0893004115226337,0.024,0.0734415029888984
16031,"Cassia County","Idaho",0.885050985450002,0.22091008020636,67042,0.661093562792724,0.0252080072493616,0.0677884615384615,0.0986890021849964,0.024,0.114949014549998
16033,"Clark County","Idaho",0.826199740596628,0.272373540856031,52083,0.631849315068493,0.018970189701897,0.0909090909090909,0.0357142857142857,0.024,0.173800259403372
16035,"Clearwater County","Idaho",0.876917413179531,0.173886366425328,57961,0.459543973941368,0.0345903033739722,0.0799823243482103,0.0718899185622016,0.043,0.123082586820469
16037,"Custer County","Idaho",0.858548867017624,0.15403982604715,56957,0.478926241846463,0.0214772132006286,0.048683160415004,0.0543197102948784,0.028,0.141451132982376
16039,"Elmore County","Idaho",0.877825745682889,0.198233908948195,58976,0.563876651982379,0.0661764705882353,0.0819672131147541,0.102783923303835,0.029,0.122174254317111
16041,"Franklin County","Idaho",0.887017591708714,0.163371062321015,65991,0.62078547610226,0.017905102954342,0.0538810349426514,0.0770020533880904,0.022,0.112982408291286
16043,"Fremont County","Idaho",0.877993331312519,0.23757199151258,72767,0.575704549640818,0.0462326027835546,0.066608493310064,0.100532623169108,0.021,0.122006668687481
16045,"Gem County","Idaho",0.880948737566947,0.191277735271614,66245,0.572242037419436,0.0283214871514489,0.0687869822485207,0.0803402646502836,0.034,0.119051262433053
16047,"Gooding County","Idaho",0.804038080633825,0.212063126956744,62395,0.632982280173855,0.0504423610194111,0.0945982999725802,0.111211901306241,0.027,0.195961919366175
16049,"Idaho County","Idaho",0.847372860930345,0.173355025307303,60975,0.496895724566107,0.0370580718443845,0.0783921829891184,0.0543627227044312,0.031,0.152627139069655
16051,"Jefferson County","Idaho",0.913814047656128,0.210964024295281,82952,0.661986570157844,0.0247661704650244,0.0743935983995999,0.0716233963026568,0.023,0.0861859523438717
16053,"Jerome County","Idaho",0.84220570918098,0.271450034514963,69338,0.65315858740952,0.0375283351523802,0.125830959164292,0.0924615759941449,0.027,0.15779429081902
16055,"Kootenai County","Idaho",0.904084562181913,0.165640656117198,77034,0.60463444036348,0.0326928458166216,0.059872557885218,0.0855666821023385,0.032,0.0959154378180869
16057,"Latah County","Idaho",0.926000798642308,0.109863232504742,65179,0.626501367582352,0.0613581360034167,0.0802712160979877,0.0567318470544277,0.025,0.0739992013576919
16059,"Lemhi County","Idaho",0.931561296733325,0.284685132281704,52057,0.532153392330384,0.0335365853658537,0.0941872981700753,0.136417910447761,0.031,0.0684387032666749
16061,"Lewis County","Idaho",0.874758620689655,0.254344827586207,49643,0.47072838665759,0.03470715835141,0.122788761706556,0.123544631306598,0.029,0.125241379310345
16063,"Lincoln County","Idaho",0.84535686876439,0.263814274750576,66038,0.66945400885391,0.0569434239529758,0.0547226386806597,0.0806100217864924,0.027,0.15464313123561
16065,"Madison County","Idaho",0.946769415382308,0.202403719953501,58259,0.684728728000364,0.0877361936705078,0.132639250390422,0.115824072624824,0.02,0.0532305846176923
16067,"Minidoka County","Idaho",0.870477932769266,0.27061513834896,70060,0.632316066295639,0.0303704420156688,0.106435209538839,0.137573585871513,0.025,0.129522067230734
16069,"Nez Perce County","Idaho",0.912371257772549,0.178066405781096,71466,0.598985215641676,0.0290151404508057,0.087928058860932,0.0878840579710145,0.026,0.0876287422274507
16071,"Oneida County","Idaho",0.930127237437999,0.152037955574725,72563,0.636868406440866,0.0152571926765475,0.0974025974025974,0.0854037267080745,0.026,0.0698727625620013
16073,"Owyhee County","Idaho",0.788913635238802,0.250680524622618,59773,0.556273447269696,0.0213563132259273,0.0785880785880786,0.122645951035782,0.034,0.211086364761198
16075,"Payette County","Idaho",0.919596830037701,0.256597676386858,65723,0.574866709851014,0.0332842160006934,0.0731488406881077,0.140175087016138,0.032,0.080403169962299
16077,"Power County","Idaho",0.83073244399698,0.282154543166373,59760,0.668140840278959,0.0588085539714868,0.064546748932131,0.094903988183161,0.028,0.16926755600302
16079,"Shoshone County","Idaho",0.892200806813088,0.259599581652473,49975,0.545644853008101,0.0508757297748123,0.101036269430052,0.12220461348829,0.049,0.107799193186912
16081,"Teton County","Idaho",0.85307743216413,0.160820648577101,90740,0.733223037948506,0.0148075024679171,0.0665243685521167,0.035862672206429,0.017,0.14692256783587
16083,"Twin Falls County","Idaho",0.898532766032108,0.22240986051408,65338,0.637340707586168,0.0318482733941671,0.0796865070959542,0.11411889596603,0.03,0.101467233967892
16085,"Valley County","Idaho",0.899941874948103,0.148218882338288,76125,0.521162974683544,0.0292220113851992,0.0623839584106944,0.0399682371625198,0.027,0.100058125051897
16087,"Washington County","Idaho",0.90192037470726,0.203747072599532,53608,0.472250829614372,0.0467652047492125,0.111346018322763,0.11396429444852,0.033,0.0980796252927401
30001,"Beaverhead County","Montana",0.944326165637641,0.213753459655099,58072,0.571132512495429,0.0273212379935966,0.080155979202773,0.0851735015772871,0.023,0.055673834362359
30003,"Big Horn County","Montana",0.814863916400218,0.435935428526866,56680,0.587538674917316,0.137098238605411,0.180539273153576,0.16960173394744,0.036,0.185136083599782
30005,"Blaine County","Montana",0.82799129804206,0.382886149383611,65050,0.613614387932702,0.142451938228806,0.139010644959299,0.171528080104484,0.033,0.17200870195794
30007,"Broadwater County","Montana",0.933553901295837,0.144609870416322,63636,0.612271755222898,0.0432563138097797,0.0698254364089776,0.07202216066482,0.029,0.0664460987041632
30009,"Carbon County","Montana",0.924510804043402,0.188352035611611,71017,0.610180552534262,0.0500891265597148,0.0485674353598882,0.0767599660729432,0.026,0.0754891959565983
30011,"Carter County","Montana",0.911061285500747,0.233931240657698,52171,0.566523605150215,0.0363636363636364,0.0894308943089431,0.0717863105175292,0.023,0.0889387144992526
30013,"Cascade County","Montana",0.932670711883756,0.237178771296331,66203,0.613468137820661,0.0299761695723065,0.0750257901153522,0.114640923544072,0.026,0.0673292881162442
30015,"Chouteau County","Montana",0.941227014951023,0.350747551125623,56927,0.552502662406816,0.0319969159599075,0.0988538681948424,0.127938517179024,0.033,0.0587729850489774
30017,"Custer County","Montana",0.924310948033109,0.227408481952385,63585,0.654190398698129,0.0270522388059701,0.0555925432756325,0.0890166534496431,0.021,0.0756890519668914
30019,"Daniels County","Montana",0.977333333333333,0.102666666666667,58000,0.645608628659476,0.0143198090692124,0.0972972972972973,0.0335195530726257,0.019,0.0226666666666666
30021,"Dawson County","Montana",0.945782431646306,0.162420011634671,70953,0.619983393301965,0.0345982142857143,0.0394027374533389,0.0377358490566038,0.024,0.054217568353694
30023,"Deer Lodge County","Montana",0.932393745870954,0.307201057035895,49533,0.547730463266261,0.0491243058521999,0.128621597892888,0.168859649122807,0.023,0.0676062541290464
30025,"Fallon County","Montana",0.915728296403923,0.267707954958227,72284,0.61563670411985,0,0.101719197707736,0.034061135371179,0.018,0.0842717035960771
30027,"Fergus County","Montana",0.848974902792506,0.220307529162248,59731,0.618433569390128,0.0348658349000171,0.0878336436995655,0.103076923076923,0.023,0.151025097207494
30029,"Flathead County","Montana",0.90851192413184,0.199377062898052,71327,0.626614088873186,0.03033775304196,0.0564164391333641,0.0748714652956298,0.027,0.0914880758681604
30031,"Gallatin County","Montana",0.926838887793335,0.137185302044304,87454,0.710338979708545,0.0234440064405086,0.0411710563579722,0.0429133936959085,0.019,0.0731611122066653
30033,"Garfield County","Montana",0.890928725701944,0.230021598272138,61750,0.6078697421981,0,0.127906976744186,0.0393120393120393,0.021,0.109071274298056
30035,"Glacier County","Montana",0.707173801306998,0.397606285336662,45129,0.546098583117142,0.0931847250137036,0.220062478306144,0.224724484906564,0.036,0.292826198693002
30037,"Golden Valley County","Montana",0.847619047619048,0.245238095238095,57353,0.547586206896552,0.0151133501259446,0.09375,0.0414364640883978,0.03,0.152380952380952
30039,"Granite County","Montana",0.921075968075672,0.221105527638191,54646,0.496461071789687,0.0644942294636796,0.0518433179723502,0.0872727272727273,0.029,0.0789240319243275
30041,"Hill County","Montana",0.912773745269558,0.31999503691296,55313,0.62202136400986,0.0421400264200793,0.150996423096576,0.149373594603277,0.023,0.0872262547304423
30043,"Jefferson County","Montana",0.948855333658061,0.185663257022244,76576,0.582961381719387,0.0284620505992011,0.0268178048106165,0.0768916155419223,0.026,0.0511446663419386
30045,"Judith Basin County","Montana",0.935703848027277,0.271310277642474,55417,0.612999403697078,0.014591439688716,0.106617647058824,0.0826901874310915,0.023,0.0642961519727229
30047,"Lake County","Montana",0.858765571558568,0.270764692961812,61965,0.559143559143559,0.0638906326288624,0.119860017497813,0.131252566735113,0.029,0.141234428441432
30049,"Lewis And Clark County","Montana",0.938228845160119,0.193008672820971,74543,0.634707031919635,0.0351384199864956,0.0441233034782131,0.0820094601206981,0.022,0.061771154839881
30051,"Liberty County","Montana",0.955670103092784,0.409278350515464,53264,0.57398141529664,0.0024906600249066,0.185096153846154,0.0613138686131387,0.029,0.0443298969072164
30053,"Lincoln County","Montana",0.8575759057351,0.262504278101012,47018,0.461617781851512,0.0539836187639613,0.0900226362528295,0.135244976292617,0.039,0.1424240942649
30055,"McCone County","Montana",0.94219010561423,0.177320733740967,71842,0.616546290216678,0.0266240681576145,0.031055900621118,0.019559902200489,0.021,0.0578098943857699
