"FIPS","Tract","County","State","measure","value"
16001000101,"Census Tract 1.01","Ada County","Idaho","Insurance Coverage",0.812934631432545
16001000102,"Census Tract 1.02","Ada County","Idaho","Insurance Coverage",0.865172087148721
16001000201,"Census Tract 2.01","Ada County","Idaho","Insurance Coverage",0.967842647517952
16001000202,"Census Tract 2.02","Ada County","Idaho","Insurance Coverage",0.966755527677591
16001000302,"Census Tract 3.02","Ada County","Idaho","Insurance Coverage",0.942443919716647
16001000303,"Census Tract 3.03","Ada County","Idaho","Insurance Coverage",0.884593837535014
16001000305,"Census Tract 3.05","Ada County","Idaho","Insurance Coverage",0.872503328894807
16001000306,"Census Tract 3.06","Ada County","Idaho","Insurance Coverage",0.971491228070175
16001000401,"Census Tract 4.01","Ada County","Idaho","Insurance Coverage",0.880069777583951
16001000402,"Census Tract 4.02","Ada County","Idaho","Insurance Coverage",0.940585774058577
16001000501,"Census Tract 5.01","Ada County","Idaho","Insurance Coverage",0.936234817813765
16001000502,"Census Tract 5.02","Ada County","Idaho","Insurance Coverage",0.986681779540946
16001000601,"Census Tract 6.01","Ada County","Idaho","Insurance Coverage",0.985398414685023
16001000602,"Census Tract 6.02","Ada County","Idaho","Insurance Coverage",0.940624053317177
16001000701,"Census Tract 7.01","Ada County","Idaho","Insurance Coverage",0.939810680478657
16001000703,"Census Tract 7.03","Ada County","Idaho","Insurance Coverage",0.978122513922037
16001000704,"Census Tract 7.04","Ada County","Idaho","Insurance Coverage",0.975977653631285
16001000803,"Census Tract 8.03","Ada County","Idaho","Insurance Coverage",0.940958555221116
16001000805,"Census Tract 8.05","Ada County","Idaho","Insurance Coverage",0.982911019446081
16001000806,"Census Tract 8.06","Ada County","Idaho","Insurance Coverage",0.787195994277539
16001000807,"Census Tract 8.07","Ada County","Idaho","Insurance Coverage",0.904030710172745
16001000808,"Census Tract 8.08","Ada County","Idaho","Insurance Coverage",0.963440860215054
16001000809,"Census Tract 8.09","Ada County","Idaho","Insurance Coverage",0.961237113402062
16001000810,"Census Tract 8.10","Ada County","Idaho","Insurance Coverage",0.985704323570432
16001000901,"Census Tract 9.01","Ada County","Idaho","Insurance Coverage",0.880115551275879
16001000902,"Census Tract 9.02","Ada County","Idaho","Insurance Coverage",0.928128309880466
16001001001,"Census Tract 10.01","Ada County","Idaho","Insurance Coverage",0.975763451284537
16001001002,"Census Tract 10.02","Ada County","Idaho","Insurance Coverage",0.884063444108761
