FIPS,County,State,pctBB_1000_10,pctBB_100_20,pct5G_7_1,pct5G_35_3,LILATracts_Vehicle
16001,Ada County,Idaho,0.0733,1.0,0.8794,0.6674,0.05011957290579002
16003,Adams County,Idaho,0.1014,1.0,0.2264,0.1338,0.0
16005,Bannock County,Idaho,0.1531,1.0,0.6087,0.4337,0.0
16007,Bear Lake County,Idaho,0.2732,1.0,0.4045,0.316,0.0
16009,Benewah County,Idaho,0.0352,1.0,0.3301,0.2667,0.0
16011,Bingham County,Idaho,0.0414,1.0,0.5663,0.3864,0.0
16013,Blaine County,Idaho,0.0357,1.0,0.2362,0.1256,0.0
16015,Boise County,Idaho,0.0245,0.9998,0.1726,0.1094,0.0
16017,Bonner County,Idaho,0.2674,1.0,0.4086,0.3043,0.06567251461988304
16019,Bonneville County,Idaho,0.1424,1.0,0.5289,0.3401,0.19083240055693576
16021,Boundary County,Idaho,0.2947,1.0,0.3013,0.2469,0.0
16023,Butte County,Idaho,0.4869,1.0,0.295,0.1716,0.0
16025,Camas County,Idaho,0.0,1.0,0.2961,0.1205,1.0
16027,Canyon County,Idaho,0.0775,1.0,0.9783,0.9082,0.1803345701528206
16029,Caribou County,Idaho,0.06,1.0,0.1844,0.117,0.0
16031,Cassia County,Idaho,0.6083,1.0,0.5355,0.3017,0.0
16033,Clark County,Idaho,0.0,1.0,0.1462,0.0511,1.0
16035,Clearwater County,Idaho,0.1977,1.0,0.075,0.0511,0.0
16037,Custer County,Idaho,0.5054,1.0,0.0386,0.0228,0.0
16039,Elmore County,Idaho,0.0077,1.0,0.4558,0.35,0.11439842209072978
16041,Franklin County,Idaho,0.1331,1.0,0.3649,0.2682,0.0
16043,Fremont County,Idaho,0.2679,1.0,0.5848,0.3554,0.0
16045,Gem County,Idaho,0.0089,1.0,0.6904,0.5427,0.32963818321785987
16047,Gooding County,Idaho,0.0001,1.0,0.5227,0.2452,0.0
16049,Idaho County,Idaho,0.0001,1.0,0.0779,0.0647,0.4986830553116769
16051,Jefferson County,Idaho,0.1612,1.0,0.6602,0.3309,0.0
16053,Jerome County,Idaho,0.3289,1.0,0.8823,0.5863,0.0
16055,Kootenai County,Idaho,0.6316,1.0,0.6043,0.468,0.04153136531365314
16057,Latah County,Idaho,0.4074,1.0,0.5412,0.3865,0.0
16059,Lemhi County,Idaho,0.3699,1.0,0.1323,0.089,0.0
16061,Lewis County,Idaho,0.0,1.0,0.7292,0.6375,0.0
16063,Lincoln County,Idaho,0.0053,1.0,0.5898,0.2154,0.0
16065,Madison County,Idaho,0.3529,1.0,0.9181,0.7653,0.31109226274620677
16067,Minidoka County,Idaho,0.4438,1.0,0.3766,0.1793,0.0
16069,Nez Perce County,Idaho,0.0064,1.0,0.55,0.3799,0.0
16071,Oneida County,Idaho,0.9028,1.0,0.4708,0.3911,0.0
16073,Owyhee County,Idaho,0.0025,1.0,0.2062,0.1236,0.35868498527968595
16075,Payette County,Idaho,0.3845,1.0,0.8239,0.6583,0.0
16077,Power County,Idaho,0.4936,1.0,0.4202,0.279,0.0
16079,Shoshone County,Idaho,0.2565,1.0,0.1149,0.0822,0.0
16081,Teton County,Idaho,0.6587,1.0,0.8671,0.7856,0.0
16083,Twin Falls County,Idaho,0.3129,1.0,0.5117,0.2849,0.14165507649513212
16085,Valley County,Idaho,0.0001,1.0,0.111,0.0719,0.0
16087,Washington County,Idaho,0.0103,1.0,0.437,0.2542,0.3691125433812593
30001,Beaverhead County,Montana,0.3638,1.0,0.1456,0.08,0.0
30003,Big Horn County,Montana,0.3145,1.0,0.3422,0.2103,0.12062937062937062
30005,Blaine County,Montana,0.0,1.0,0.3071,0.0881,0.1697072549851506
30007,Broadwater County,Montana,0.0207,0.9995,0.6448,0.3984,0.0
30009,Carbon County,Montana,0.0017,1.0,0.5944,0.403,0.0
30011,Carter County,Montana,0.3988,1.0,0.0552,0.0427,0.0
30013,Cascade County,Montana,0.1645,1.0,0.7274,0.5727,0.14848117365198615
30015,Chouteau County,Montana,0.1431,1.0,0.5136,0.3258,0.5893635571054926
30017,Custer County,Montana,0.0597,1.0,0.2408,0.1482,0.0
30019,Daniels County,Montana,0.8758,1.0,0.0,0.0,0.0
30021,Dawson County,Montana,0.1853,1.0,0.3115,0.1397,0.0
30023,Deer Lodge County,Montana,0.1832,1.0,0.455,0.3927,0.34196117471378795
30025,Fallon County,Montana,0.6993,1.0,0.4583,0.4094,0.0
30027,Fergus County,Montana,0.1324,1.0,0.3757,0.2305,0.5965875661894489
30029,Flathead County,Montana,0.0571,1.0,0.296,0.2473,0.0
30031,Gallatin County,Montana,0.6354,1.0,0.5296,0.3964,0.0
30033,Garfield County,Montana,0.3628,1.0,0.1162,0.0558,0.0
30035,Glacier County,Montana,0.0,1.0,0.3594,0.2395,0.29121761063976154
30037,Golden Valley County,Montana,0.6667,1.0,0.4451,0.2995,1.0
30039,Granite County,Montana,0.8171,1.0,0.3596,0.2509,0.0
30041,Hill County,Montana,0.0001,1.0,0.4773,0.2553,0.0
30043,Jefferson County,Montana,0.028,1.0,0.6016,0.4567,0.0
30045,Judith Basin County,Montana,0.1751,1.0,0.429,0.2807,0.0
30047,Lake County,Montana,0.0872,1.0,0.6437,0.5205,0.0
30049,Lewis and Clark County,Montana,0.0916,1.0,0.3551,0.239,0.07050273469693565
30051,Liberty County,Montana,0.0188,1.0,0.4767,0.2809,0.0
30053,Lincoln County,Montana,0.541,1.0,0.1847,0.1584,0.0
30055,McCone County,Montana,0.5566,1.0,0.2343,0.0838,0.0
30057,Madison County,Montana,0.7902,1.0,0.4491,0.3485,0.0
30059,Meagher County,Montana,0.0,1.0,0.1755,0.1004,1.0
30061,Mineral County,Montana,0.0074,1.0,0.2802,0.1861,0.5007849293563579
30063,Missoula County,Montana,0.1585,1.0,0.4023,0.2851,0.11157078778905195
30065,Musselshell County,Montana,0.7893,1.0,0.5023,0.4105,0.0
30067,Park County,Montana,0.0,0.9999,0.3738,0.3004,0.0
30069,Petroleum County,Montana,0.4125,1.0,0.2001,0.074,0.0
30071,Phillips County,Montana,0.0098,1.0,0.1816,0.0715,0.0
30073,Pondera County,Montana,0.3383,1.0,0.6372,0.4779,0.0
30075,Powder River County,Montana,0.1526,1.0,0.0888,0.0329,0.0
30077,Powell County,Montana,0.1058,1.0,0.282,0.1826,0.0
30079,Prairie County,Montana,0.5963,1.0,0.1562,0.0791,0.0
30081,Ravalli County,Montana,0.0808,1.0,0.2726,0.1535,0.1574440441740979
30083,Richland County,Montana,0.2526,1.0,0.2764,0.1575,0.0
30085,Roosevelt County,Montana,0.6656,1.0,0.3108,0.1425,0.3692654095130875
30087,Rosebud County,Montana,0.4564,1.0,0.3765,0.2177,0.0
30089,Sanders County,Montana,0.6441,1.0,0.3,0.2154,0.5248974809607498
30091,Sheridan County,Montana,0.7632,1.0,0.2249,0.1334,0.0
30093,Silver Bow County,Montana,0.0206,1.0,0.6099,0.4732,0.13742298419501742
30095,Stillwater County,Montana,0.0477,1.0,0.4829,0.3194,0.0
30097,Sweet Grass County,Montana,0.0,1.0,0.5027,0.3779,0.0
30099,Teton County,Montana,0.8633,1.0,0.5612,0.3783,0.0
30101,Toole County,Montana,0.2269,1.0,0.7292,0.3802,0.0
30103,Treasure County,Montana,0.0893,1.0,0.5031,0.3746,1.0
30105,Valley County,Montana,0.4742,1.0,0.1649,0.0717,0.0
30107,Wheatland County,Montana,0.0039,1.0,0.3323,0.137,0.0
30109,Wibaux County,Montana,0.9384,1.0,0.2573,0.1981,1.0
30111,Yellowstone County,Montana,0.1207,1.0,0.7288,0.558,0.057308148734177215
32001,Churchill County,Nevada,0.7619,1.0,0.1621,0.1042,0.2196256850377417
32003,Clark County,Nevada,0.4908,1.0,0.6265,0.5559,0.1212947236725308
32005,Douglas County,Nevada,0.7915,1.0,0.7554,0.6483,0.0
32007,Elko County,Nevada,0.6063,1.0,0.3953,0.269,0.059683522531819744
32009,Esmeralda County,Nevada,0.0047,1.0,0.2633,0.1275,1.0
32011,Eureka County,Nevada,0.0,1.0,0.5482,0.3986,0.0
32013,Humboldt County,Nevada,0.0776,1.0,0.2683,0.1552,0.0
32015,Lander County,Nevada,0.0,1.0,0.3466,0.2787,0.0
32017,Lincoln County,Nevada,0.0,1.0,0.1892,0.15,0.0
32019,Lyon County,Nevada,0.7016,1.0,0.6217,0.5396,0.11106623586429726
32021,Mineral County,Nevada,0.5356,1.0,0.2133,0.1387,0.0
32023,Nye County,Nevada,0.1407,1.0,0.2169,0.1175,0.19825865128660158
32027,Pershing County,Nevada,0.0,1.0,0.2596,0.1677,0.0
32029,Storey County,Nevada,0.3287,1.0,0.8844,0.7677,0.0
32031,Washoe County,Nevada,0.919,1.0,0.314,0.2637,0.13837070574199273
32033,White Pine County,Nevada,0.002,1.0,0.512,0.3131,0.0
32510,Carson City,Nevada,0.7587,1.0,0.9344,0.8686,0.0
49001,Beaver County,Utah,0.3448,1.0,0.6169,0.558,0.0
49003,Box Elder County,Utah,0.8073,1.0,0.5786,0.4305,0.1592975463943206
49005,Cache County,Utah,0.098,1.0,0.5228,0.4383,0.048873912793041874
49007,Carbon County,Utah,0.8384,1.0,0.5854,0.4081,0.20857357733767862
49009,Daggett County,Utah,0.4079,1.0,0.3954,0.2885,0.0
49011,Davis County,Utah,0.7793,1.0,0.8277,0.7404,0.0
49013,Duchesne County,Utah,0.4776,1.0,0.4489,0.2454,0.21839080459770116
49015,Emery County,Utah,0.8049,1.0,0.5471,0.4004,0.3210075026795284
49017,Garfield County,Utah,0.584,1.0,0.3692,0.2745,0.0
49019,Grand County,Utah,0.8662,1.0,0.4882,0.3151,0.522499357161224
49021,Iron County,Utah,0.7068,1.0,0.7282,0.6337,0.20929303687924378
49023,Juab County,Utah,0.6194,1.0,0.3304,0.2711,0.0
49025,Kane County,Utah,0.4553,1.0,0.3629,0.2415,0.0
49027,Millard County,Utah,0.447,1.0,0.3744,0.2669,0.0
49029,Morgan County,Utah,0.5971,1.0,0.4523,0.3309,0.0
49031,Piute County,Utah,0.3918,1.0,0.5569,0.3398,1.0
49033,Rich County,Utah,0.2397,1.0,0.6439,0.489,0.0
49035,Salt Lake County,Utah,0.8246,1.0,0.9077,0.8259,0.07996859512815872
49037,San Juan County,Utah,0.4519,1.0,0.2251,0.2046,0.37314095449500556
49039,Sanpete County,Utah,0.6392,1.0,0.6228,0.5223,0.0
49041,Sevier County,Utah,0.7099,1.0,0.5291,0.4244,0.0
49043,Summit County,Utah,0.6411,1.0,0.3431,0.2713,0.0
49045,Tooele County,Utah,0.9063,1.0,0.5913,0.4731,0.18724611874686994
49047,Uintah County,Utah,0.7856,1.0,0.5575,0.3678,0.0
