FIPS,County,State,measure,value
16001,Ada County,Idaho,pctBB_1000_10,0.0733
16003,Adams County,Idaho,pctBB_1000_10,0.1014
16005,Bannock County,Idaho,pctBB_1000_10,0.1531
16007,Bear Lake County,Idaho,pctBB_1000_10,0.2732
16009,Benewah County,Idaho,pctBB_1000_10,0.0352
16011,Bingham County,Idaho,pctBB_1000_10,0.0414
16013,Blaine County,Idaho,pctBB_1000_10,0.0357
16015,Boise County,Idaho,pctBB_1000_10,0.0245
16017,Bonner County,Idaho,pctBB_1000_10,0.2674
16019,Bonneville County,Idaho,pctBB_1000_10,0.1424
16021,Boundary County,Idaho,pctBB_1000_10,0.2947
16023,Butte County,Idaho,pctBB_1000_10,0.4869
16025,Camas County,Idaho,pctBB_1000_10,0.0
16027,Canyon County,Idaho,pctBB_1000_10,0.0775
16029,Caribou County,Idaho,pctBB_1000_10,0.06
16031,Cassia County,Idaho,pctBB_1000_10,0.6083
16033,Clark County,Idaho,pctBB_1000_10,0.0
16035,Clearwater County,Idaho,pctBB_1000_10,0.1977
16037,Custer County,Idaho,pctBB_1000_10,0.5054
16039,Elmore County,Idaho,pctBB_1000_10,0.0077
16041,Franklin County,Idaho,pctBB_1000_10,0.1331
16043,Fremont County,Idaho,pctBB_1000_10,0.2679
16045,Gem County,Idaho,pctBB_1000_10,0.0089
16047,Gooding County,Idaho,pctBB_1000_10,0.0001
16049,Idaho County,Idaho,pctBB_1000_10,0.0001
16051,Jefferson County,Idaho,pctBB_1000_10,0.1612
16053,Jerome County,Idaho,pctBB_1000_10,0.3289
16055,Kootenai County,Idaho,pctBB_1000_10,0.6316
16057,Latah County,Idaho,pctBB_1000_10,0.4074
16059,Lemhi County,Idaho,pctBB_1000_10,0.3699
16061,Lewis County,Idaho,pctBB_1000_10,0.0
16063,Lincoln County,Idaho,pctBB_1000_10,0.0053
16065,Madison County,Idaho,pctBB_1000_10,0.3529
16067,Minidoka County,Idaho,pctBB_1000_10,0.4438
16069,Nez Perce County,Idaho,pctBB_1000_10,0.0064
16071,Oneida County,Idaho,pctBB_1000_10,0.9028
16073,Owyhee County,Idaho,pctBB_1000_10,0.0025
16075,Payette County,Idaho,pctBB_1000_10,0.3845
16077,Power County,Idaho,pctBB_1000_10,0.4936
16079,Shoshone County,Idaho,pctBB_1000_10,0.2565
16081,Teton County,Idaho,pctBB_1000_10,0.6587
16083,Twin Falls County,Idaho,pctBB_1000_10,0.3129
16085,Valley County,Idaho,pctBB_1000_10,0.0001
16087,Washington County,Idaho,pctBB_1000_10,0.0103
30001,Beaverhead County,Montana,pctBB_1000_10,0.3638
30003,Big Horn County,Montana,pctBB_1000_10,0.3145
30005,Blaine County,Montana,pctBB_1000_10,0.0
30007,Broadwater County,Montana,pctBB_1000_10,0.0207
30009,Carbon County,Montana,pctBB_1000_10,0.0017
30011,Carter County,Montana,pctBB_1000_10,0.3988
30013,Cascade County,Montana,pctBB_1000_10,0.1645
30015,Chouteau County,Montana,pctBB_1000_10,0.1431
30017,Custer County,Montana,pctBB_1000_10,0.0597
30019,Daniels County,Montana,pctBB_1000_10,0.8758
30021,Dawson County,Montana,pctBB_1000_10,0.1853
30023,Deer Lodge County,Montana,pctBB_1000_10,0.1832
30025,Fallon County,Montana,pctBB_1000_10,0.6993
30027,Fergus County,Montana,pctBB_1000_10,0.1324
30029,Flathead County,Montana,pctBB_1000_10,0.0571
30031,Gallatin County,Montana,pctBB_1000_10,0.6354
30033,Garfield County,Montana,pctBB_1000_10,0.3628
30035,Glacier County,Montana,pctBB_1000_10,0.0
30037,Golden Valley County,Montana,pctBB_1000_10,0.6667
30039,Granite County,Montana,pctBB_1000_10,0.8171
30041,Hill County,Montana,pctBB_1000_10,0.0001
30043,Jefferson County,Montana,pctBB_1000_10,0.028
30045,Judith Basin County,Montana,pctBB_1000_10,0.1751
30047,Lake County,Montana,pctBB_1000_10,0.0872
30049,Lewis and Clark County,Montana,pctBB_1000_10,0.0916
30051,Liberty County,Montana,pctBB_1000_10,0.0188
30053,Lincoln County,Montana,pctBB_1000_10,0.541
30055,McCone County,Montana,pctBB_1000_10,0.5566
30057,Madison County,Montana,pctBB_1000_10,0.7902
30059,Meagher County,Montana,pctBB_1000_10,0.0
30061,Mineral County,Montana,pctBB_1000_10,0.0074
30063,Missoula County,Montana,pctBB_1000_10,0.1585
30065,Musselshell County,Montana,pctBB_1000_10,0.7893
30067,Park County,Montana,pctBB_1000_10,0.0
30069,Petroleum County,Montana,pctBB_1000_10,0.4125
30071,Phillips County,Montana,pctBB_1000_10,0.0098
30073,Pondera County,Montana,pctBB_1000_10,0.3383
30075,Powder River County,Montana,pctBB_1000_10,0.1526
30077,Powell County,Montana,pctBB_1000_10,0.1058
30079,Prairie County,Montana,pctBB_1000_10,0.5963
30081,Ravalli County,Montana,pctBB_1000_10,0.0808
30083,Richland County,Montana,pctBB_1000_10,0.2526
30085,Roosevelt County,Montana,pctBB_1000_10,0.6656
30087,Rosebud County,Montana,pctBB_1000_10,0.4564
30089,Sanders County,Montana,pctBB_1000_10,0.6441
30091,Sheridan County,Montana,pctBB_1000_10,0.7632
30093,Silver Bow County,Montana,pctBB_1000_10,0.0206
30095,Stillwater County,Montana,pctBB_1000_10,0.0477
30097,Sweet Grass County,Montana,pctBB_1000_10,0.0
30099,Teton County,Montana,pctBB_1000_10,0.8633
30101,Toole County,Montana,pctBB_1000_10,0.2269
30103,Treasure County,Montana,pctBB_1000_10,0.0893
30105,Valley County,Montana,pctBB_1000_10,0.4742
30107,Wheatland County,Montana,pctBB_1000_10,0.0039
30109,Wibaux County,Montana,pctBB_1000_10,0.9384
30111,Yellowstone County,Montana,pctBB_1000_10,0.1207
32001,Churchill County,Nevada,pctBB_1000_10,0.7619
32003,Clark County,Nevada,pctBB_1000_10,0.4908
32005,Douglas County,Nevada,pctBB_1000_10,0.7915
32007,Elko County,Nevada,pctBB_1000_10,0.6063
32009,Esmeralda County,Nevada,pctBB_1000_10,0.0047
32011,Eureka County,Nevada,pctBB_1000_10,0.0
32013,Humboldt County,Nevada,pctBB_1000_10,0.0776
32015,Lander County,Nevada,pctBB_1000_10,0.0
32017,Lincoln County,Nevada,pctBB_1000_10,0.0
32019,Lyon County,Nevada,pctBB_1000_10,0.7016
32021,Mineral County,Nevada,pctBB_1000_10,0.5356
