"FIPS","County","State","measure","value"
16001,"Ada County","Idaho","Vacancy Rate",0.0408059765541186
16003,"Adams County","Idaho","Vacancy Rate",0.342835708927232
16005,"Bannock County","Idaho","Vacancy Rate",0.0656615194910742
16007,"Bear Lake County","Idaho","Vacancy Rate",0.414658889170682
16009,"Benewah County","Idaho","Vacancy Rate",0.154696132596685
16011,"Bingham County","Idaho","Vacancy Rate",0.0729094278434098
16013,"Blaine County","Idaho","Vacancy Rate",0.377132348278267
16015,"Boise County","Idaho","Vacancy Rate",0.369814020028612
16017,"Bonner County","Idaho","Vacancy Rate",0.263832024940841
16019,"Bonneville County","Idaho","Vacancy Rate",0.0656327409800754
16021,"Boundary County","Idaho","Vacancy Rate",0.12646793134598
16023,"Butte County","Idaho","Vacancy Rate",0.202352941176471
16025,"Camas County","Idaho","Vacancy Rate",0.511527377521614
16027,"Canyon County","Idaho","Vacancy Rate",0.0317703282193894
16029,"Caribou County","Idaho","Vacancy Rate",0.225374561683137
16031,"Cassia County","Idaho","Vacancy Rate",0.0838523131672598
16033,"Clark County","Idaho","Vacancy Rate",0.429864253393665
16035,"Clearwater County","Idaho","Vacancy Rate",0.226374103845318
16037,"Custer County","Idaho","Vacancy Rate",0.389064475347661
16039,"Elmore County","Idaho","Vacancy Rate",0.108481262327416
16041,"Franklin County","Idaho","Vacancy Rate",0.049199531433034
16043,"Fremont County","Idaho","Vacancy Rate",0.480216864690276
16045,"Gem County","Idaho","Vacancy Rate",0.0490498202362609
16047,"Gooding County","Idaho","Vacancy Rate",0.0963934426229508
16049,"Idaho County","Idaho","Vacancy Rate",0.260556243666254
16051,"Jefferson County","Idaho","Vacancy Rate",0.0571482998380798
16053,"Jerome County","Idaho","Vacancy Rate",0.0604011461318052
16055,"Kootenai County","Idaho","Vacancy Rate",0.114198915565354
16057,"Latah County","Idaho","Vacancy Rate",0.0786620001147513
16059,"Lemhi County","Idaho","Vacancy Rate",0.27739430543572
16061,"Lewis County","Idaho","Vacancy Rate",0.151947339550192
16063,"Lincoln County","Idaho","Vacancy Rate",0.0694374049670552
16065,"Madison County","Idaho","Vacancy Rate",0.134809398063511
16067,"Minidoka County","Idaho","Vacancy Rate",0.0783203585751356
16069,"Nez Perce County","Idaho","Vacancy Rate",0.0673659169550173
16071,"Oneida County","Idaho","Vacancy Rate",0.0630455868089234
16073,"Owyhee County","Idaho","Vacancy Rate",0.115552779512805
16075,"Payette County","Idaho","Vacancy Rate",0.0471356783919598
16077,"Power County","Idaho","Vacancy Rate",0.0851351351351351
16079,"Shoshone County","Idaho","Vacancy Rate",0.192865264354747
16081,"Teton County","Idaho","Vacancy Rate",0.262300371027585
16083,"Twin Falls County","Idaho","Vacancy Rate",0.0513860527567205
16085,"Valley County","Idaho","Vacancy Rate",0.700182525196413
16087,"Washington County","Idaho","Vacancy Rate",0.108373310074139
30001,"Beaverhead County","Montana","Vacancy Rate",0.171325155841544
30003,"Big Horn County","Montana","Vacancy Rate",0.185748952128833
30005,"Blaine County","Montana","Vacancy Rate",0.186614730878187
30007,"Broadwater County","Montana","Vacancy Rate",0.0872313527180784
30009,"Carbon County","Montana","Vacancy Rate",0.266677033120821
30011,"Carter County","Montana","Vacancy Rate",0.250312891113892
30013,"Cascade County","Montana","Vacancy Rate",0.110553403995108
30015,"Chouteau County","Montana","Vacancy Rate",0.228730822873082
30017,"Custer County","Montana","Vacancy Rate",0.125823223570191
30019,"Daniels County","Montana","Vacancy Rate",0.366371681415929
30021,"Dawson County","Montana","Vacancy Rate",0.152387480009139
30023,"Deer Lodge County","Montana","Vacancy Rate",0.171812568107519
30025,"Fallon County","Montana","Vacancy Rate",0.210889042039972
30027,"Fergus County","Montana","Vacancy Rate",0.134487350199734
30029,"Flathead County","Montana","Vacancy Rate",0.144853576195336
30031,"Gallatin County","Montana","Vacancy Rate",0.0999838097465326
30033,"Garfield County","Montana","Vacancy Rate",0.454423592493298
30035,"Glacier County","Montana","Vacancy Rate",0.219229330340441
30037,"Golden Valley County","Montana","Vacancy Rate",0.234672304439746
30039,"Granite County","Montana","Vacancy Rate",0.472168905950096
30041,"Hill County","Montana","Vacancy Rate",0.139103982300885
30043,"Jefferson County","Montana","Vacancy Rate",0.0924276169265033
30045,"Judith Basin County","Montana","Vacancy Rate",0.264395782643958
30047,"Lake County","Montana","Vacancy Rate",0.260193230844018
30049,"Lewis And Clark County","Montana","Vacancy Rate",0.0940390696574755
30051,"Liberty County","Montana","Vacancy Rate",0.176682692307692
30053,"Lincoln County","Montana","Vacancy Rate",0.194067873714858
30055,"McCone County","Montana","Vacancy Rate",0.243992606284658
30057,"Madison County","Montana","Vacancy Rate",0.421857923497268
30059,"Meagher County","Montana","Vacancy Rate",0.385616438356164
30061,"Mineral County","Montana","Vacancy Rate",0.170105099260413
30063,"Missoula County","Montana","Vacancy Rate",0.0779531495500643
30065,"Musselshell County","Montana","Vacancy Rate",0.203959656331715
30067,"Park County","Montana","Vacancy Rate",0.139626966760446
30069,"Petroleum County","Montana","Vacancy Rate",0.322033898305085
30071,"Phillips County","Montana","Vacancy Rate",0.208501118568233
30073,"Pondera County","Montana","Vacancy Rate",0.186342172175808
30075,"Powder River County","Montana","Vacancy Rate",0.284854563691073
30077,"Powell County","Montana","Vacancy Rate",0.209161333782418
30079,"Prairie County","Montana","Vacancy Rate",0.220389805097451
30081,"Ravalli County","Montana","Vacancy Rate",0.109915631813442
30083,"Richland County","Montana","Vacancy Rate",0.194991055456172
30085,"Roosevelt County","Montana","Vacancy Rate",0.263676688023657
30087,"Rosebud County","Montana","Vacancy Rate",0.189167767503302
30089,"Sanders County","Montana","Vacancy Rate",0.196788923258212
30091,"Sheridan County","Montana","Vacancy Rate",0.282576866764275
30093,"Silver Bow County","Montana","Vacancy Rate",0.117785697861577
30095,"Stillwater County","Montana","Vacancy Rate",0.16920764440627
30097,"Sweet Grass County","Montana","Vacancy Rate",0.223950233281493
30099,"Teton County","Montana","Vacancy Rate",0.166553365057784
30101,"Toole County","Montana","Vacancy Rate",0.215238915195867
30103,"Treasure County","Montana","Vacancy Rate",0.202505219206681
30105,"Valley County","Montana","Vacancy Rate",0.304490947566424
30107,"Wheatland County","Montana","Vacancy Rate",0.253666954270923
30109,"Wibaux County","Montana","Vacancy Rate",0.214765100671141
30111,"Yellowstone County","Montana","Vacancy Rate",0.0557638046426673
32001,"Churchill County","Nevada","Vacancy Rate",0.109483705602343
32003,"Clark County","Nevada","Vacancy Rate",0.0946429334586948
