"FIPS","Tract","County","State","measure","value"
16001000101,"Census Tract 1.01","Ada County","Idaho","Vacancy Rate",0.142719382835101
16001000102,"Census Tract 1.02","Ada County","Idaho","Vacancy Rate",0.0773759461732548
16001000201,"Census Tract 2.01","Ada County","Idaho","Vacancy Rate",0.0508266993263931
16001000202,"Census Tract 2.02","Ada County","Idaho","Vacancy Rate",0.0439798125450613
16001000302,"Census Tract 3.02","Ada County","Idaho","Vacancy Rate",0.0343377715487036
16001000303,"Census Tract 3.03","Ada County","Idaho","Vacancy Rate",0.0308098591549296
16001000305,"Census Tract 3.05","Ada County","Idaho","Vacancy Rate",0.0125646711012565
16001000306,"Census Tract 3.06","Ada County","Idaho","Vacancy Rate",0.0302530253025303
16001000401,"Census Tract 4.01","Ada County","Idaho","Vacancy Rate",0.015888778550149
16001000402,"Census Tract 4.02","Ada County","Idaho","Vacancy Rate",0.107069672131148
16001000501,"Census Tract 5.01","Ada County","Idaho","Vacancy Rate",0
16001000502,"Census Tract 5.02","Ada County","Idaho","Vacancy Rate",0.0400485436893204
16001000601,"Census Tract 6.01","Ada County","Idaho","Vacancy Rate",0.0934579439252336
16001000602,"Census Tract 6.02","Ada County","Idaho","Vacancy Rate",0.0772701635645798
16001000701,"Census Tract 7.01","Ada County","Idaho","Vacancy Rate",0.0286265680283049
16001000703,"Census Tract 7.03","Ada County","Idaho","Vacancy Rate",0.0325047801147228
16001000704,"Census Tract 7.04","Ada County","Idaho","Vacancy Rate",0.023989898989899
16001000803,"Census Tract 8.03","Ada County","Idaho","Vacancy Rate",0.0565552699228792
16001000805,"Census Tract 8.05","Ada County","Idaho","Vacancy Rate",0
16001000806,"Census Tract 8.06","Ada County","Idaho","Vacancy Rate",0.135479543930248
16001000807,"Census Tract 8.07","Ada County","Idaho","Vacancy Rate",0.114119922630561
16001000808,"Census Tract 8.08","Ada County","Idaho","Vacancy Rate",0.0373239436619718
16001000809,"Census Tract 8.09","Ada County","Idaho","Vacancy Rate",0.0768581081081081
16001000810,"Census Tract 8.10","Ada County","Idaho","Vacancy Rate",0.0461711711711712
16001000901,"Census Tract 9.01","Ada County","Idaho","Vacancy Rate",0.0148063781321185
16001000902,"Census Tract 9.02","Ada County","Idaho","Vacancy Rate",0.175125089349535
16001001001,"Census Tract 10.01","Ada County","Idaho","Vacancy Rate",0.0247863247863248
16001001002,"Census Tract 10.02","Ada County","Idaho","Vacancy Rate",0.0930787589498807
16001001003,"Census Tract 10.03","Ada County","Idaho","Vacancy Rate",0.0371577574967405
16001001100,"Census Tract 11","Ada County","Idaho","Vacancy Rate",0.0674955595026643
16001001201,"Census Tract 12.01","Ada County","Idaho","Vacancy Rate",0.0390728476821192
16001001203,"Census Tract 12.03","Ada County","Idaho","Vacancy Rate",0.107794361525705
16001001204,"Census Tract 12.04","Ada County","Idaho","Vacancy Rate",0.0413396127681842
16001001401,"Census Tract 14.01","Ada County","Idaho","Vacancy Rate",0.0623946037099494
16001001402,"Census Tract 14.02","Ada County","Idaho","Vacancy Rate",0.0405833861762841
16001001500,"Census Tract 15","Ada County","Idaho","Vacancy Rate",0.0813287514318442
16001001600,"Census Tract 16","Ada County","Idaho","Vacancy Rate",0.0493435943866003
16001001701,"Census Tract 17.01","Ada County","Idaho","Vacancy Rate",0.179487179487179
16001001702,"Census Tract 17.02","Ada County","Idaho","Vacancy Rate",0.00167879127028539
16001001800,"Census Tract 18","Ada County","Idaho","Vacancy Rate",0.0717339667458432
16001001900,"Census Tract 19","Ada County","Idaho","Vacancy Rate",0.0305410122164049
16001002000,"Census Tract 20","Ada County","Idaho","Vacancy Rate",0.068359375
16001002100,"Census Tract 21","Ada County","Idaho","Vacancy Rate",0.00696864111498258
16001002223,"Census Tract 22.23","Ada County","Idaho","Vacancy Rate",0.0292911540714704
16001002225,"Census Tract 22.25","Ada County","Idaho","Vacancy Rate",0
16001002226,"Census Tract 22.26","Ada County","Idaho","Vacancy Rate",0
16001002227,"Census Tract 22.27","Ada County","Idaho","Vacancy Rate",0
16001002228,"Census Tract 22.28","Ada County","Idaho","Vacancy Rate",0.0485175202156334
16001002229,"Census Tract 22.29","Ada County","Idaho","Vacancy Rate",0.0687593423019432
16001002230,"Census Tract 22.30","Ada County","Idaho","Vacancy Rate",0.0410783055198973
16001002231,"Census Tract 22.31","Ada County","Idaho","Vacancy Rate",0.0597147950089127
16001002313,"Census Tract 23.13","Ada County","Idaho","Vacancy Rate",0.010669828097214
16001002314,"Census Tract 23.14","Ada County","Idaho","Vacancy Rate",0
16001002315,"Census Tract 23.15","Ada County","Idaho","Vacancy Rate",0.0124148978774529
16001002316,"Census Tract 23.16","Ada County","Idaho","Vacancy Rate",0.0781928757602085
16001002317,"Census Tract 23.17","Ada County","Idaho","Vacancy Rate",0.106570512820513
16001002318,"Census Tract 23.18","Ada County","Idaho","Vacancy Rate",0.0198878123406425
16001002319,"Census Tract 23.19","Ada County","Idaho","Vacancy Rate",0.113660062565172
16001002412,"Census Tract 24.12","Ada County","Idaho","Vacancy Rate",0.0234375
16001002414,"Census Tract 24.14","Ada County","Idaho","Vacancy Rate",0
16001002415,"Census Tract 24.15","Ada County","Idaho","Vacancy Rate",0.0139794967381174
16001002416,"Census Tract 24.16","Ada County","Idaho","Vacancy Rate",0.0510739856801909
16001002417,"Census Tract 24.17","Ada County","Idaho","Vacancy Rate",0
16001002418,"Census Tract 24.18","Ada County","Idaho","Vacancy Rate",0.0520965692503177
16001002419,"Census Tract 24.19","Ada County","Idaho","Vacancy Rate",0
16001010101,"Census Tract 101.01","Ada County","Idaho","Vacancy Rate",0.0642988364972443
16001010102,"Census Tract 101.02","Ada County","Idaho","Vacancy Rate",0.0191451469278718
16001010224,"Census Tract 102.24","Ada County","Idaho","Vacancy Rate",0.0421804023361454
16001010226,"Census Tract 102.26","Ada County","Idaho","Vacancy Rate",0.0596676737160121
