FIPS,Tract,County,State,measure,value
16001000101,Census Tract 1.01,Ada County,Idaho,Vacancy Rate,0.11419423692636073
16001000102,Census Tract 1.02,Ada County,Idaho,Vacancy Rate,0.08598865124399825
16001000201,Census Tract 2.01,Ada County,Idaho,Vacancy Rate,0.031578947368421054
16001000202,Census Tract 2.02,Ada County,Idaho,Vacancy Rate,0.05077262693156733
16001000302,Census Tract 3.02,Ada County,Idaho,Vacancy Rate,0.023826208829712685
16001000303,Census Tract 3.03,Ada County,Idaho,Vacancy Rate,0.04564315352697095
16001000305,Census Tract 3.05,Ada County,Idaho,Vacancy Rate,0.010582010582010581
16001000306,Census Tract 3.06,Ada County,Idaho,Vacancy Rate,0.031955922865013774
16001000401,Census Tract 4.01,Ada County,Idaho,Vacancy Rate,0.0
16001000402,Census Tract 4.02,Ada County,Idaho,Vacancy Rate,0.09554482018250134
16001000501,Census Tract 5.01,Ada County,Idaho,Vacancy Rate,0.0
16001000502,Census Tract 5.02,Ada County,Idaho,Vacancy Rate,0.040312876052948254
16001000601,Census Tract 6.01,Ada County,Idaho,Vacancy Rate,0.12488262910798122
16001000602,Census Tract 6.02,Ada County,Idaho,Vacancy Rate,0.06987399770904926
16001000701,Census Tract 7.01,Ada County,Idaho,Vacancy Rate,0.03825681969394544
16001000703,Census Tract 7.03,Ada County,Idaho,Vacancy Rate,0.02854122621564482
16001000704,Census Tract 7.04,Ada County,Idaho,Vacancy Rate,0.024804177545691905
16001000803,Census Tract 8.03,Ada County,Idaho,Vacancy Rate,0.06054386865059005
16001000805,Census Tract 8.05,Ada County,Idaho,Vacancy Rate,0.0
16001000806,Census Tract 8.06,Ada County,Idaho,Vacancy Rate,0.12745762711864406
16001000807,Census Tract 8.07,Ada County,Idaho,Vacancy Rate,0.10638297872340426
16001000808,Census Tract 8.08,Ada County,Idaho,Vacancy Rate,0.0324585635359116
16001000809,Census Tract 8.09,Ada County,Idaho,Vacancy Rate,0.05862068965517241
16001000810,Census Tract 8.10,Ada County,Idaho,Vacancy Rate,0.06179138321995465
16001000901,Census Tract 9.01,Ada County,Idaho,Vacancy Rate,0.014492753623188406
16001000902,Census Tract 9.02,Ada County,Idaho,Vacancy Rate,0.2145536384096024
16001001001,Census Tract 10.01,Ada County,Idaho,Vacancy Rate,0.0
16001001002,Census Tract 10.02,Ada County,Idaho,Vacancy Rate,0.10025273799494525
16001001003,Census Tract 10.03,Ada County,Idaho,Vacancy Rate,0.025693035835023664
16001001100,Census Tract 11,Ada County,Idaho,Vacancy Rate,0.08348214285714285
16001001201,Census Tract 12.01,Ada County,Idaho,Vacancy Rate,0.01736806947227789
16001001203,Census Tract 12.03,Ada County,Idaho,Vacancy Rate,0.06792873051224944
16001001204,Census Tract 12.04,Ada County,Idaho,Vacancy Rate,0.06399554813578186
16001001401,Census Tract 14.01,Ada County,Idaho,Vacancy Rate,0.06060606060606061
16001001402,Census Tract 14.02,Ada County,Idaho,Vacancy Rate,0.04037854889589906
