"FIPS","County","State","measure","value"
16001,"Ada County","Idaho","Met_Breast_Screen",0.754
16003,"Adams County","Idaho","Met_Breast_Screen",0.662
16005,"Bannock County","Idaho","Met_Breast_Screen",0.705
16007,"Bear Lake County","Idaho","Met_Breast_Screen",0.725
16009,"Benewah County","Idaho","Met_Breast_Screen",0.67
16011,"Bingham County","Idaho","Met_Breast_Screen",0.66
16013,"Blaine County","Idaho","Met_Breast_Screen",0.732
16015,"Boise County","Idaho","Met_Breast_Screen",0.661
16017,"Bonner County","Idaho","Met_Breast_Screen",0.688
16019,"Bonneville County","Idaho","Met_Breast_Screen",0.685
16021,"Boundary County","Idaho","Met_Breast_Screen",0.657
16023,"Butte County","Idaho","Met_Breast_Screen",0.656
16025,"Camas County","Idaho","Met_Breast_Screen",0.71
16027,"Canyon County","Idaho","Met_Breast_Screen",0.617
16029,"Caribou County","Idaho","Met_Breast_Screen",0.682
16031,"Cassia County","Idaho","Met_Breast_Screen",0.67
16033,"Clark County","Idaho","Met_Breast_Screen",0.674
16035,"Clearwater County","Idaho","Met_Breast_Screen",0.671
16037,"Custer County","Idaho","Met_Breast_Screen",0.716
16039,"Elmore County","Idaho","Met_Breast_Screen",0.682
16041,"Franklin County","Idaho","Met_Breast_Screen",0.655
16043,"Fremont County","Idaho","Met_Breast_Screen",0.638
16045,"Gem County","Idaho","Met_Breast_Screen",0.692
16047,"Gooding County","Idaho","Met_Breast_Screen",0.676
16049,"Idaho County","Idaho","Met_Breast_Screen",0.652
16051,"Jefferson County","Idaho","Met_Breast_Screen",0.711
16053,"Jerome County","Idaho","Met_Breast_Screen",0.674
16055,"Kootenai County","Idaho","Met_Breast_Screen",0.639
16057,"Latah County","Idaho","Met_Breast_Screen",0.759
16059,"Lemhi County","Idaho","Met_Breast_Screen",0.698
16061,"Lewis County","Idaho","Met_Breast_Screen",0.695
16063,"Lincoln County","Idaho","Met_Breast_Screen",0.617
16065,"Madison County","Idaho","Met_Breast_Screen",0.652
16067,"Minidoka County","Idaho","Met_Breast_Screen",0.674
16069,"Nez Perce County","Idaho","Met_Breast_Screen",0.71
16071,"Oneida County","Idaho","Met_Breast_Screen",0.664
16073,"Owyhee County","Idaho","Met_Breast_Screen",0.62
16075,"Payette County","Idaho","Met_Breast_Screen",0.665
16077,"Power County","Idaho","Met_Breast_Screen",0.648
16079,"Shoshone County","Idaho","Met_Breast_Screen",0.662
16081,"Teton County","Idaho","Met_Breast_Screen",0.736
16083,"Twin Falls County","Idaho","Met_Breast_Screen",0.688
16085,"Valley County","Idaho","Met_Breast_Screen",0.708
16087,"Washington County","Idaho","Met_Breast_Screen",0.66
30001,"Beaverhead County","Montana","Met_Breast_Screen",0.747
30003,"Big Horn County","Montana","Met_Breast_Screen",0.66
30005,"Blaine County","Montana","Met_Breast_Screen",0.684
30007,"Broadwater County","Montana","Met_Breast_Screen",0.734
30009,"Carbon County","Montana","Met_Breast_Screen",0.737
30011,"Carter County","Montana","Met_Breast_Screen",0.747
30013,"Cascade County","Montana","Met_Breast_Screen",0.762
30015,"Chouteau County","Montana","Met_Breast_Screen",0.737
30017,"Custer County","Montana","Met_Breast_Screen",0.757
30019,"Daniels County","Montana","Met_Breast_Screen",0.729
30021,"Dawson County","Montana","Met_Breast_Screen",0.742
30023,"Deer Lodge County","Montana","Met_Breast_Screen",0.713
30025,"Fallon County","Montana","Met_Breast_Screen",0.772
30027,"Fergus County","Montana","Met_Breast_Screen",0.765
30029,"Flathead County","Montana","Met_Breast_Screen",0.722
30031,"Gallatin County","Montana","Met_Breast_Screen",0.721
30033,"Garfield County","Montana","Met_Breast_Screen",0.737
30035,"Glacier County","Montana","Met_Breast_Screen",0.677
30037,"Golden Valley County","Montana","Met_Breast_Screen",0.752
30039,"Granite County","Montana","Met_Breast_Screen",0.746
30041,"Hill County","Montana","Met_Breast_Screen",0.683
30043,"Jefferson County","Montana","Met_Breast_Screen",0.728
30045,"Judith Basin County","Montana","Met_Breast_Screen",0.726
30047,"Lake County","Montana","Met_Breast_Screen",0.736
30049,"Lewis And Clark County","Montana","Met_Breast_Screen",0.77
30051,"Liberty County","Montana","Met_Breast_Screen",0.698
30053,"Lincoln County","Montana","Met_Breast_Screen",0.716
30055,"McCone County","Montana","Met_Breast_Screen",0.756
