"FIPS","County","State","measure","value"
16001,"Ada County","Idaho","Total",508052
16003,"Adams County","Idaho","Total",4599
16005,"Bannock County","Idaho","Total",88457
16007,"Bear Lake County","Idaho","Total",6552
16009,"Benewah County","Idaho","Total",9913
16011,"Bingham County","Idaho","Total",48993
16013,"Blaine County","Idaho","Total",24579
16015,"Boise County","Idaho","Total",8045
16017,"Bonner County","Idaho","Total",49456
16019,"Bonneville County","Idaho","Total",127056
16021,"Boundary County","Idaho","Total",12695
16023,"Butte County","Idaho","Total",2654
16025,"Camas County","Idaho","Total",1155
16027,"Canyon County","Idaho","Total",242405
16029,"Caribou County","Idaho","Total",7118
16031,"Cassia County","Idaho","Total",25165
16033,"Clark County","Idaho","Total",776
16035,"Clearwater County","Idaho","Total",8921
16037,"Custer County","Idaho","Total",4411
16039,"Elmore County","Idaho","Total",29046
16041,"Franklin County","Idaho","Total",14715
16043,"Fremont County","Idaho","Total",13701
16045,"Gem County","Idaho","Total",19854
16047,"Gooding County","Idaho","Total",15740
16049,"Idaho County","Idaho","Total",17120
16051,"Jefferson County","Idaho","Total",32234
16053,"Jerome County","Idaho","Total",24788
16055,"Kootenai County","Idaho","Total",177736
16057,"Latah County","Idaho","Total",40315
16059,"Lemhi County","Idaho","Total",8166
16061,"Lewis County","Idaho","Total",3649
16063,"Lincoln County","Idaho","Total",5276
16065,"Madison County","Idaho","Total",53578
16067,"Minidoka County","Idaho","Total",21922
16069,"Nez Perce County","Idaho","Total",42477
16071,"Oneida County","Idaho","Total",4681
16073,"Owyhee County","Idaho","Total",12284
16075,"Payette County","Idaho","Total",26190
16077,"Power County","Idaho","Total",8018
16079,"Shoshone County","Idaho","Total",13580
16081,"Teton County","Idaho","Total",12101
16083,"Twin Falls County","Idaho","Total",92121
16085,"Valley County","Idaho","Total",12136
16087,"Washington County","Idaho","Total",10866
30001,"Beaverhead County","Montana","Total",9590
30003,"Big Horn County","Montana","Total",12963
30005,"Blaine County","Montana","Total",6997
30007,"Broadwater County","Montana","Total",7310
30009,"Carbon County","Montana","Total",10877
30011,"Carter County","Montana","Total",1361
30013,"Cascade County","Montana","Total",84601
30015,"Chouteau County","Montana","Total",5888
30017,"Custer County","Montana","Total",11938
30019,"Daniels County","Montana","Total",1524
30021,"Dawson County","Montana","Total",8874
30023,"Deer Lodge County","Montana","Total",9512
30025,"Fallon County","Montana","Total",2817
30027,"Fergus County","Montana","Total",11581
30029,"Flathead County","Montana","Total",108445
30031,"Gallatin County","Montana","Total",122194
30033,"Garfield County","Montana","Total",938
30035,"Glacier County","Montana","Total",13713
30037,"Golden Valley County","Montana","Total",840
30039,"Granite County","Montana","Total",3419
30041,"Hill County","Montana","Total",16260
30043,"Jefferson County","Montana","Total",12501
30045,"Judith Basin County","Montana","Total",2053
30047,"Lake County","Montana","Total",32073
30049,"Lewis And Clark County","Montana","Total",72580
30051,"Liberty County","Montana","Total",1968
30053,"Lincoln County","Montana","Total",20656
30055,"McCone County","Montana","Total",1818
30057,"Madison County","Montana","Total",8975
30059,"Meagher County","Montana","Total",1979
30061,"Mineral County","Montana","Total",4796
30063,"Missoula County","Montana","Total",119639
30065,"Musselshell County","Montana","Total",5068
30067,"Park County","Montana","Total",17484
30069,"Petroleum County","Montana","Total",401
30071,"Phillips County","Montana","Total",4224
30073,"Pondera County","Montana","Total",6012
30075,"Powder River County","Montana","Total",1762
30077,"Powell County","Montana","Total",7029
30079,"Prairie County","Montana","Total",1251
30081,"Ravalli County","Montana","Total",45807
30083,"Richland County","Montana","Total",11329
30085,"Roosevelt County","Montana","Total",10665
30087,"Rosebud County","Montana","Total",8236
30089,"Sanders County","Montana","Total",12936
30091,"Sheridan County","Montana","Total",3677
