FIPS,County,State,measure,value
16001,Ada County,Idaho,Total,497494.0
16003,Adams County,Idaho,Total,4464.0
16005,Bannock County,Idaho,Total,87434.0
16007,Bear Lake County,Idaho,Total,6436.0
16009,Benewah County,Idaho,Total,9731.0
16011,Bingham County,Idaho,Total,48253.0
16013,Blaine County,Idaho,Total,24248.0
16015,Boise County,Idaho,Total,7809.0
16017,Bonner County,Idaho,Total,47976.0
16019,Bonneville County,Idaho,Total,124490.0
16021,Boundary County,Idaho,Total,12335.0
16023,Butte County,Idaho,Total,2605.0
16025,Camas County,Idaho,Total,1133.0
16027,Canyon County,Idaho,Total,235006.0
16029,Caribou County,Idaho,Total,7058.0
16031,Cassia County,Idaho,Total,24859.0
16033,Clark County,Idaho,Total,756.0
16035,Clearwater County,Idaho,Total,8810.0
16037,Custer County,Idaho,Total,4344.0
16039,Elmore County,Idaho,Total,28752.0
16041,Franklin County,Idaho,Total,14376.0
16043,Fremont County,Idaho,Total,13519.0
16045,Gem County,Idaho,Total,19250.0
16047,Gooding County,Idaho,Total,15520.0
16049,Idaho County,Idaho,Total,16787.0
16051,Jefferson County,Idaho,Total,31383.0
16053,Jerome County,Idaho,Total,24474.0
16055,Kootenai County,Idaho,Total,173396.0
16057,Latah County,Idaho,Total,39872.0
16059,Lemhi County,Idaho,Total,8043.0
16061,Lewis County,Idaho,Total,3630.0
16063,Lincoln County,Idaho,Total,5203.0
16065,Madison County,Idaho,Total,52487.0
16067,Minidoka County,Idaho,Total,21626.0
16069,Nez Perce County,Idaho,Total,42200.0
16071,Oneida County,Idaho,Total,4572.0
16073,Owyhee County,Idaho,Total,12043.0
16075,Payette County,Idaho,Total,25571.0
16077,Power County,Idaho,Total,7918.0
16079,Shoshone County,Idaho,Total,13399.0
16081,Teton County,Idaho,Total,11813.0
16083,Twin Falls County,Idaho,Total,90592.0
16085,Valley County,Idaho,Total,11830.0
16087,Washington County,Idaho,Total,10612.0
30001,Beaverhead County,Montana,Total,9469.0
30003,Big Horn County,Montana,Total,13090.0
30005,Blaine County,Montana,Total,7030.0
30007,Broadwater County,Montana,Total,6977.0
30009,Carbon County,Montana,Total,10645.0
30011,Carter County,Montana,Total,1332.0
30013,Cascade County,Montana,Total,84423.0
30015,Chouteau County,Montana,Total,5897.0
30017,Custer County,Montana,Total,11957.0
30019,Daniels County,Montana,Total,1535.0
30021,Dawson County,Montana,Total,8915.0
30023,Deer Lodge County,Montana,Total,9435.0
30025,Fallon County,Montana,Total,2941.0
30027,Fergus County,Montana,Total,11496.0
30029,Flathead County,Montana,Total,105950.0
30031,Gallatin County,Montana,Total,119685.0
30033,Garfield County,Montana,Total,976.0
30035,Glacier County,Montana,Total,13781.0
30037,Golden Valley County,Montana,Total,841.0
30039,Granite County,Montana,Total,3368.0
30041,Hill County,Montana,Total,16238.0
30043,Jefferson County,Montana,Total,12273.0
30045,Judith Basin County,Montana,Total,2039.0
30047,Lake County,Montana,Total,31509.0
30049,Lewis And Clark County,Montana,Total,71487.0
30051,Liberty County,Montana,Total,1993.0
30053,Lincoln County,Montana,Total,20157.0
30055,McCone County,Montana,Total,1746.0
30057,Madison County,Montana,Total,8742.0
30059,Meagher County,Montana,Total,1948.0
30061,Mineral County,Montana,Total,4652.0
30063,Missoula County,Montana,Total,118541.0
30065,Musselshell County,Montana,Total,4924.0
30067,Park County,Montana,Total,17320.0
30069,Petroleum County,Montana,Total,416.0
30071,Phillips County,Montana,Total,4233.0
30073,Pondera County,Montana,Total,5987.0
30075,Powder River County,Montana,Total,1773.0
30077,Powell County,Montana,Total,6998.0
30079,Prairie County,Montana,Total,1283.0
30081,Ravalli County,Montana,Total,44876.0
30083,Richland County,Montana,Total,11366.0
30085,Roosevelt County,Montana,Total,10799.0
30087,Rosebud County,Montana,Total,8310.0
30089,Sanders County,Montana,Total,12615.0
30091,Sheridan County,Montana,Total,3700.0
30093,Silver Bow County,Montana,Total,35306.0
30095,Stillwater County,Montana,Total,8978.0
30097,Sweet Grass County,Montana,Total,3697.0
30099,Teton County,Montana,Total,6238.0
30101,Toole County,Montana,Total,5018.0
30103,Treasure County,Montana,Total,680.0
30105,Valley County,Montana,Total,7552.0
30107,Wheatland County,Montana,Total,2060.0
30109,Wibaux County,Montana,Total,1119.0
30111,Yellowstone County,Montana,Total,165524.0
32001,Churchill County,Nevada,Total,25409.0
32003,Clark County,Nevada,Total,2265926.0
32005,Douglas County,Nevada,Total,49476.0
32007,Elko County,Nevada,Total,53600.0
32009,Esmeralda County,Nevada,Total,980.0
32011,Eureka County,Nevada,Total,1622.0
32013,Humboldt County,Nevada,Total,17266.0
32015,Lander County,Nevada,Total,5728.0
32017,Lincoln County,Nevada,Total,4507.0
32019,Lyon County,Nevada,Total,59435.0
32021,Mineral County,Nevada,Total,4568.0
32023,Nye County,Nevada,Total,51698.0
32027,Pershing County,Nevada,Total,6587.0
32029,Storey County,Nevada,Total,4095.0
32031,Washoe County,Nevada,Total,486674.0
32033,White Pine County,Nevada,Total,8997.0
32510,Carson City,Nevada,Total,58249.0
49001,Beaver County,Utah,Total,7102.0
49003,Box Elder County,Utah,Total,58291.0
49005,Cache County,Utah,Total,134428.0
49007,Carbon County,Utah,Total,20338.0
49009,Daggett County,Utah,Total,638.0
49011,Davis County,Utah,Total,363032.0
49013,Duchesne County,Utah,Total,19779.0
49015,Emery County,Utah,Total,9898.0
49017,Garfield County,Utah,Total,5121.0
49019,Grand County,Utah,Total,9680.0
49021,Iron County,Utah,Total,58068.0
49023,Juab County,Utah,Total,11943.0
49025,Kane County,Utah,Total,7814.0
49027,Millard County,Utah,Total,13027.0
49029,Morgan County,Utah,Total,12367.0
49031,Piute County,Utah,Total,1764.0
49033,Rich County,Utah,Total,2543.0
49035,Salt Lake County,Utah,Total,1180643.0
49037,San Juan County,Utah,Total,14524.0
49039,Sanpete County,Utah,Total,28816.0
49041,Sevier County,Utah,Total,21667.0
49043,Summit County,Utah,Total,42524.0
49045,Tooele County,Utah,Total,74032.0
49047,Uintah County,Utah,Total,35951.0
49049,Utah County,Utah,Total,666021.0
49051,Wasatch County,Utah,Total,35009.0
49053,Washington County,Utah,Total,183297.0
49055,Wayne County,Utah,Total,2532.0
49057,Weber County,Utah,Total,262960.0
56001,Albany County,Wyoming,Total,37525.0
56003,Big Horn County,Wyoming,Total,11690.0
56005,Campbell County,Wyoming,Total,46857.0
56007,Carbon County,Wyoming,Total,14609.0
56009,Converse County,Wyoming,Total,13729.0
56011,Crook County,Wyoming,Total,7258.0
56013,Fremont County,Wyoming,Total,39402.0
56015,Goshen County,Wyoming,Total,12592.0
56017,Hot Springs County,Wyoming,Total,4616.0
56019,Johnson County,Wyoming,Total,8536.0
56021,Laramie County,Wyoming,Total,100316.0
56023,Lincoln County,Wyoming,Total,19794.0
56025,Natrona County,Wyoming,Total,79506.0
56027,Niobrara County,Wyoming,Total,2460.0
56029,Park County,Wyoming,Total,29878.0
56031,Platte County,Wyoming,Total,8618.0
56033,Sheridan County,Wyoming,Total,31176.0
56035,Sublette County,Wyoming,Total,8801.0
