"FIPS","Tract","County","State","measure","value"
16001000101,"Census Tract 1.01","Ada County","Idaho","Total",1438
16001000102,"Census Tract 1.02","Ada County","Idaho","Total",3167
16001000201,"Census Tract 2.01","Ada County","Idaho","Total",3413
16001000202,"Census Tract 2.02","Ada County","Idaho","Total",6377
16001000302,"Census Tract 3.02","Ada County","Idaho","Total",3517
16001000303,"Census Tract 3.03","Ada County","Idaho","Total",1834
16001000305,"Census Tract 3.05","Ada County","Idaho","Total",3004
16001000306,"Census Tract 3.06","Ada County","Idaho","Total",4122
16001000401,"Census Tract 4.01","Ada County","Idaho","Total",2293
16001000402,"Census Tract 4.02","Ada County","Idaho","Total",3585
16001000501,"Census Tract 5.01","Ada County","Idaho","Total",3003
16001000502,"Census Tract 5.02","Ada County","Idaho","Total",3533
16001000601,"Census Tract 6.01","Ada County","Idaho","Total",2397
16001000602,"Census Tract 6.02","Ada County","Idaho","Total",3301
16001000701,"Census Tract 7.01","Ada County","Idaho","Total",5732
16001000703,"Census Tract 7.03","Ada County","Idaho","Total",2527
16001000704,"Census Tract 7.04","Ada County","Idaho","Total",3707
16001000803,"Census Tract 8.03","Ada County","Idaho","Total",4329
16001000805,"Census Tract 8.05","Ada County","Idaho","Total",3394
16001000806,"Census Tract 8.06","Ada County","Idaho","Total",2807
16001000807,"Census Tract 8.07","Ada County","Idaho","Total",2117
16001000808,"Census Tract 8.08","Ada County","Idaho","Total",2457
16001000809,"Census Tract 8.09","Ada County","Idaho","Total",2425
16001000810,"Census Tract 8.10","Ada County","Idaho","Total",2868
16001000901,"Census Tract 9.01","Ada County","Idaho","Total",2077
16001000902,"Census Tract 9.02","Ada County","Idaho","Total",6609
16001001001,"Census Tract 10.01","Ada County","Idaho","Total",2063
16001001002,"Census Tract 10.02","Ada County","Idaho","Total",2648
16001001003,"Census Tract 10.03","Ada County","Idaho","Total",3231
16001001100,"Census Tract 11","Ada County","Idaho","Total",4992
16001001201,"Census Tract 12.01","Ada County","Idaho","Total",3463
16001001203,"Census Tract 12.03","Ada County","Idaho","Total",3901
16001001204,"Census Tract 12.04","Ada County","Idaho","Total",3895
16001001401,"Census Tract 14.01","Ada County","Idaho","Total",2381
16001001402,"Census Tract 14.02","Ada County","Idaho","Total",3125
16001001500,"Census Tract 15","Ada County","Idaho","Total",3835
16001001600,"Census Tract 16","Ada County","Idaho","Total",4439
16001001701,"Census Tract 17.01","Ada County","Idaho","Total",1864
16001001702,"Census Tract 17.02","Ada County","Idaho","Total",4153
16001001800,"Census Tract 18","Ada County","Idaho","Total",4215
16001001900,"Census Tract 19","Ada County","Idaho","Total",5280
16001002000,"Census Tract 20","Ada County","Idaho","Total",5108
16001002100,"Census Tract 21","Ada County","Idaho","Total",2046
16001002223,"Census Tract 22.23","Ada County","Idaho","Total",5465
16001002225,"Census Tract 22.25","Ada County","Idaho","Total",3678
16001002226,"Census Tract 22.26","Ada County","Idaho","Total",2966
16001002227,"Census Tract 22.27","Ada County","Idaho","Total",2700
16001002228,"Census Tract 22.28","Ada County","Idaho","Total",2846
16001002229,"Census Tract 22.29","Ada County","Idaho","Total",3692
16001002230,"Census Tract 22.30","Ada County","Idaho","Total",3569
16001002231,"Census Tract 22.31","Ada County","Idaho","Total",2816
16001002313,"Census Tract 23.13","Ada County","Idaho","Total",4267
16001002314,"Census Tract 23.14","Ada County","Idaho","Total",5546
16001002315,"Census Tract 23.15","Ada County","Idaho","Total",5335
16001002316,"Census Tract 23.16","Ada County","Idaho","Total",2413
16001002317,"Census Tract 23.17","Ada County","Idaho","Total",2698
16001002318,"Census Tract 23.18","Ada County","Idaho","Total",4789
16001002319,"Census Tract 23.19","Ada County","Idaho","Total",4013
16001002412,"Census Tract 24.12","Ada County","Idaho","Total",5077
16001002414,"Census Tract 24.14","Ada County","Idaho","Total",2955
16001002415,"Census Tract 24.15","Ada County","Idaho","Total",2356
16001002416,"Census Tract 24.16","Ada County","Idaho","Total",5437
16001002417,"Census Tract 24.17","Ada County","Idaho","Total",2689
16001002418,"Census Tract 24.18","Ada County","Idaho","Total",3527
16001002419,"Census Tract 24.19","Ada County","Idaho","Total",3797
16001010101,"Census Tract 101.01","Ada County","Idaho","Total",4001
16001010102,"Census Tract 101.02","Ada County","Idaho","Total",6269
16001010224,"Census Tract 102.24","Ada County","Idaho","Total",4192
16001010226,"Census Tract 102.26","Ada County","Idaho","Total",3616
16001010227,"Census Tract 102.27","Ada County","Idaho","Total",3354
16001010228,"Census Tract 102.28","Ada County","Idaho","Total",3924
16001010229,"Census Tract 102.29","Ada County","Idaho","Total",5632
16001010230,"Census Tract 102.30","Ada County","Idaho","Total",5132
16001010231,"Census Tract 102.31","Ada County","Idaho","Total",2428
16001010232,"Census Tract 102.32","Ada County","Idaho","Total",3583
16001010233,"Census Tract 102.33","Ada County","Idaho","Total",2884
16001010234,"Census Tract 102.34","Ada County","Idaho","Total",4890
16001010235,"Census Tract 102.35","Ada County","Idaho","Total",5074
16001010236,"Census Tract 102.36","Ada County","Idaho","Total",3062
16001010237,"Census Tract 102.37","Ada County","Idaho","Total",5357
16001010336,"Census Tract 103.36","Ada County","Idaho","Total",2248
16001010337,"Census Tract 103.37","Ada County","Idaho","Total",5149
16001010338,"Census Tract 103.38","Ada County","Idaho","Total",3932
16001010339,"Census Tract 103.39","Ada County","Idaho","Total",3600
16001010340,"Census Tract 103.40","Ada County","Idaho","Total",4095
16001010341,"Census Tract 103.41","Ada County","Idaho","Total",6079
16001010342,"Census Tract 103.42","Ada County","Idaho","Total",5731
16001010343,"Census Tract 103.43","Ada County","Idaho","Total",3277
16001010344,"Census Tract 103.44","Ada County","Idaho","Total",3917
16001010345,"Census Tract 103.45","Ada County","Idaho","Total",4967
16001010346,"Census Tract 103.46","Ada County","Idaho","Total",1521
16001010347,"Census Tract 103.47","Ada County","Idaho","Total",3929
16001010348,"Census Tract 103.48","Ada County","Idaho","Total",3698
16001010349,"Census Tract 103.49","Ada County","Idaho","Total",4018
16001010350,"Census Tract 103.50","Ada County","Idaho","Total",3187
16001010351,"Census Tract 103.51","Ada County","Idaho","Total",3965
16001010352,"Census Tract 103.52","Ada County","Idaho","Total",4803
16001010353,"Census Tract 103.53","Ada County","Idaho","Total",5372
16001010354,"Census Tract 103.54","Ada County","Idaho","Total",6197
16001010355,"Census Tract 103.55","Ada County","Idaho","Total",1875
16001010356,"Census Tract 103.56","Ada County","Idaho","Total",4501
16001010357,"Census Tract 103.57","Ada County","Idaho","Total",3866
16001010358,"Census Tract 103.58","Ada County","Idaho","Total",5836
16001010359,"Census Tract 103.59","Ada County","Idaho","Total",4026
16001010360,"Census Tract 103.60","Ada County","Idaho","Total",4144
16001010361,"Census Tract 103.61","Ada County","Idaho","Total",3825
16001010362,"Census Tract 103.62","Ada County","Idaho","Total",5469
16001010363,"Census Tract 103.63","Ada County","Idaho","Total",5456
16001010364,"Census Tract 103.64","Ada County","Idaho","Total",6244
16001010365,"Census Tract 103.65","Ada County","Idaho","Total",4025
16001010366,"Census Tract 103.66","Ada County","Idaho","Total",4071
16001010367,"Census Tract 103.67","Ada County","Idaho","Total",6553
16001010368,"Census Tract 103.68","Ada County","Idaho","Total",3600
16001010369,"Census Tract 103.69","Ada County","Idaho","Total",3345
16001010370,"Census Tract 103.70","Ada County","Idaho","Total",2895
16001010371,"Census Tract 103.71","Ada County","Idaho","Total",3538
16001010403,"Census Tract 104.03","Ada County","Idaho","Total",4803
16001010404,"Census Tract 104.04","Ada County","Idaho","Total",3938
16001010405,"Census Tract 104.05","Ada County","Idaho","Total",2883
16001010406,"Census Tract 104.06","Ada County","Idaho","Total",5671
16001010407,"Census Tract 104.07","Ada County","Idaho","Total",6986
16001010408,"Census Tract 104.08","Ada County","Idaho","Total",4988
16001010409,"Census Tract 104.09","Ada County","Idaho","Total",4515
16001010410,"Census Tract 104.10","Ada County","Idaho","Total",5944
16001010411,"Census Tract 104.11","Ada County","Idaho","Total",2786
16001010501,"Census Tract 105.01","Ada County","Idaho","Total",8090
16001010503,"Census Tract 105.03","Ada County","Idaho","Total",5197
16001010505,"Census Tract 105.05","Ada County","Idaho","Total",2580
16001010506,"Census Tract 105.06","Ada County","Idaho","Total",4016
16003950100,"Census Tract 9501","Adams County","Idaho","Total",1769
16003950200,"Census Tract 9502","Adams County","Idaho","Total",2830
16005000200,"Census Tract 2","Bannock County","Idaho","Total",4286
16005000301,"Census Tract 3.01","Bannock County","Idaho","Total",3986
16005000302,"Census Tract 3.02","Bannock County","Idaho","Total",5420
16005000400,"Census Tract 4","Bannock County","Idaho","Total",7088
16005000500,"Census Tract 5","Bannock County","Idaho","Total",1956
16005000600,"Census Tract 6","Bannock County","Idaho","Total",3505
16005000700,"Census Tract 7","Bannock County","Idaho","Total",4392
16005000800,"Census Tract 8","Bannock County","Idaho","Total",3242
16005000900,"Census Tract 9","Bannock County","Idaho","Total",2171
16005001000,"Census Tract 10","Bannock County","Idaho","Total",3129
16005001102,"Census Tract 11.02","Bannock County","Idaho","Total",4290
16005001103,"Census Tract 11.03","Bannock County","Idaho","Total",4809
16005001104,"Census Tract 11.04","Bannock County","Idaho","Total",3335
16005001200,"Census Tract 12","Bannock County","Idaho","Total",3532
16005001300,"Census Tract 13","Bannock County","Idaho","Total",2386
16005001400,"Census Tract 14","Bannock County","Idaho","Total",4366
16005001500,"Census Tract 15","Bannock County","Idaho","Total",6234
16005001601,"Census Tract 16.01","Bannock County","Idaho","Total",2740
16005001602,"Census Tract 16.02","Bannock County","Idaho","Total",3909
16005001603,"Census Tract 16.03","Bannock County","Idaho","Total",2557
16005001700,"Census Tract 17","Bannock County","Idaho","Total",3575
16005001900,"Census Tract 19","Bannock County","Idaho","Total",5609
16005940000,"Census Tract 9400","Bannock County","Idaho","Total",1557
16005981800,"Census Tract 9818","Bannock County","Idaho","Total",383
16007950100,"Census Tract 9501","Bear Lake County","Idaho","Total",3576
16007950200,"Census Tract 9502","Bear Lake County","Idaho","Total",2976
16009940000,"Census Tract 9400","Benewah County","Idaho","Total",5071
16009950100,"Census Tract 9501","Benewah County","Idaho","Total",4842
16011940000,"Census Tract 9400","Bingham County","Idaho","Total",2505
16011950101,"Census Tract 9501.01","Bingham County","Idaho","Total",3918
16011950102,"Census Tract 9501.02","Bingham County","Idaho","Total",5846
16011950200,"Census Tract 9502","Bingham County","Idaho","Total",4035
16011950300,"Census Tract 9503","Bingham County","Idaho","Total",5519
16011950400,"Census Tract 9504","Bingham County","Idaho","Total",7590
16011950501,"Census Tract 9505.01","Bingham County","Idaho","Total",3430
16011950502,"Census Tract 9505.02","Bingham County","Idaho","Total",5311
16011950600,"Census Tract 9506","Bingham County","Idaho","Total",5680
16011950700,"Census Tract 9507","Bingham County","Idaho","Total",5159
16013960101,"Census Tract 9601.01","Blaine County","Idaho","Total",2243
16013960102,"Census Tract 9601.02","Blaine County","Idaho","Total",3241
16013960201,"Census Tract 9602.01","Blaine County","Idaho","Total",6506
16013960202,"Census Tract 9602.02","Blaine County","Idaho","Total",4954
